Applicants,Country of Ownership,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Total
Pairwise Plants Services,United States,0,0,0,0,0,0,0,19,10,16,19,7,71
"Institute Of Crop Science, Chinese Academy Of Agricultural Sciences",China,0,1,1,1,2,7,11,7,11,6,11,7,65
Huazhong Agricultural University,China,0,0,0,1,2,4,6,9,10,2,7,12,53
South China Agricultural University,China,0,0,1,0,1,3,4,2,5,12,2,3,33
"Pioneer Hi-Bred International, Inc.",United States,0,0,0,0,5,0,6,13,4,2,1,1,32
Nanjing Agricultural University,China,0,0,0,0,2,2,3,0,5,8,5,4,29
China Agricultural University,China,0,0,0,0,1,0,9,4,3,3,3,5,28
"China Tobacco Yunnan Industrial Co., Ltd.",China,0,0,0,0,0,0,1,1,1,7,12,3,25
Monsanto Technology Llc,United States,0,0,4,0,6,0,4,0,1,8,1,1,25
"Lanzhou Veterinary Research Institute, Chinese Academy Of Agriculture Sciences",China,0,0,0,1,0,0,3,3,9,1,7,0,24
Zhejiang University,China,0,0,0,2,1,2,3,6,2,1,3,4,24
Fujian Agriculture And Forestry University,China,0,0,0,0,0,0,5,3,2,2,3,7,22
Henan Agricultural University,China,0,0,0,0,1,1,1,1,4,5,7,2,22
"Institute Of Genetics And Developmental Biology, Chinese Academy Of Sciences",China,0,0,0,8,0,5,2,0,2,1,1,1,20
Kws Saat Se & Co. Kgaa,Germany,0,0,0,1,5,5,3,1,0,1,0,2,18
Basf Plant Science Company Gmbh,Germany,0,0,0,0,4,4,0,0,1,7,0,0,16
Beijing Academy Of Agriculture And Forestry Sciences,China,0,0,0,0,0,1,0,2,1,0,4,8,16
"Institute Of Plant Protection, Chinese Academy Of Agricultural Sciences",China,0,0,0,1,0,0,3,2,1,1,3,3,14
Northwest A&F University,China,0,0,0,0,0,0,1,1,1,2,1,8,14
Hunan Hybrid Rice Research Center,China,0,0,0,3,1,0,3,1,2,0,0,0,10
Jiangsu Academy Of Agricultural Sciences,China,0,0,0,0,0,4,2,0,1,0,1,1,9
Regents Of The University Of Minnesota,United States,0,3,4,0,0,0,0,1,1,0,0,0,9
"Shanghai Customs Animal, Plant And Food Inspection And Quarantine Technology Center",China,0,0,0,0,0,0,0,1,1,6,0,1,9
Yangzhou University,China,0,0,0,0,0,0,1,1,1,2,3,1,9
All-Russian Research Institute of Agricultural Biotechnology,Russia,0,0,0,0,0,0,0,2,0,6,0,0,8
"Biotechnology Research Institute, Caas",China,0,0,0,0,1,0,0,1,1,2,2,1,8
Cas Center For Excellence In Molecular Plant Sciences,China,0,0,0,0,0,0,3,3,1,1,0,0,8
Shanghai Jiao Tong University,China,0,0,0,2,2,1,1,0,0,0,2,0,8
Shenyang Agricultural University,China,0,0,0,0,0,0,0,0,1,2,2,3,8
"Guangdong Sanjie Forage Biotechnology Co., Ltd",China,0,0,0,0,0,0,4,0,3,0,0,0,7
Keygene N.V.,Netherlands,0,0,0,0,4,0,2,0,0,0,1,0,7
Shandong Agricultural University,China,0,0,0,0,0,0,0,0,2,2,1,2,7
Southwest University,China,0,0,0,0,1,0,2,1,0,1,1,1,7
Yunnan Institute Of Tobacco Agriculture Science,China,0,0,0,0,1,3,3,0,0,0,0,0,7
Nanjing Forestry University,China,0,0,0,0,0,0,0,0,0,1,4,1,6
"Oil Crops Research Institute, Chinese Academy Of Agricultural Sciences",China,0,0,0,0,0,1,1,0,2,0,2,0,6
Sichuan Agricultural University,China,0,0,0,0,2,2,0,0,0,1,0,1,6
University Of Science & Technology Beijing,China,0,0,0,0,0,0,0,0,6,0,0,0,6
unspecified,n/a,0,4,0,1,0,0,0,0,0,0,0,0,5
Agricultural University In China,China,0,0,0,0,0,0,0,1,0,4,0,0,5
Anhui Agricultural University,China,0,0,0,0,0,0,0,0,0,1,0,4,5
Chinese Agricultural University,China,0,0,0,0,0,0,0,5,0,0,0,0,5
Chung Ang University,South Korea,0,0,0,0,0,0,0,0,1,2,2,0,5
Cibus Us Llccibus Europe B.V.,Netherlands,0,3,2,0,0,0,0,0,0,0,0,0,5
Dow Agrosciences Llc,United States,5,0,0,0,0,0,0,0,0,0,0,0,5
Horticulture Institute Of Xinjiang Academy Of Agricultural Science,China,0,0,0,0,1,0,3,0,0,0,0,1,5
Huaiyin Normal University,China,0,0,0,0,0,0,1,1,2,0,0,1,5
"Institute Of Botany, The Chinese Academy Of Sciences",China,0,0,0,0,0,0,1,2,0,0,0,2,5
"Institute Of Plant Protection, Faas",Pakistan,0,0,0,0,0,0,0,0,0,0,2,3,5
Keygene Nv,Netherlands,0,0,0,0,1,0,2,0,0,2,0,0,5
Limited Responsibility Company Of Yunnan Chinese Tobacco Industry,China,0,0,0,0,0,0,0,0,0,5,0,0,5
Oxford University Innovation Limited,United Kingdom,0,0,0,0,0,0,0,0,4,1,0,0,5
Sanya Nanfan Research Institute Of Hainan University海南大学三亚南繁研究院Sanya Research Institute Of Hainan University,China,0,0,0,0,0,0,0,0,0,0,3,2,5
The Regents Of The University Of California,United States,0,0,1,1,0,0,0,0,2,0,1,0,5
University Of Electronic Science And Technology Of China,China,0,0,0,1,1,0,1,0,1,0,1,0,5
Crop Research Institute Of The Sichuan Academy Of Agricultural Sciences,China,0,0,0,0,0,0,0,0,0,0,1,3,4
Guangzhou University,China,0,0,0,0,0,0,1,0,1,0,1,1,4
Henan Normal University,China,0,0,0,0,0,0,0,0,0,1,0,3,4
Henan University,China,0,0,0,0,0,0,0,0,0,1,1,2,4
Hubei University,China,0,0,1,0,0,0,1,0,0,0,1,1,4
Hunan Agricultural University,China,0,0,0,0,0,0,0,0,0,2,1,1,4
Hunan University,China,0,0,0,0,0,0,0,0,1,2,0,1,4
Inst Genetics & Developmental Biology Cas,China,0,0,0,3,0,1,0,0,0,0,0,0,4
"Institute Of Medicinal Plant Development, Chinese Academy Of Medical Sciences",China,0,0,0,0,0,0,0,0,1,0,3,0,4
Jilin Academy Of Agricultural Sciences,China,0,0,0,0,0,0,0,0,0,3,1,0,4
Kws Saat Se & Co Kgaa,Germany,0,0,0,0,1,1,2,0,0,0,0,0,4
Nanjing University,China,0,0,0,0,0,0,1,0,0,2,1,0,4
Northeast Forestry University,China,0,0,0,0,0,0,0,0,1,3,0,0,4
"Rice Research Institute, Anhui Academy Of Agricultural Sciences",China,0,0,0,0,0,0,1,1,1,0,0,1,4
Shenzhen Customs Animal And Plant Inspection And Quarantine Technology Center,China,0,0,0,0,0,0,0,0,0,1,1,2,4
Yunnan Agricultural University,China,0,0,0,0,0,0,0,0,2,0,2,0,4
경상국립대학교산학협력단Industry-Academic Cooperation Foundation Gyeongsang National University,South Korea,0,0,0,0,0,0,0,0,3,1,0,0,4
대한민국(농촌진흥청장)대한민국(농림축산식품부 농림축산검역본부장)Republic Of Korea(Management : Rural Development Administration)Republic Of Korea(Animal And Plant Quarantine Agency),Republic of Korea,0,0,0,0,0,0,0,0,0,4,0,0,4
"Agricultural Genomics Institute At Shenzhen, Chinese Academy Of Agricultural Sciences",China,0,0,0,0,0,0,0,0,0,1,1,1,3
Beijing Forestry University,China,0,0,0,0,0,0,0,1,0,0,1,1,3
"Chengdui Plant Service Co., Ltd.",China,0,0,0,0,0,0,0,1,2,0,0,0,3
China National Rice Research Institute,China,0,0,0,0,0,1,0,0,0,0,1,1,3
"China National Seed Group Co., Ltd.",China,0,0,0,1,0,0,1,1,0,0,0,0,3
"Cotton Research Institute, Chinese Academy Of Agricultural Sciences",China,0,0,0,0,0,0,0,0,1,1,1,0,3
"Editas Medicine, Inc.",United States,0,0,2,0,0,0,0,0,0,0,1,0,3
Gannan Normal University,China,0,0,0,0,0,0,0,0,1,0,2,0,3
Guangdong Academy Of Agricultural Sciences-Agricultural Biological Gene Research Center,China,0,0,0,0,0,0,0,1,0,1,1,0,3
Henan University河南大学Sanya Research Institute Of Henan University,China,0,0,0,0,0,0,0,0,0,0,1,2,3
Hubei Academy Of Agricultural Sciences Institute Of Food Crops湖北省农业科学院粮食作物研究所Huazhong Agricultural University,China,0,0,0,0,0,0,0,0,0,0,0,3,3
Institute Of Genetics And Developmental Biology Chinese Academy Of Sciences,China,0,0,0,1,2,0,0,0,0,0,0,0,3
Institute Of Tobacco Research Of Caas (Qingzhou Tobacco Research Institute Of China National Tobacco Company)中国农业科学院烟草研究所（中国烟草总公司青州烟草研究所）,China,0,0,0,0,0,0,0,0,0,0,2,1,3
Jilin Agricultural University,China,0,0,0,0,0,0,3,0,0,0,0,0,3
Nanchang University,China,0,0,0,0,0,1,0,1,0,0,1,0,3
"Northeast Institute Of Geography And Agroecology, Chinese Academy Of Sciences",China,0,0,0,0,0,0,0,1,2,0,0,0,3
"Pairwise Plants Services, Inc.Monsanto Technology Llc",United States,0,0,0,0,0,0,0,0,0,1,2,0,3
Peking University,China,1,0,0,0,1,0,1,0,0,0,0,0,3
Rice Research Institute Of Guangdong Academy Of Agricultural Sciences,China,0,0,0,0,2,0,0,0,1,0,0,0,3
Shandong University,China,0,0,0,0,0,0,0,0,0,2,1,0,3
Shanghai Academy Of Agricultural Sciences,China,0,0,0,1,1,0,0,0,0,1,0,0,3
Shanghai University,China,0,0,0,0,2,0,0,0,0,0,1,0,3
West (Chongqing) Science City Germplasm Creation And System Big Science Center西部（重庆）,China,0,0,0,0,0,0,0,0,0,0,1,2,3
Yichun University,China,0,0,0,0,0,2,0,0,0,1,0,0,3
Yunnan Academy Of Tobacco Agriculture Science,China,0,0,0,0,0,0,0,0,3,0,0,0,3
Zhejiang A&F University,China,0,0,0,0,0,0,1,0,0,1,0,1,3
대한민국(농촌진흥청장)Republic Of Korea(Management : Rural Development Administration),South Korea,0,0,0,0,0,0,0,1,2,0,0,0,3
한경대학교 산학협력단Hankyong Industry Academic Cooperation Center,South Korea,0,0,0,0,1,0,0,0,2,0,0,0,3
Basf Plant Science Co Gmbh,Germany,0,0,0,0,2,0,0,0,0,0,0,0,2
"Beidahuang Kenfeng Seed Industry Co., Ltd.",China,0,0,0,0,0,0,1,0,0,0,0,1,2
"Beijing Academy Of Agriculture And Forestry Sciences北京市农林科学院Institute Of Genetics And Developmental Biology, Chinese Academy Of Sciences",China,0,0,0,0,1,0,1,0,0,0,0,0,2
"Beijing Shou Jia Li Hua Sci-Tech Co., Ltd.北京首佳利华科技有限公司Xinyang Shoujia Lihua Agriculture Technology Co., Ltd.",China,0,0,0,0,0,0,0,0,2,0,0,0,2
Chen Chao,,0,0,0,0,0,0,2,0,0,0,0,0,2
Chinese People'S Liberation Army Army Specialized Medical Center西部（重庆）,China,0,0,0,0,0,0,0,0,2,0,0,0,2
