crop,Alfalfa,Alfalfa,Alfalfa,Alfalfa,Alfalfa,"Alfalfa, Soybeans",Arabidopsis,Arabidopsis,Arabidopsis,Asparagus,Bamboo,Banana,Banana,Barley,Basil,Beet,Broccoli,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage,Cabbage,Cannabis,Canola,Canola,Canola,Canola,Canola,Canola,Canola,Capsicum,Carrot,Carrot,Cassava,Chrysanthemum,Citrus,Citrus,Citrus,Citrus,Citrus,Coffee,"Corn, Rice","Corn, Soybeans","Corn, Soybeans","Corn, Wheat",Corn/Maize,Corn/Maize,Corn/Maize,Corn/Maize,Corn/Maize,Corn/Maize,Corn/Maize,Corn/Maize,Corn/Maize,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,Cotton,Crop plants,Crop plants,Crop plants,Crop plants,Crop plants,Crop plants,Crop plants,Crop plants,Crop plants,Crop plants,Crop plants,Crop plants,Cucumber,Cucumber,Cucumber,"Dandelion, Taraxacum kok-saghyz",Eggplant,Eggplant,Elephant Grass,Flax,Foxtail millet,Garlic,Ginger,Gingko,Grape,Grape,Grape,Grape,Grape,Leguminous Plants,Leguminous Plants,Lettuce,Lettuce,Lettuce,Lettuce,Litchi,Lychee,Millet,Millet,Mulberry,Mung bean,Muskmelon,Mustard,No crops mentioned.,Other plants,Other plants,Other plants,Other plants,Other plants,Other plants,Papaya,Papaya,Patchouli,Peach,Peanuts,Pear,Peas,Petunia,Pine,Pine,Pineapple,Poplar,Poplar,Poplar,Poplar,Potatoes,Potatoes,Potatoes,Potatoes,Potatoes,Potatoes,Potatoes,"Potatoes, Citrus","Potatoes, Tobacco",Radish,Rehmannia,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,Rice,"Rice, Corn, Wheat, Soybeans, Cotton","Rice, Corn, Wheat, Soybeans, Cotton","Rice, Corn, Wheat, Soybeans, Cotton",Rosáceas,Ryegrass,Safflower,Sea Lavender,Sorghum,Sorghum,Soybeans,Soybeans,Soybeans,Soybeans,Soybeans,Soybeans,Soybeans,Soybeans,Straw mushroom,Strawberry,Sugarcane,"Sugarcane, Corn",Sweet Potato,Sweet Potato,Switchgrass,Switchgrass,Tea,Tilapia,Tobacco,Tobacco,Tobacco,Tobacco,Tobacco,Tobacco,Tobacco,Tobacco,"Tobacco, Rice","Tobacco, Tea","Tobacco, Tomatoes","Tobacco, Tomatoes",Tomatoes,Tomatoes,Tomatoes,Tomatoes,Tomatoes,Tomatoes,Tomatoes,Tomatoes,Tomatoes,Watermelon,Watermelon,Watermelon,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Wheat,Zoysia Grass
Application Year,2017,2018,2019,2021,2023,2024,2021,2023,2024,2024,2019,2020,2022,2017,2021,2021,2024,2017,2018,2019,2020,2021,2022,2024,2023,2018,2019,2020,2021,2022,2023,2024,2019,2018,2024,2021,2022,2019,2021,2022,2023,2024,2024,2022,2022,2023,2024,2015,2016,2017,2019,2020,2021,2022,2023,2024,2016,2017,2018,2019,2020,2021,2022,2023,2024,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2021,2022,2023,2020,2018,2023,2024,2022,2023,2023,2023,2023,2018,2020,2022,2023,2024,2020,2021,2021,2022,2023,2024,2022,2022,2021,2022,2020,2018,2023,2024,2021,2019,2020,2021,2022,2023,2024,2018,2023,2023,2021,2020,2022,2021,2023,2022,2024,2024,2020,2022,2023,2024,2017,2019,2020,2021,2022,2023,2024,2023,2021,2022,2021,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2018,2021,2023,2023,2019,2023,2023,2022,2023,2014,2018,2019,2020,2021,2022,2023,2024,2023,2021,2024,2022,2021,2024,2023,2024,2016,2024,2017,2018,2019,2020,2021,2022,2023,2024,2022,2022,2016,2024,2016,2017,2018,2019,2020,2021,2022,2023,2024,2019,2021,2024,2016,2017,2018,2019,2020,2021,2022,2023,2024,2020
applicant_country_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,1,1,6,4,3,1,1,1,1,0,2,1,1,1,0,1,1,1,1,0,3,1,2,5,0,2,4,4,4,4,6,7,1,1,1,1,1,2,1,1,2,1,1,1,0,1,1,1,1,2,10,8,17,12,14,13,1,1,2,1,1,6,2,3,4,0,0,0,15,15,12,8,20,28,22,31,19,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,0,1,2,1,1,3,1,1,1,1,2,1,1,2,1,1,1,9,4,7,10,6,6,1,1,1,1,1,1,1,1,1,1,1,2,1,5,2,2,1,0,1,0,1,1,0,2,1,1,1,4,2,16,16,21,33,33,29,37,28,51,1,1,1,0,1,0,1,2,2,1,3,8,6,9,4,14,15,1,2,0,1,1,1,1,1,1,1,2,2,5,1,8,14,14,5,1,1,0,1,2,4,2,13,4,5,9,16,10,2,1,6,0,1,1,5,3,3,3,9,5,1
Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,6,5,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
