Application Id,Application Number,Office,Application Date_page,Grant Number,Grant Date,Applicants,Title_page,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Application Date_list,Country,latitude,longitude,applicant_city_name,applicant_state_name,applicant_country_name,crop,Days Between Application and Grant,Granted,Application Year,Grant Year,Has Related Patent Documents,purpose
CN324347467,201911093561.X,China,2019-11-11,112779265.0,2022-11-08,"Institute Of Genetics And Developmental Biology, Chinese Academy Of Sciences",(EN) Breeding method for carrying out saturated base editing on specific gene of plant(ZH) 一种对植物特定基因进行饱和碱基编辑的育种方法,,,,,11.11.2019,China,38.115509,114.533286,Shi Jia Zhuang Shi,He Bei Sheng,China,Crop plants,1093.0,True,2019.0,2022.0,False,Other Genetic Improvement for Crop Traits
CN417838467,202311185645,China,2023-09-13,,,"Shengyan Private Life Technology (Shanghai) Co., Ltd.圣言私密生命科技（上海）",(EN) Method for improving plant gene editing efficiency(ZH) 一种提高植物基因编辑效率的方法,,,,,,,31.189885,121.269746,,Shang Hai Shi,China,Crop plants,,False,2023.0,,False,Gene Editing Systems Development
CA382074342,3183409,Canada,2021-05-28,,,"Pioneer Hi-Bred International, Inc.",(EN) LARGE SCALE GENOME MANIPULATION(FR) MANIPULATION DE GENOME A GRANDE ECHELLE,"63/031,822 29.05.2020 US","WO/2021/243115

CN115698302

EP4158033

US20230203517

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,28.05.2021,Canada,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Crop plants,,False,2021.0,,True,Other Genetic Improvement for Crop Traits
CN391941406,202180038896,China,2021-05-28,,,"Pioneer Hi-Bred International, Inc.",(EN) Large scale genome manipulation(ZH) 大规模基因组操纵,63/031822 29.05.2020 US,"WO/2021/243115

CA3183409

EP4158033

US20230203517

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Crop plants,,False,2021.0,,True,Other Genetic Improvement for Crop Traits
WO2021243115,PCT/US2021/034704,,,,,"Pioneer Hi-Bred International, Inc.",(EN) LARGE SCALE GENOME MANIPULATION(FR) MANIPULATION DE GÉNOME À GRANDE ÉCHELLE,"63/031,82229.05.2020US","CA3183409

CN115698302

EP4158033

US20230203517

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",PCT/US2021/034704,28.05.2021,28.05.2021,World Intellectual Property Organization,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Crop plants,,False,,,True,Other Genetic Improvement for Crop Traits
EP394881944,21812108,European Patent Office,2021-05-28,,,Pioneer Hi Bred Int,(DE) GENOMMANIPULATION IM GROSSMASSSTAB(EN) LARGE SCALE GENOME MANIPULATION(FR) MANIPULATION DE GÉNOME À GRANDE ÉCHELLE,202063031822 29.05.2020 US,"WO/2021/243115

CA3183409

CN115698302

US20230203517

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,28.05.2021,European Patent Office,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Crop plants,,False,2021.0,,True,Other Genetic Improvement for Crop Traits
WO2023164550,PCT/US2023/063129,,,,,"Pioneer Hi-Bred International, Inc.",(EN) METHODS AND COMPOSITIONS FOR ADVANCED BREEDING THROUGH TARGETED CHROMOSOME ENGINEERING(FR) PROCÉDÉS ET COMPOSITIONS DE CULTURE AVANCÉE PAR INGÉNIERIE CHROMOSOMIQUE CIBLÉE,"63/314,40226.02.2022US","EP4482298

US18840944This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",PCT/US2023/063129,23.02.2023,23.02.2023,World Intellectual Property Organization,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Crop plants,,False,,,True,Other Genetic Improvement for Crop Traits
EP445085862,23760919,European Patent Office,2023-02-23,,,Pioneer Hi Bred Int,(DE) VERFAHREN UND ZUSAMMENSETZUNGEN ZUR ERWEITERTEN ZÜCHTUNG DURCH GEZIELTE CHROMOSOMENMANIPULATION(EN) METHODS AND COMPOSITIONS FOR ADVANCED BREEDING THROUGH TARGETED CHROMOSOME ENGINEERING(FR) PROCÉDÉS ET COMPOSITIONS DE CULTURE AVANCÉE PAR INGÉNIERIE CHROMOSOMIQUE CIBLÉE,202263314402 26.02.2022 US,"WO/2023/164550

US18840944This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,23.02.2023,European Patent Office,40.1631226,-76.6461019,Elizabethtown,Pennsylvania,United States,Crop plants,,False,2023.0,,True,Other Genetic Improvement for Crop Traits
US400261471,18000067,United States of America,2021-05-28,,,"Pioneer Hi-Bred International, Inc.",(EN) LARGE SCALE GENOME MANIPULATION,,"WO/2021/243115

CA3183409

CN115698302

EP4158033

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,28.05.2021,United States,40.0601297,-76.0696993,New Holland,Pennsylvania,United States,Crop plants,,False,2021.0,,True,Other Genetic Improvement for Crop Traits
WO2018099256,PCT/CN2017/110349,,,,,"中国农业科学院作物科学研究所 Institute Of Crop Sciences, Chinese Academy Of Agricultural Sciences",(EN) APPLICATION OF CRISPR/NCAS9 MEDIATED SITE-DIRECTED BASE SUBSTITUTION IN PLANTS(FR) APPLICATION DE SUBSTITUTION DE BASE SITE DIRIGÉE MÉDIÉE PAR CRISPR/NCAS9 DANS DES PLANTES(ZH) 一种CRISPR/nCas9介导的定点碱基替换在植物中的应用,201611091107.701.12.2016CN,,PCT/CN2017/110349,10.11.2017,10.11.2017,World Intellectual Property Organization,39.961188,116.328189,,北京市,China,Rice,,False,,,False,Gene Editing Systems Development
CN336182358,202110405120.X,China,2021-04-15,113337536.0,2022-09-09,Nanjing Agricultural University,(EN) Application of RS2Z32 gene as plant immunity negative regulation factor in improvement of crop resistance(ZH) RS2Z32基因作为植物免疫负调控因子在提高作物抗性中的应用,,,,,15.04.2021,China,32.033399,118.842587,Nan Jing Shi,Jiang Su Sheng,China,"Rice, Corn, Wheat, Soybeans, Cotton",512.0,True,2021.0,2022.0,False,Disease Resistance
CN311217181,201910275840,China,2019-04-08,111850029.0,2022-04-26,"Tianjin Genovo Bio Technology Co., Ltd.",(EN) Method for acquiring non-transgenic perennial ryegrass mutant(ZH) 一种获得非转基因多年生黑麦草突变体的方法,,,,,,,38.898899,116.987485,,Tian Jin Shi,China,Ryegrass,1114.0,True,2019.0,2022.0,False,Other Genetic Improvement for Crop Traits
CN236817200,201811347309,China,2018-11-13,109234310.0,2021-08-20,Yunnan Institute Of Tobacco Agriculture Science,(EN) Recombinant vector for rapidly obtaining non-GMO genome editing plants and method for using same(ZH) 快速获得无转基因基因编辑植株的重组载体及使用方法,,,,,,,24.3492058,102.5505331,Yu Xi Shi,Yun Nan Sheng,China,Crop plants,1011.0,True,2018.0,2021.0,False,Gene Editing Systems Development
EP281665307,18764709,European Patent Office,2018-03-07,,,Univ Nanjing Agricultural,(DE) VERFAHREN ZUR EPIGENETISCHEN MANIPULATION VON PFLANZENPHÄNOTYPISCHER PLASTIZITÄT(EN) METHOD FOR EPIGENETICALLY MANIPULATING PLANT PHENOTYPIC PLASTICITY(FR) PROCÉDÉ DE MANIPULATION ÉPIGÉNÉTIQUE DE LA PLASTICITÉ PHÉNOTYPIQUE D'UNE PLANTE,2017075976 08.03.2017 CN,"CN110637087

WO/2018/161921",,,07.03.2018,European Patent Office,32.033399,118.842587,Nan Jing Shi,Jiang Su Sheng,China,Crop plants,,False,2018.0,,True,Cold Tolerance
WO2018161921,PCT/CN2018/078295,,,,,南京农业大学 Nanjing Agricultural University,(EN) METHOD FOR EPIGENETICALLY MANIPULATING PLANT PHENOTYPIC PLASTICITY(FR) PROCÉDÉ DE MANIPULATION ÉPIGÉNÉTIQUE DE LA PLASTICITÉ PHÉNOTYPIQUE D'UNE PLANTE(ZH) 一个表观遗传操作植物表型可塑性性状的方法,,"CN110637087

EP3594349",PCT/CN2017/07597608.03.2017CN,07.03.2018,07.03.2018,World Intellectual Property Organization,32.033399,118.842587,Nan Jing Shi,Jiang Su Sheng,China,Crop plants,,False,,,True,Cold Tolerance
CN280377979,201880016444,China,2018-03-07,110637087.0,2024-01-16,Nanjing Agricultural University,(EN) METHOD FOR EPIGENETICALLY MANIPULATING PLANT PHENOTYPIC PLASTICITY(ZH) 一个表观遗传操作植物表型可塑性性状的方法,,"EP3594349

WO/2018/161921",PCT/CN2017/075976 08.03.2017 CN,,,,32.033399,118.842587,Nan Jing Shi,Jiang Su Sheng,China,Crop plants,2141.0,True,2018.0,2024.0,True,Cold Tolerance
CN427320293,202410018970,China,2024-01-05,117802151.0,2024-06-14,"Institute Of Plant Protection, Chinese Academy Of Agricultural Sciences",(EN) Application of rice root-knot nematode susceptible gene OsThil in regulating resistance of rice to root-knot nematode(ZH) 水稻根结线虫感病基因OsThil在调控水稻对根结线虫的抗性方面的应用,,,,,,,39.9628214,116.3269465,,Bei Jing Shi,China,Rice,161.0,True,2024.0,2024.0,False,Disease Resistance
CN280201643,201910913593,China,2019-09-25,,,"Crop Science Research Institute, Shanxi Academy Of Agricultural Science",(EN) Construction method of CRISPR/Cas9 vector applied to potatoes(ZH) 一种应用于马铃薯上的CRISPR/Cas9载体的构建方法,,,,,,,37.817051,112.586934,Tai Yuan Shi,Shan Xi Sheng,China,Potatoes,,False,2019.0,,False,Other Genetic Improvement for Crop Traits
EP275489583,17885381,European Patent Office,2017-12-21,,,Monsanto Technology Llc,(DE) AUF GENOM-EDITING BASIERENDE NUTZPFLANZENMANIPULATION UND HERSTELLUNG VON BRACHYTISCHEN PFLANZEN(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS(FR) GÉNIE GÉNÉTIQUE DE CULTURES BASÉ SUR L'ÉDITION GÉNIQUE ET PRODUCTION DE PLANTES BRACHYTIQUES,201662438370 22.12.2016 US,"CA3047163

CN110213961

BR112019012819

US20200140874

WO/2018/119225

UY0001037545

AR110581

MX2019007546

MX2022014145",,,21.12.2017,European Patent Office,38.66369922,-90.57639294,,,,Corn/Maize,,False,2017.0,,True,Yield Improvement
CA245841433,3047163,Canada,2017-12-21,,,Monsanto Technology Llc,(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS(FR) GENIE GENETIQUE DE CULTURES BASE SUR L'EDITION GENIQUE ET PRODUCTION DE PLANTES BRACHYTIQUES,"62/438,370 22.12.2016 US","CN110213961

EP3557980

BR112019012819

US20200140874

WO/2018/119225

UY0001037545

AR110581

MX2019007546

MX2022014145",,,21.12.2017,Canada,38.66369922,-90.57639294,,,,Corn/Maize,,False,2017.0,,True,Yield Improvement
WO2018119225,PCT/US2017/067888,,,,,Monsanto Technology Llc,(EN) GENOME EDITING-BASED CROP ENGINEERING AND PRODUCTION OF BRACHYTIC PLANTS(FR) GÉNIE GÉNÉTIQUE DE CULTURES BASÉ SUR L'ÉDITION GÉNIQUE ET PRODUCTION DE PLANTES BRACHYTIQUES,"62/438,37022.12.2016US","CA3047163

CN110213961

EP3557980

BR112019012819

US20200140874

UY0001037545

AR110581

MX2019007546

MX2022014145",PCT/US2017/067888,21.12.2017,21.12.2017,World Intellectual Property Organization,38.66369922,-90.57639294,Remington,Indiana,United States,Corn/Maize,,False,,,True,Yield Improvement
