Application Id,Application Number,Office,Application Date_page,Publication Number,Publication Date,Grant Number,Grant Date,Publication Kind,Applicants,IPC_page,CPC,Inventors,Agents,Title_page,Abstract,Priority Data,Related Patent Documents,International Application No.,International Filing Date,Publication Language,Filing Language,Designated States,Chapter 2 Demand Filed,FI,F-term,Address Picture,International Application Number,Link,Application Date_list,Country,Title_list,IPC_list,latitude,longitude,city_name,country_name,state_name,applicant_city_name,applicant_state_name,applicant_country_name,crop
CN324347467,201911093561.X,China,11.11.2019,112779265,11.05.2021,112779265,08.11.2022,B,"Institute Of Genetics And Developmental Biology, Chinese Academy Of Sciences中国科学院遗传与发育生物学研究所","C12N 15/29
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					








C12N 15/29
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/8218
					






C07K 14/415
					








C12N 15/8218
					






C07K 14/415
					






View less classifications",Yu Hong余泓Song Xiaoguang宋晓光Li Jiayang李家洋Meng Xiangbing孟祥兵,北京纪凯知识产权代理有限公司 11245,(EN) Breeding method for carrying out saturated base editing on specific gene of plant(ZH) 一种对植物特定基因进行饱和碱基编辑的育种方法,"(EN) The invention discloses a plant breeding method for carrying out saturated base editing on a specific gene. The plant breeding method comprises the following steps: 1) selecting a gene to be edited; 2) designing targets of a protein coding region and a gene expression regulation region of a targeting to-be-edited gene; 3) preparing a construct by using a single-base editing CRISPR system according to the designed targets; (4) preparing a transgenic crop as a first-generation plant by utilizing the construct in the step (3); and (5) screening the first generation of plants in the step (4) or plants with homozygous edited genomes in the later generations of the plants as parents for breeding. The invention relates to a method for carrying out base editing on all or multiple target sequences in selected genes in plant (such as crop plants) genomes through a Cas single base editing fusion protein guided by guide RNA (Ribonucleic Acid) to obtain different phenotypes of progenies, and plant progenies and alleles obtained with the method.(ZH) 本发明公开了一种对特定基因进行饱和碱基编辑的植物育种方法，包括如下步骤：1)选定一个待编辑基因；2)设计靶向待编辑基因的蛋白编码区及基因表达调控区的靶点，3)根据设计的靶点利用单碱基编辑CRISPR系统制备构建体；4)利用步骤3)中的构建体制备转基因作物，作为一代植株；5)筛选步骤4)中的一代植株或其后代中基因组纯合编辑的植株作为亲本育种。本发明通过向导RNA指导的Cas单碱基编辑融合蛋白对植物(例如作物植物)基因组中选定基因中所有或多个靶序列进行碱基编辑以获得不同表型后代的方法及通过此方法获得的植物后代及等位基因。",,,,,,,,,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=CN324347467,11.11.2019,China,Breeding method for carrying out saturated base editing on specific gene of plant,C12N 15/29; C12N 15/82; A01H 5/00; A01H 6/46,38.115509,114.533286,Shi Jia Zhuang Shi,China,He Bei Sheng,Shi Jia Zhuang Shi,He Bei Sheng,China,Crop plants
CN417838467,202311185645,China,13.09.2023,117210485,12.12.2023,,,A,"Shengyan Private Life Technology (Shanghai) Co., Ltd.圣言私密生命科技（上海）有限公司","C12N 15/82
					






C12N 15/29
					






A01H 6/20
					






A01H 5/00
					








C12N 15/82
					






C12N 15/29
					






A01H 6/20
					






A01H 5/00
					






View less classifications",,Du Chenbo杜晨波,北京汇众通达知识产权代理事务所(普通合伙) 11622,(EN) Method for improving plant gene editing efficiency(ZH) 一种提高植物基因编辑效率的方法,"(EN) The invention discloses a method for improving plant gene editing efficiency, which comprises the following steps: selecting a target gene, and designing a single guide RNA sequence by using a CRISPR design tool; constructing a CRISPR-Cas9 expression vector according to the single guide RNA sequence; carrying out plant transformation and screening by utilizing a plant transformation method; performing molecular analysis and verification according to a screening result; and performing function verification and optimization improvement according to an editing result. According to the method, gene editing can be realized more quickly, time and labor cost are saved, more accurate gene editing can be realized, unintentional mutation or non-specific editing is avoided, so that the editing accuracy and repeatability are improved, the influence of pathogenic bacteria on crops is reduced by improving the disease resistance of plants, and the crop quality is improved. Therefore, the yield and quality of crops are improved.(ZH) 本发明公开了一种提高植物基因编辑效率的方法，包括，选择目标基因，使用CRISPR设计工具设计单指导RNA序列；根据单指导RNA序列构建CRISPR‑Cas9表达载体；利用植物转化方法进行植物转化和筛选；根据筛选结果进行分子分析和验证；根据编辑结果进行功能验证和优化改进。本发明能够更快速地实现基因编辑，节省时间和劳动力成本，够实现更精确的基因编辑，避免无意的突变或非特异性编辑，从而提高编辑的准确性和可重复性，并且通过提高植物的抗病性，有助于降低病原菌对农作物的影响，从而提高农作物的产量和品质。",,,,,,,,,,,,,,,,,,31.189885,121.269746,,China,Shang Hai Shi,,Shang Hai Shi,China,Crop plants
CA382074342,3183409,Canada,28.05.2021,3183409,02.12.2021,,,A1,"Pioneer Hi-Bred International, Inc.","C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 9/22
					






C12N 15/8242
					






C12N 15/8213
					








C12N 9/22
					






C12N 15/8242
					






C12N 15/8213
					






View less classifications","Frank, Mary J.Gerke, Justin P.Meyer, Jenelle D. F.Svitashev, Sergei",,(EN) LARGE SCALE GENOME MANIPULATION(FR) MANIPULATION DE GENOME A GRANDE ECHELLE,"(EN) Compositions and methods are provided for large scale manipulation of genomic regions and chromosomal engineering of plant genomes. Portions of chromosomes may be deleted, translocated, duplicated or inverted, which are useful for various applications in plant breeding programs that relate to recombination, crossovers, and genetic gain. Site-specific directed DNA breaks enhance targeted recombination frequencies, crossover efficiency and movement of large chromosomal segments in crop plant cells. CRISPR-Cas systems enable targeted chromosomal engineering of crop plants.(FR) L'invention concerne des compositions et des méthodes pour la manipulation à grande échelle de régions génomiques et l'ingénierie chromosomique de génomes végétaux. Des parties de chromosomes, qui sont utiles pour diverses applications dans des programmes de sélection de plante qui concernent la recombinaison, les croisements et le gain génétique, peuvent être supprimées, transloquées, dupliquées ou inversées. Des cassures d'ADN dirigées spécifiques à un site améliorent les fréquences de recombinaison ciblées, l'efficacité de croisement et le mouvement de grands segments chromosomiques dans des cellules végétales cultivées. Les systèmes CRISPR-Cas permettent une ingénierie chromosomique ciblée de plantes cultivées.","63/031,822 29.05.2020 US","WO/2021/243115

CN115698302

EP4158033

US20230203517

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,,,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=CA382074342,28.05.2021,Canada,LARGE SCALE GENOME MANIPULATION,C12N 15/82,40.0601297,-76.0696993,New Holland,United States,Pennsylvania,New Holland,Pennsylvania,United States,Crop plants
CN391941406,202180038896,China,28.05.2021,115698302,03.02.2023,,,A,"Pioneer Hi-Bred International, Inc.先锋国际良种公司","C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 9/22
					






C12N 15/8242
					






C12N 15/8213
					








C12N 9/22
					






C12N 15/8242
					






C12N 15/8213
					






View less classifications","Frank Michael Jm·J·弗兰克Goeke, James, P.J·P·格克J.D.F.Meierj·D·F·迈耶Svitashev Sergeys·斯维塔舍夫",中国专利代理(香港)有限公司 72001中国专利代理(香港)有限公司 72001,(EN) Large scale genome manipulation(ZH) 大规模基因组操纵,"(EN) Compositions and methods for large scale manipulation of genomic regions and chromosomal engineering of plant genomes are provided. Partial chromosomes can be deleted, translocated, replicated or inverted, which can be used in various applications in plant breeding plans related to recombination, exchange and genetic gain. Site-specific directed DNA cleavage in crop plant cells enhances targeted recombination frequency, exchange efficiency, and movement of large chromosome segments. The CRISPR-Cas system makes it possible to carry out targeted chromosome engineering on crop plants.(ZH) 提供了用于大规模操纵基因组区域和对植物基因组进行染色体工程化的组合物和方法。可以使部分染色体缺失、易位、复制或倒位，这可用于与重组、交换和遗传增益相关的植物育种计划中的各种应用。作物植物细胞中位点特异性定向DNA断裂增强了大染色体区段的被靶向的重组频率、交换效率和移动。CRISPR‑Cas系统使得对作物植物进行靶向染色体工程化成为可能。",63/031822 29.05.2020 US,"WO/2021/243115

CA3183409

EP4158033

US20230203517

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,,,,,,,,,,,,40.0601297,-76.0696993,New Holland,United States,Pennsylvania,New Holland,Pennsylvania,United States,Crop plants
WO2021243115,PCT/US2021/034704,,,WO/2021/243115,02.12.2021,,,,"Pioneer Hi-Bred International, Inc.
							[Us]/[Us]","C12N 15/82
					

2006.1
					





C12N 15/82
					

2006.1
					



View less classifications","C12N 15/8213
					






C12N 15/8242
					






C12N 9/22
					








C12N 15/8213
					






C12N 15/8242
					






C12N 9/22
					






View less classifications","Frank, Mary, J.
							


Gerke, Justin, P.
							


Meyer, Jenelle, D., F.
							


Svitashev, Sergei","DEVADAS, Sendil",(EN) LARGE SCALE GENOME MANIPULATION(FR) MANIPULATION DE GÉNOME À GRANDE ÉCHELLE,"(EN) Compositions and methods are provided for large scale manipulation of genomic regions and chromosomal engineering of plant genomes. Portions of chromosomes may be deleted, translocated, duplicated or inverted, which are useful for various applications in plant breeding programs that relate to recombination, crossovers, and genetic gain. Site-specific directed DNA breaks enhance targeted recombination frequencies, crossover efficiency and movement of large chromosomal segments in crop plant cells. CRISPR-Cas systems enable targeted chromosomal engineering of crop plants.(FR) L'invention concerne des compositions et des méthodes pour la manipulation à grande échelle de régions génomiques et l'ingénierie chromosomique de génomes végétaux. Des parties de chromosomes, qui sont utiles pour diverses applications dans des programmes de sélection de plante qui concernent la recombinaison, les croisements et le gain génétique, peuvent être supprimées, transloquées, dupliquées ou inversées. Des cassures d'ADN dirigées spécifiques à un site améliorent les fréquences de recombinaison ciblées, l'efficacité de croisement et le mouvement de grands segments chromosomiques dans des cellules végétales cultivées. Les systèmes CRISPR-Cas permettent une ingénierie chromosomique ciblée de plantes cultivées.","63/031,82229.05.2020US","CA3183409

CN115698302

EP4158033

US20230203517

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",PCT/US2021/034704,28.05.2021,English (en),English (en),"View all
							



AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, IT, JO, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, MA, MD, ME, MG, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, ST, SV, SY, TH, TJ, TM, TN, TR, TT, TZ, UA, UG, US, UZ, VC, VN, WS, ZA, ZM, ZWAfrican Regional Intellectual Property Organization (ARIPO) (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW)Eurasian Patent Organization (AM, AZ, BY, KG, KZ, RU, TJ, TM)European Patent Office (AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR)African Intellectual Property Organization (BF, BJ, CF, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG)


Hide all",,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021243115,28.05.2021,World Intellectual Property Organization,LARGE SCALE GENOME MANIPULATION,C12N 15/82,40.1631226,-76.6461019,Elizabethtown,United States,Pennsylvania,Elizabethtown,Pennsylvania,United States,Crop plants
EP394881944,21812108,European Patent Office,28.05.2021,4158033,05.04.2023,,,A4,Pioneer Hi Bred Int,"C12N 15/82
					






C12N 9/22
					








C12N 15/82
					






C12N 9/22
					






View less classifications","C12N 9/22
					






C12N 15/8242
					






C12N 15/8213
					








C12N 9/22
					






C12N 15/8242
					






C12N 15/8213
					






View less classifications",Frank Mary Jgerke Justin Pmeyer Jenelle D Fsvitashev Sergei,,(DE) GENOMMANIPULATION IM GROSSMASSSTAB(EN) LARGE SCALE GENOME MANIPULATION(FR) MANIPULATION DE GÉNOME À GRANDE ÉCHELLE,"(EN) Compositions and methods are provided for large scale manipulation of genomic regions and chromosomal engineering of plant genomes. Portions of chromosomes may be deleted, translocated, duplicated or inverted, which are useful for various applications in plant breeding programs that relate to recombination, crossovers, and genetic gain. Site-specific directed DNA breaks enhance targeted recombination frequencies, crossover efficiency and movement of large chromosomal segments in crop plant cells. CRISPR-Cas systems enable targeted chromosomal engineering of crop plants.(FR) L'invention concerne des compositions et des méthodes pour la manipulation à grande échelle de régions génomiques et l'ingénierie chromosomique de génomes végétaux. Des parties de chromosomes, qui sont utiles pour diverses applications dans des programmes de sélection de plante qui concernent la recombinaison, les croisements et le gain génétique, peuvent être supprimées, transloquées, dupliquées ou inversées. Des cassures d'ADN dirigées spécifiques à un site améliorent les fréquences de recombinaison ciblées, l'efficacité de croisement et le mouvement de grands segments chromosomiques dans des cellules végétales cultivées. Les systèmes CRISPR-Cas permettent une ingénierie chromosomique ciblée de plantes cultivées.",202063031822 29.05.2020 US,"WO/2021/243115

CA3183409

CN115698302

US20230203517

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP394881944,28.05.2021,European Patent Office,LARGE SCALE GENOME MANIPULATION,C12N 15/82; C12N 9/22,40.1631226,-76.6461019,,,,Elizabethtown,Pennsylvania,United States,Crop plants
WO2023164550,PCT/US2023/063129,,,WO/2023/164550,31.08.2023,,,,"Pioneer Hi-Bred International, Inc.
							[Us]/[Us]","A01H 1/00
					

2006.1
					



A01H 1/04
					

2006.1
					



C12N 9/22
					

2006.1
					



A01H 5/10
					

2018.1
					





A01H 1/00
					

2006.1
					



A01H 1/04
					

2006.1
					



C12N 9/22
					

2006.1
					



A01H 5/10
					

2018.1
					



View less classifications","C12N 15/8213
					






C12N 9/22
					








C12N 15/8213
					






C12N 9/22
					






View less classifications","Sander, Jeffry
							


Svitashev, Sergei
							


Young, Joshua K.","DEVADAS, Sendil
							


FORTINI, Jenna T.",(EN) METHODS AND COMPOSITIONS FOR ADVANCED BREEDING THROUGH TARGETED CHROMOSOME ENGINEERING(FR) PROCÉDÉS ET COMPOSITIONS DE CULTURE AVANCÉE PAR INGÉNIERIE CHROMOSOMIQUE CIBLÉE,"(EN) Compositions and methods are provided for large scale manipulation of genomic regions and chromosomal engineering of plant genomes that include paracentric inversions, rearrangement of pericentromeric chromosomal segments, chromosomal translocations and inversions thereof. These advanced breeding techniques provide enhanced genetic diversity within existing breeding population and increase genetic gain. Wild or outcrosses between two different crop species that can be crossed are also within scope of the disclosure. Site-specific genome manipulation tools such as CRISPR-Cas systems enable targeted chromosomal engineering of crop plants, including stable, inheritable, large-scale centromeric inversions.(FR) L'invention concerne des compositions et des procédés de manipulation à grande échelle de régions génomiques et l'ingénierie chromosomique de génomes de plantes qui comprennent des inversions paracentriques, un réagencement de segments chromosomiques péricentromériques, des translocations chromosomiques et des inversions de ceux-ci. Ces techniques de culture avancée fournissent une diversité génétique améliorée dans une population de culture existante et augmentent le gain génétique. L'invention concerne également les espèces sauvages ou croisées entre deux espèces de culture différentes qui peuvent faire l'objet d'un croisement. Des outils de manipulation de génome spécifiques à un site tels que des systèmes CRISPR-Cas permettent une ingénierie chromosomique ciblée de plantes cultivées, comprenant des inversions centromériques stables, héréditaires, à grande échelle.","63/314,40226.02.2022US","EP4482298

US18840944This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",PCT/US2023/063129,23.02.2023,English (en),English (en),"View all
							



AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CV, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IQ, IR, IS, IT, JM, JO, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, MA, MD, MG, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, ST, SV, SY, TH, TJ, TM, TN, TR, TT, TZ, UA, UG, US, UZ, VC, VN, WS, ZA, ZM, ZWAfrican Regional Intellectual Property Organization (ARIPO) (BW, CV, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SC, SD, SL, ST, SZ, TZ, UG, ZM, ZW)Eurasian Patent Organization (AM, AZ, BY, KG, KZ, RU, TJ, TM)European Patent Office (AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR)African Intellectual Property Organization (BF, BJ, CF, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG)


Hide all",,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023164550,23.02.2023,World Intellectual Property Organization,METHODS AND COMPOSITIONS FOR ADVANCED BREEDING THROUGH TARGETED CHROMOSOME ENGINEERING,A01H 1/00; A01H 1/04; C12N 9/22; A01H 5/10,40.1631226,-76.6461019,,,,Elizabethtown,Pennsylvania,United States,Crop plants
EP445085862,23760919,European Patent Office,23.02.2023,4482298,01.01.2025,,,A2,Pioneer Hi Bred Int,"A01H 1/00
					






A01H 1/04
					






A01H 5/10
					






C12N 9/22
					








A01H 1/00
					






A01H 1/04
					






A01H 5/10
					






C12N 9/22
					






View less classifications","C12N 9/22
					






C12N 15/8213
					








C12N 9/22
					






C12N 15/8213
					






View less classifications",Sander Jeffrysvitashev Sergeiyoung Joshua K,,(DE) VERFAHREN UND ZUSAMMENSETZUNGEN ZUR ERWEITERTEN ZÜCHTUNG DURCH GEZIELTE CHROMOSOMENMANIPULATION(EN) METHODS AND COMPOSITIONS FOR ADVANCED BREEDING THROUGH TARGETED CHROMOSOME ENGINEERING(FR) PROCÉDÉS ET COMPOSITIONS DE CULTURE AVANCÉE PAR INGÉNIERIE CHROMOSOMIQUE CIBLÉE,"(EN) Compositions and methods are provided for large scale manipulation of genomic regions and chromosomal engineering of plant genomes that include paracentric inversions, rearrangement of pericentromeric chromosomal segments, chromosomal translocations and inversions thereof. These advanced breeding techniques provide enhanced genetic diversity within existing breeding population and increase genetic gain. Wild or outcrosses between two different crop species that can be crossed are also within scope of the disclosure. Site-specific genome manipulation tools such as CRISPR-Cas systems enable targeted chromosomal engineering of crop plants, including stable, inheritable, large-scale centromeric inversions.(FR) L'invention concerne des compositions et des procédés de manipulation à grande échelle de régions génomiques et l'ingénierie chromosomique de génomes de plantes qui comprennent des inversions paracentriques, un réagencement de segments chromosomiques péricentromériques, des translocations chromosomiques et des inversions de ceux-ci. Ces techniques de culture avancée fournissent une diversité génétique améliorée dans une population de culture existante et augmentent le gain génétique. L'invention concerne également les espèces sauvages ou croisées entre deux espèces de culture différentes qui peuvent faire l'objet d'un croisement. Des outils de manipulation de génome spécifiques à un site tels que des systèmes CRISPR-Cas permettent une ingénierie chromosomique ciblée de plantes cultivées, comprenant des inversions centromériques stables, héréditaires, à grande échelle.",202263314402 26.02.2022 US,"WO/2023/164550

US18840944This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all",,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=EP445085862,23.02.2023,European Patent Office,METHODS AND COMPOSITIONS FOR ADVANCED BREEDING THROUGH TARGETED CHROMOSOME ENGINEERING,A01H 1/00; A01H 1/04; A01H 5/10; C12N 9/22,40.1631226,-76.6461019,,,,Elizabethtown,Pennsylvania,United States,Crop plants
US400261471,18000067,United States of America,28.05.2021,20230203517,29.06.2023,,,A1,"Pioneer Hi-Bred International, Inc.","C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 15/8213
					






C12N 15/8242
					








C12N 15/8213
					






C12N 15/8242
					






View less classifications",Mary J. Frankjustin P. Gerkejenelle D. F. Meyersergei Svitashev,,(EN) LARGE SCALE GENOME MANIPULATION,"(EN) 
Compositions and methods are provided for large scale manipulation of genomic regions and chromosomal engineering of plant genomes. Portions of chromosomes may be deleted, translocated, duplicated or inverted, which are useful for various applications in plant breeding programs that relate to recombination, crossovers, and genetic gain. Site-specific directed DNA breaks enhance targeted recombination frequencies, crossover efficiency and movement of large chromosomal segments in crop plant cells. CRISPR-Cas systems enable targeted chromosomal engineering of crop plants.",,"WO/2021/243115

CA3183409

CN115698302

EP4158033

IN202217070664This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,,,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=US400261471,28.05.2021,United States,LARGE SCALE GENOME MANIPULATION,C12N 15/82,40.0601297,-76.0696993,,,,New Holland,Pennsylvania,United States,Crop plants
WO2018099256,PCT/CN2017/110349,,,WO/2018/099256,07.06.2018,,,,"中国农业科学院作物科学研究所 Institute Of Crop Sciences, Chinese Academy Of Agricultural Sciences
							[Cn]/[Cn]","C12N 15/82
					

2006.1
					



A01H 5/00
					

2018.1
					





C12N 15/82
					

2006.1
					



A01H 5/00
					

2018.1
					



View less classifications","C12N 15/8201
					






C12N 15/8222
					






C12N 2810/10
					








C12N 15/8201
					






C12N 15/8222
					






C12N 2810/10
					






View less classifications","夏兰琴 Xia, Lanqin
							


李晶莹 Li, Jingying
							


赵云德 Zhao, Yunde
							


孙永伟 Sun, Yongwei",北京纪凯知识产权代理有限公司 JEEKAI&PARTNERS,(EN) APPLICATION OF CRISPR/NCAS9 MEDIATED SITE-DIRECTED BASE SUBSTITUTION IN PLANTS(FR) APPLICATION DE SUBSTITUTION DE BASE SITE DIRIGÉE MÉDIÉE PAR CRISPR/NCAS9 DANS DES PLANTES(ZH) 一种CRISPR/nCas9介导的定点碱基替换在植物中的应用,"(EN) A CRISPR/nCas9 mediated site-directed base substitution applied to plants. The site-directed base substitution is achieved by a system of site-directed editing plant genomes, and the system comprises a BE3 plant expression vector expressing a fusion protein composed of nCas9 (D10A), deaminase, and a uracil DNA glycosylase inhibitory protein, and the system was verified by using rice OsPDS and OsSBEIIb as target genes. The results showed that among three selected target sites, expected site-directed mutant plants were all obtained, accurate site mutation of the base in rice was achieved, and the highest efficiency reached about 20%, thus providing a feasible and effective method of base substitution for crop breeding. The method has strong potential for application in agricultural breeding and provides a basis for rapidly improving important agronomic traits of crops.(FR) L'invention concerne une substitution de base site dirigée médiée par CRISPR/nCas9 appliquée à des plantes. La substitution de base site dirigée est obtenue par un système d'édition site dirigée de génomes de plantes, et le système comprend un vecteur d'expression de plante BE3 exprimant une protéine de fusion composée de nCas9 (D10A), de la désaminase, et d'une protéine inhibitrice de l'uracile-ADN glycosylase, et le système a été vérifié en utilisant les OsPDS et OsSBEIIb du riz en tant que gènes cibles. Les résultats ont montré que, parmi trois sites cibles sélectionnés, les plantes mutantes site dirigées attendues étaient toutes obtenues, une mutation de site précise de la base dans le riz a été obtenue, et l'efficacité la plus élevée a atteint environ 20 %, offrant ainsi un procédé réalisable et efficace de substitution de base pour l'amélioration génétique des cultures Le procédé a un fort potentiel pour une application dans l'amélioration génétique agricole et fournit une base pour l'amélioration rapide des traits agronomiques importants de cultures.(ZH) 一种CRISPR/nCas9介导的定点碱基替换在植物中的应用。所述定点碱基替换通过定点编辑植物基因组的系统实现，该系统包括BE3植物表达载体，BE3植物表达载体表达由nCas9(D10A)、脱氨酶和尿嘧啶DNA糖基化酶抑制蛋白组成的融合蛋白，并以水稻OsPDS和OsSBEIIb为靶基因对该系统进行验证。结果表明，在所选的3个靶点中，均获得预期定点突变植株，在水稻中实现了碱基的精确的点突变，且效率最高达到20％左右，为农作物育种提供了一种可行的有效的碱基替换方法，在农业育种方面具有强大的应用潜力，为快速改良农作物重要农艺性状提供了基础。",201611091107.701.12.2016CN,,PCT/CN2017/110349,10.11.2017,Chinese (zh),Chinese (zh),"View all
							



AE, AG, AL, AM, AO, AT, AU, AZ, BA, BB, BG, BH, BN, BR, BW, BY, BZ, CA, CH, CL, CN, CO, CR, CU, CZ, DE, DJ, DK, DM, DO, DZ, EC, EE, EG, ES, FI, GB, GD, GE, GH, GM, GT, HN, HR, HU, ID, IL, IN, IR, IS, JO, JP, KE, KG, KH, KN, KP, KR, KW, KZ, LA, LC, LK, LR, LS, LU, LY, MA, MD, ME, MG, MK, MN, MW, MX, MY, MZ, NA, NG, NI, NO, NZ, OM, PA, PE, PG, PH, PL, PT, QA, RO, RS, RU, RW, SA, SC, SD, SE, SG, SK, SL, SM, ST, SV, SY, TH, TJ, TM, TN, TR, TT, TZ, UA, UG, US, UZ, VC, VN, ZA, ZM, ZWAfrican Regional Intellectual Property Organization (ARIPO) (BW, GH, GM, KE, LR, LS, MW, MZ, NA, RW, SD, SL, ST, SZ, TZ, UG, ZM, ZW)Eurasian Patent Organization (AM, AZ, BY, KG, KZ, RU, TJ, TM)European Patent Office (AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR)African Intellectual Property Organization (BF, BJ, CF, CG, CI, CM, GA, GN, GQ, GW, KM, ML, MR, NE, SN, TD, TG)


Hide all",,,,,,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2018099256,10.11.2017,World Intellectual Property Organization,APPLICATION OF CRISPR/NCAS9 MEDIATED SITE-DIRECTED BASE SUBSTITUTION IN PLANTS,C12N 15/82; A01H 5/00,39.961188,116.328189,,,,,北京市,China,Rice
