Applicants,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
,0,4,0,1,0,0,0,0,0,0,0,0
"(주)이지템Easytem Co., Ltd.",0,0,0,0,0,0,0,0,1,0,0,0
Abcam Plc,0,0,1,0,0,0,0,0,0,0,0,0
"Agricultural Genomics Institute At Shenzhen, Chinese Academy Of Agricultural Sciences",0,0,0,0,0,0,0,0,0,1,1,1
Agricultural University In China,0,0,0,0,0,0,0,1,0,4,0,0
Agricultural University Of Hebei,0,0,0,0,0,0,0,0,0,0,1,0
Agriculture Victoria Services Pty Ltd.,0,0,0,0,0,0,0,0,0,0,1,0
All-Russian Research Institute of Agricultural Biotechnology,0,0,0,0,0,0,0,2,0,6,0,0
Anhui Academy Of Agricultural Sciences安徽省农业科学院水稻研究所Nanjing Agricultural University,0,0,0,0,0,0,0,0,0,1,0,0
Anhui Agricultural University,0,0,0,0,0,0,0,0,0,1,0,4
Anhui Agricultural University安徽农业大学Crop Science Research Institute Of Chinese Academy Of Agricultural Sciences,0,0,0,0,0,0,0,0,1,0,0,0
Applied Stemcell Inc,0,0,1,0,0,0,0,0,0,0,0,0
"Aquelfy (Shanghai) Medical Beauty Co., Ltd.水剥离（上海）",0,0,0,0,0,0,0,0,0,0,1,0
Avesthagen Limited,0,0,0,0,0,0,0,1,0,0,0,0
"Baoshan Huada Wisdom Agricultural Technology Co., Ltd.",0,0,0,0,0,0,0,1,0,0,0,0
Basf Plant Science Co Gmbh,0,0,0,0,2,0,0,0,0,0,0,0
Basf Plant Science Company Gmbh,0,0,0,0,4,4,0,0,1,7,0,0
"Beidahuang Kenfeng Seed Industry Co., Ltd.",0,0,0,0,0,0,1,0,0,0,0,1
Beijing Academy Of Agriculture And Forestry Sciences,0,0,0,0,0,1,0,2,1,0,4,8
"Beijing Academy Of Agriculture And Forestry Sciencesinstitute Of Genetics And Developmental Biology, Chinese Academy Of Sciences",0,0,0,0,1,0,0,0,0,0,0,0
"Beijing Academy Of Agriculture And Forestry Sciences北京市农林科学院Institute Of Genetics And Developmental Biology, Chinese Academy Of Sciences",0,0,0,0,1,0,1,0,0,0,0,0
"Beijing Academy Of Agriculture And Forestry Sciences北京市农林科学院Jingyan Yinong (Beijing) Seed Sci-Tech Co., Ltd.京研益农（北京）",0,0,0,0,0,0,1,0,0,0,0,0
Beijing Ciic Biological Agricultural International Research Institute,0,0,0,0,0,0,0,0,0,0,0,1
Beijing Forestry University,0,0,0,0,0,0,0,1,0,0,1,1
Beijing Normal University,0,0,0,0,0,0,0,0,0,0,1,0
"Beijing Shou Jia Li Hua Sci-Tech Co., Ltd.北京首佳利华科技有限公司Xinyang Shoujia Lihua Agriculture Technology Co., Ltd.",0,0,0,0,0,0,0,0,2,0,0,0
Beijing University Of Agriculture,0,0,0,0,0,0,0,0,0,0,1,0
"Biogle Genome Technology (Jiangsu) Co., Ltd.",0,0,0,0,1,0,0,0,0,0,0,0
Biological Technology Institute Of Fujian Academy Of Agricultural Sciences,0,0,0,0,0,0,0,1,0,0,0,0
"Biology Security Center, Sanya China Academy Of Inspection三亚中国检科院生物安全中心Institute Of Plant Protection Of Xinjiang Academy Of Agricultural Sciences",0,0,0,0,0,0,0,0,0,0,1,0
Biotechnology Research Institute Of Chinese Academy Of Agricultural Sciences,0,0,0,0,0,0,0,0,0,1,0,0
"Biotechnology Research Institute, Caas",0,0,0,0,1,0,0,1,1,2,2,1
Board Of Regents Of The Nevada System Of Higher Education On Behalf Of The University Of Nevada,0,0,0,0,0,0,0,0,0,0,1,0
"Board Of Regents Of The Nevada System Of Higher Education, On Behalf Of The University Of Nevada",0,0,0,0,0,0,0,0,0,0,0,1
"Cangzhou Bohai New Area Yatai Biotechnology Co., Ltd.",0,0,0,0,0,0,0,0,0,0,1,0
Canopy Growth Corporation,0,0,0,0,0,0,0,0,0,0,1,0
Cas Center For Excellence In Molecular Plant Sciences,0,0,0,0,0,0,3,3,1,1,0,0
Chen Chao,0,0,0,0,0,0,2,0,0,0,0,0
"Chengdui Plant Service Co., Ltd.",0,0,0,0,0,0,0,1,2,0,0,0
China Agricultural University,0,0,0,0,1,0,9,4,3,3,3,5
"China Agricultural Universityinstitute Of Genetics And Developmental Biology, Chinese Academy Of Sciences",0,0,0,0,0,1,0,0,0,0,0,0
China Jiliang University,0,0,0,0,0,0,0,1,0,0,0,0
China National Rice Research Institute,0,0,0,0,0,1,0,0,0,0,1,1
