crop,Cold Tolerance,Disease Resistance,Drought Adaptation,Gene Editing Systems Development,Heat Tolerance,Other Genetic Improvement for Crop Traits,Other Purpose,Pesticide Resistance,Yield Improvement
Alfalfa,0,0,0,12,0,6,0,0,0
"Alfalfa, Soybeans",0,0,0,0,0,0,0,0,1
Arabidopsis,0,0,2,0,0,0,0,0,1
Asparagus,0,0,1,0,0,0,0,0,0
Bamboo,0,0,0,1,0,0,0,0,1
Banana,0,1,0,0,0,1,0,0,0
Barley,0,0,0,1,0,0,0,0,0
Basil,0,2,0,0,0,0,0,0,0
Beet,0,0,0,0,0,1,0,0,0
Broccoli,0,0,0,0,0,1,0,0,0
Cabbage,0,2,0,5,0,7,2,0,1
Cannabis,0,0,0,1,0,0,0,0,0
Canola,0,6,2,0,0,13,0,0,25
Capsicum,0,0,0,1,0,0,0,0,0
Carrot,0,1,0,0,0,1,0,0,0
Cassava,0,0,0,1,0,0,0,0,0
Chrysanthemum,0,0,0,1,0,0,0,0,0
Citrus,0,3,0,1,0,3,0,0,0
Coffee,0,0,0,0,0,0,1,0,0
"Corn, Rice",0,0,0,0,0,0,0,0,1
"Corn, Soybeans",0,0,0,0,0,0,0,0,2
"Corn, Tomato, Soybeans",0,0,0,10,0,0,0,0,0
"Corn, Wheat",0,0,0,0,0,1,0,0,0
Corn/Maize,3,22,8,3,3,20,2,1,60
Cotton,0,0,0,3,0,14,0,1,3
Crop plants,3,35,20,324,1,45,35,10,24
Cucumber,0,0,0,0,0,3,0,0,0
"Dandelion, Taraxacum kok-saghyz",0,0,0,1,0,0,0,0,0
Eggplant,1,0,0,0,0,1,0,0,0
Elephant Grass,0,0,0,1,0,0,0,0,0
Flax,0,0,0,0,0,1,0,0,0
Foxtail millet,0,0,0,0,0,0,0,0,1
Garlic,0,0,0,0,0,1,0,0,0
Ginger,0,1,0,0,0,0,0,0,0
Gingko,0,0,0,0,0,1,0,0,0
Grape,0,1,1,2,0,2,0,0,0
Leguminous Plants,0,0,0,0,0,1,0,0,2
Lettuce,0,0,0,0,0,4,0,1,1
Litchi,0,1,0,0,0,0,0,0,0
Lychee,0,1,0,0,0,0,0,0,0
Millet,0,0,0,0,0,3,0,0,0
Mulberry,0,0,0,1,0,0,0,0,0
Mung bean,0,0,0,0,0,2,0,0,0
Muskmelon,0,0,0,1,0,0,0,0,0
Mustard,0,0,0,0,0,1,0,0,0
No crops mentioned.,0,0,0,0,0,0,1,0,0
Other plants,1,2,0,17,0,10,14,0,1
Papaya,0,0,0,1,0,0,1,0,0
Patchouli,0,0,0,1,0,0,0,0,0
Peach,0,1,0,0,0,0,0,0,0
Peanuts,0,0,0,1,0,3,0,0,0
Pear,0,0,0,1,0,0,0,0,0
Peas,0,0,0,1,0,0,0,0,0
Petunia,0,0,0,0,0,1,0,0,0
Pine,0,1,0,0,0,0,1,0,0
Pineapple,0,0,0,0,0,0,1,0,0
Poplar,0,0,0,2,0,6,0,0,2
Potatoes,0,7,0,0,0,14,0,0,0
"Potatoes, Citrus",0,1,0,0,0,0,0,0,0
"Potatoes, Tobacco",0,0,0,2,0,0,0,0,0
Radish,0,0,0,1,0,0,0,0,0
Rehmannia,0,0,0,0,0,1,0,0,0
Rice,8,53,27,22,3,66,1,15,92
"Rice, Corn, Wheat, Soybeans, Cotton",0,1,0,0,0,0,0,0,2
Rosáceas,0,0,0,0,0,0,0,0,1
Ryegrass,0,0,0,0,0,1,0,0,0
Safflower,0,0,0,0,0,1,0,0,0
Sea Lavender,0,0,0,0,0,1,0,0,0
Sorghum,0,0,1,0,0,3,0,0,1
Soybeans,0,10,5,6,0,12,2,2,30
Straw mushroom,0,0,0,0,0,1,0,0,0
Strawberry,0,0,0,0,0,1,0,0,1
Sugarcane,0,0,0,0,0,0,0,0,1
"Sugarcane, Corn",0,0,0,0,0,1,0,0,0
"Sugarcane, Energycane",0,0,0,0,0,0,0,0,1
Sweet Potato,0,2,0,0,0,0,0,0,0
Switchgrass,0,0,0,1,0,0,0,0,2
Tea,0,0,0,1,0,0,0,0,0
Tilapia,0,0,0,0,0,0,1,0,0
Tobacco,0,7,6,8,0,31,0,0,6
"Tobacco, Rice",0,0,0,0,0,1,0,0,0
"Tobacco, Tea",0,0,0,1,0,0,0,0,0
"Tobacco, Tomatoes",0,4,0,0,0,0,0,0,0
Tomatoes,2,12,7,3,1,29,1,0,17
"Tomatoes, Potatoes",0,0,0,0,0,0,0,0,1
Watermelon,0,1,0,0,0,8,0,0,0
Wheat,0,12,0,7,0,10,0,0,13
"Wheat, Barley",0,1,0,0,0,0,0,0,0
Zoysia Grass,0,0,0,1,0,0,0,0,0
