Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Publication Language,Title,Designated States,Abstract,Grant Number,Grant Date,Agents,Priority Data,Related Patent Documents,,,,,,
CN212146150,201711165424,China,21.11.2017,107653256,02.02.2018,A,"C12N 15/53
					






C12N 9/02
					






C12N 15/82
					






C12N 9/22
					






A01H 5/12
					






A01H 6/82
					








C12N 15/53
					






C12N 9/02
					






C12N 15/82
					






C12N 9/22
					






A01H 5/12
					






A01H 6/82
					






View less classifications","C12N 9/0059
					






C12N 9/22
					






C12N 15/8213
					






C12N 15/8261
					






C12Y 110/03001
					








C12N 9/0059
					






C12N 9/22
					






C12N 15/8213
					






C12N 15/8261
					






C12Y 110/03001
					






View less classifications",YUNNAN INSTITUTE OF TOBACCO AGRICULTURE SCIENCE,YAO HENGYANG DAHAIBAI GEXIE HEXIAO BINGGUANGLI YONGPING,,(EN) Tobacco polyphenol oxidase gene NtPPO1 and site-directed mutagenesis method and application thereof(ZH) 一种烟草多酚氧化酶基因NtPPO1及其定点突变方法与应用,,"(EN) The invention discloses a tobacco polyphenol oxidase gene NtPPO1 and a site-directed mutagenesis method and application thereof. The nucleotide sequence of the tobacco polyphenol oxidase gene NtPPO1 is shown in SEQ ID:No.1, the coded amino acid sequence is shown in SEQ ID:No.2. The invention further discloses a clone method of the tobacco polyphenol oxidase gene NtPPO1. The clone method comprisesthe specific steps that firstly, cDNAs of tobacco leaves are synthesized; secondly, PCR amplification of the NtPPO1 gene is conducted; thirdly, a CRISPR/Cas9 carrier of the NtPPO1 gene is constructed;fourthly, sequencing detection of the NtPPO1 gene mutation is conducted. The NtPPO1 gene has a wide application prospect in preventing tobacco browning. The tobacco polyphenol oxidase gene and the encoded protein thereof provide the gene and technology support for crops especially for anti-browning breeding of tobaccos.(ZH) 本发明公开了一种烟草多酚氧化酶基因NtPPO1及其定点突变方法与应用，烟草多酚氧化酶基因NtPPO1核苷酸序列如SEQ ID：No.1所示，编码的氨基酸序列如SEQ ID：No.2所示。本发明还公开了烟草多酚氧化酶基因NtPPO1的克隆方法，具体步骤包括：A、烟草叶片cDNA合成：B、NtPPO1基因的PCR扩增；C、NtPPO1基因的CRISPR/Cas9载体的构建；D、NtPPO1基因突变测序检测。NtPPO1基因在防止烟草褐变方面具有广阔的应用前景。本发明的多酚氧化酶基因及其编码蛋白为农作物尤其是烟草抗褐变育种提供基因与技术的支持。",,,,,,,,,,,
CN412733465,202310424413,China,20.04.2023,116926109,24.10.2023,B,"C12N 15/82
					






C12N 15/56
					






A01H 6/46
					






A01H 5/00
					








C12N 15/82
					






C12N 15/56
					






A01H 6/46
					






A01H 5/00
					






View less classifications","C12N 15/8218
					






C12N 15/8231
					






C12N 15/8205
					






C12N 9/2422
					






C12N 15/8265
					






C12Y 302/01001
					






View more classifications
							






C12N 15/8218
					






C12N 15/8231
					






C12N 15/8205
					






C12N 9/2422
					






C12N 15/8265
					






C12Y 302/01001
					






Y02A 40/146
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",XIE CHUANXIAO谢传晓WANG HONGLIN王虹麟QI XIANTAO祁显涛LIU CHANGLIN刘昌林ZHU JINJIE朱金洁YANG QIN杨琴XU XIAOJIE徐孝洁HUANG JING黄晶,,(EN) Plant programmed pollen self-cleaning CRISPR/Cas gene editing method(ZH) 一种植物程序化花粉自清除CRISPR/Cas基因编辑方法,,"(EN) The invention discloses a plant programmed pollen self-cleaning CRISPR/Cas gene editing method, and relates to the technical field of gene engineering. The method comprises the following steps: introducing a corn alpha-amylase gene ZmAA1 driven by a pollen specific promoter into a CRISPR/Cas9 system to obtain a programmed pollen self-cleaning CRISPR/Cas (PSEC) system; when the PSEC exists and is semi-zygote, the derived single copy PSEC line can cause pollen suicide, the PSEC is inherited to the next generation through female gamete, and CRISPR/Cas gene editing activity can still be exerted in a living body to create receptor target mutation.(ZH) 本发明公开了一种植物程序化花粉自清除CRISPR/Cas基因编辑方法，涉及基因工程技术领域。本发明将花粉特异性启动子驱动的玉米α‑淀粉酶基因ZmAA1引入CRISPR/Cas9系统，得到程序化花粉自清除CRISPR/Cas(PSEC)系统；当PSEC存在且为半合子的情况下，衍生的单拷贝PSEC系会导致花粉“自杀”，并通过雌配子将PSEC遗传给下一代，且在活体中仍能发挥CRISPR/Cas基因编辑活性以创制受体目标突变。",116926109,14.05.2024,北京慕达星云知识产权代理事务所(特殊普通合伙) 11465,,,,,,,,
CN217719128,201810010123,China,05.01.2018,107988229,04.05.2018,B,"C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					








C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/113
					






C12N 15/8213
					






C12N 15/8261
					






C12N 2310/10
					








C12N 15/113
					






C12N 15/8213
					






C12N 15/8261
					






C12N 2310/10
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",SUI YI隋毅YIN TAO阴涛SUN YAO孙尧WU CHUANYIN吴传银CHENG ZIXIANG程子祥ZHANG HAOSHAN张皓珊,,(EN) Method for obtaining rice changed in tillering by utilizing CRISPR-Cas to modify an OsTAC1 gene(ZH) 一种利用CRISPR-Cas修饰OsTAC1基因获得分蘖改变的水稻的方法,,"(EN) The invention provides a method for cultivating a transgenic plant of which a tillering angle is reduced, i.e., edits a protein for regulating and controlling the tillering angle of rice, which is from oryza rice (Oryza sativa var.93-11) and has a name of OsTAC1. Particularly, the coding gene is subjected to knock-out of the OsTAC1 by utilizing a CRISPR/Cas9 gene editing technology so as to obtainthe transgenic plant. Compared to a tillering angle of a contrast wild type plant, the tillering angle of the transgenic plant is reduced. In addition, the invention illustrates a relationship between function weakening type mutation and function loss type mutation and the tillering angle of the plant. SgRNA provided by the invention has high editing efficiency and has wide application prospect.(ZH) 本发明提供的培育减小分蘖角度转基因植物的方法，即编辑了一种调控水稻分蘖角度的的蛋白质，来源于稻属水稻(Oryza sativa var.93‑11)，名称为OsTAC1。具体是将上述的编码基因利用CRISPR/Cas9基因编辑技术对OsTAC1进行敲除从而得到转基因植物，所述转基因植物的分蘖角度相比于对照野生型植株变小。另外本发明阐释了功能弱化型突变和功能丧失型突变与植株分蘖角度之间的关系，本发明提供的sgRNA具有较高的编辑效率，具有较好的应用前景。",107988229,07.01.2020,北京天奇智新知识产权代理有限公司 11340,,,,,,,,
CN204789403,201710423992,China,07.06.2017,107119071,01.09.2017,A,"C12N 15/82
					






A01H 5/00
					








C12N 15/82
					






A01H 5/00
					






View less classifications","C12N 15/8213
					






C12N 9/1051
					






C12N 15/8245
					






C12N 2810/10
					






C12Y 204/01021
					








C12N 15/8213
					






C12N 9/1051
					






C12N 15/8245
					






C12N 2810/10
					






C12Y 204/01021
					






View less classifications","JIANGSU SANSHU BIOTECHNOLOGY CO., LTD.",ZHANG PENGWU YINLIANGZHOU WENZHI,,(EN) Method for reducing content of amylose in plants and application(ZH) 一种降低植物直链淀粉含量的方法及应用,,"(EN) The invention relates to the technical field of biotechnologies and plant transgenosis, in particular to a method for reducing the content of amylose in plants and application. The method comprises the steps that firstly, a CRISPR/Cas9 system of a multielement sgRNA is used for editing GBSSI gene sequences of potato plants; secondly, the CRISPR/Cas9 multielement system in the first step comprises two or more sgRNA sequences; and thirdly, sgRNA nucleotide sequences of the CRISPT/Cas9 multielement system in the second step are selected from the following groups: (a) nucleotide sequences in SEQ ID NO: 1 nucleotide sequences; and (b) nucleotide sequences which are formed by enabling the SEQ ID NO: 1 nucleotide sequences to be subjected to substitution or deletion or addition of one or a plurality of nucleotides, have functions of nucleotides described in (a) and are derived from the nucleotide sequences in (a). According to the method for reducing the content of the amylose in the plants and application, the developmental character of storage roots of the potato plants can be remarkably adjusted, the content of the amylose in the potato plants can be remarkably adjusted, and the method has good application prospects in genetic improvement of the quality of plant starch.(ZH) 本发明涉及生物技术和植物转基因技术领域，具体涉及一种降低植物直链淀粉含量的方法及应用，步骤一：利用多元sgRNA的CRISPR/Cas9系统编辑薯类植物GBSSI基因序列；步骤二：步骤一中所述的CRISPR/Cas9多元系统包括：系统中含有两个及两个以上的sgRNA序列的CRISPR/Cas9系统；步骤三：步骤二中的CRISPR/Cas9多元系统的sgRNA核苷酸序列选自下组；(a)如SEQ ID NO:1核苷酸序列中的核酸序列；(b)将SEQ ID NO:1核苷酸序序列经过一个或多个核苷酸的取代、缺失或添加而形成的，且具有(a)核苷酸功能的由(a)衍生的核酸序列；它可以显著调节薯类植物的储藏根的发育性状，可以显著调节薯类植物的直链淀粉含量，在植物淀粉品质的遗传改良上具有良好的应用前景。",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CN313584580,202010943333,China,09.09.2020,112011558,01.12.2020,A,"C12N 15/53
					






C12N 9/02
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					








C12N 15/53
					






C12N 9/02
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 9/0073
					






C12N 15/8218
					






C12N 15/8281
					






C12N 15/8243
					






C12Y 114/13001
					








C12N 9/0073
					






C12N 15/8218
					






C12N 15/8281
					






C12N 15/8243
					






C12Y 114/13001
					






View less classifications",ZHEJIANG NORMAL UNIVERSITY浙江师范大学,ZHANG KEWEI张可伟YU NINGNING俞宁宁ZHANG YANJUN张艳军ZHAO LI赵利YU QILU俞启璐ZHAO JIANGZHE赵江哲,,(EN) Method and gene for enhancing crop disease resistance by increasing SA content(ZH) 一种通过提高SA含量增强作物抗病性的方法及基因,,"(EN) The invention belongs to the technical field of gene engineering, and discloses a method and gene for enhancing crop disease resistance by improving SA content. The nucleotide sequences of a rice SA hydroxylase gene are as shown in Seq ID No. 1 and Seq ID No. 2, and the amino acid sequences of the encoded protein are as shown in Seq ID No. 3 and Seq ID No. 4. The coding gene of the rice SA hydroxylase protein is identified, a CRISPR/Cas9 gene editing system is used for screening a mutant strain with function loss, and the SA content of the strain with function loss in different periods is detected; a bacterial leaf-blight resistance test and statistical analysis of yield traits prove that the function loss of the OsS5H1 and the OsS5H2 can reduce the degradation of the rice SA to a certainextent and improve the contents of free SA and total SA, so that the disease resistance of plants is improved.(ZH) 本发明属于基因工程技术领域，公开了一种通过提高SA含量增强作物抗病性的方法及基因，水稻SA羟基化酶基因核苷酸序列如Seq ID No.1、Seq ID No.2所示，编码蛋白的氨基酸序列如Seq ID No.3、Seq ID No.4所示。本发明通过鉴定水稻SA羟基化酶蛋白的编码基因，利用CRISPR/Cas9基因编辑系统筛选功能缺失的突变株系，检测功能缺失株系在不同时期的SA含量；通过白叶枯菌抗病试验和产量性状的统计分析，证明OsS5H1和OsS5H2的功能缺失可以一定程度上减少水稻SA降解，提高游离SA和总SA含量，进而提高植物抗病性。",,,成都佳划信知识产权代理有限公司 51266,,,,,,,,
CN324363002,202110347668,China,31.03.2021,112779271,11.05.2021,B,"C12N 15/29
					






C12N 15/84
					






C07K 14/415
					






A01H 4/00
					






A01H 5/00
					






A01H 6/46
					








C12N 15/29
					






C12N 15/84
					






C07K 14/415
					






A01H 4/00
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/8218
					






C12N 15/8282
					






A01H 4/005
					








C07K 14/415
					






C12N 15/8218
					






C12N 15/8282
					






A01H 4/005
					






View less classifications",FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY福建农林大学,WANG MO王莫LU MINFENG陆民锋SHI HUA时华,,(EN) Rice gene OsFd2 and applications of rice gene OsFd2 in rice resistance to rice blast(ZH) 水稻基因OsFd2及其在水稻抗稻瘟病中的应用,,"(EN) The invention provides a rice gene OsFd2 and applications of the rice gene OsFd2 in rice resistance to rice blast. A CRISPR/Cas9 method is adopted to knock out the rice gene OsFd2, and the phenotypic complementation of mutant plants can be performed through an overexpression vector genetic transformation method. Magnaporthe oryzae inoculation experiments are respectively carried out on wild type, knocked-out mutant and overexpression complemented plants. Results show that the knocked-out OsFd2 significantly enhances the resistance of rice plants to magnaporthe oryzae, but lethal phenotype at seedling stages is generated; and compared with mutants, the OsFd2 overexpression complemented plants is normal in growth and recovery and more susceptible to rice blast then wild types. Thus, the above results show that the OsFd2 is the gene that negatively regulates rice immunity against the rice blast and the key gene required by the normal growth of rice. The content of the invention is to provide an endogenous gene target for enhancing rice resistance through an induced silencing method when field rice blast occurs.(ZH) 本发明提供了一种水稻基因OsFd2及其抗稻瘟病的应用，本发明采用CRISPR/Cas9的方法对水稻基因OsFd2进行敲除，并通过过表达载体遗传转化方法进行突变体植株表型回补。分别对野生型、敲除突变体与过表达回补植株进行稻瘟病菌接种实验。结果显示，敲除OsFd2明显提高了水稻植株对稻瘟病菌的抗性，但产生苗期致死表型；而OsFd2过表达回补植株与突变体相比，生长恢复正常，表现为比野生型更感稻瘟病。上述结果表明，OsFd2为负调控水稻抗稻瘟病免疫的基因，也是水稻正常生长所必需的关键基因。本发明内容为田间稻瘟病发生时通过诱导沉默方式提高水稻抗性提供一种内源基因靶标。",112779271,13.05.2022,福州元创专利商标代理有限公司 35100福州元创专利商标代理有限公司 35100,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CN442609968,202411076249,China,07.08.2024,118834906,25.10.2024,A,"C12N 15/82
					






C12N 15/113
					






A01H 5/00
					






A01H 6/46
					








C12N 15/82
					






C12N 15/113
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/8286
					






C12N 15/8218
					






C12N 15/8205
					






C12N 15/113
					






C12N 2310/141
					








C12N 15/8286
					






C12N 15/8218
					






C12N 15/8205
					






C12N 15/113
					






C12N 2310/141
					






View less classifications","WUHAN UNIVERSITY武汉大学YUAN LONGPING HIGH-TECH AGRICULTURE CO., LTD.袁隆平农业高科技股份有限公司WUHAN HETAIQING BIOTECHNOLOGY CO., LTD.武汉禾泰青生物科技有限公司",DU BO杜波HE GUANGCUN何光存YANG YUANZHU杨远柱CHEN RONGZHI陈荣智QIN PENG秦鹏ZHU LILI祝莉莉WANG KAI王凯DENG ZHAO邓钊,,(EN) Application of rice miR5513 in brown planthopper resistance of rice(ZH) 水稻miR5513在水稻抗褐飞虱中的应用,,"(EN) The invention belongs to the technical field of botany and genetic engineering, and particularly relates to application of rice miR5513 to brown planthopper resistance of rice. According to the invention, the expression of miR5513 or a precursor thereof in insect-infected rice is reduced or knocked out on the basis of target mimic and CRISPR/Csa9 technologies, so that the resistance of rice to brown planthoppers is enhanced; compared with traditional chemical prevention and control, improvement of crop resistance through genetic engineering means is a more environment-friendly and sustainable solution. According to the method, the use amount and frequency of pesticides are reduced, the pollution to the environment and the damage to an ecological system are reduced, and a research result of the method has reference significance for researching gene molecule functions and breeding.(ZH) 本发明属于植物学和基因工程技术领域，更具体地，本发明涉及水稻miR5513在水稻抗褐飞虱中的应用；本发明基于target mimicry和CRISPR/Csa9技术下调或敲除感虫水稻中miR5513或其前体的表达，增强了水稻对褐飞虱的抗性；与传统的化学防治相比，通过遗传工程手段改良作物的抗性是一种更为环保和可持续的解决方案。它减少了农药的使用量和频率，降低了对环境的污染和对生态系统的破坏，并且本发明的研究成果对于研究基因分子功能和育种具有借鉴意义。",,,武汉科湖知识产权代理事务所(普通合伙) 42313,,,,,,,,
CN373556840,202210705079,China,21.06.2022,114958879,30.08.2022,A,"C12N 15/54
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






C12N 15/11
					






C12Q 1/6895
					








C12N 15/54
					






C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






C12N 15/11
					






C12Q 1/6895
					






View less classifications","C12N 9/1051
					






C12N 15/1137
					






C12N 15/8218
					






C12N 15/8245
					






C12Q 1/6895
					






C12Y 204/01242
					






View more classifications
							






C12N 9/1051
					






C12N 15/1137
					






C12N 15/8218
					






C12N 15/8245
					






C12Q 1/6895
					






C12Y 204/01242
					






C12N 2310/20
					






C12Q 2600/13
					






View less classifications","QINGDAO HAIPI RICE RESEARCH AND DEVELOPMENT CENTER CO., LTD.青岛海水稻研究发展中心有限公司",LIU JIAYIN刘佳音LI RUJIAN李儒剑WAN JILI万吉丽YIN XIAOJIA尹晓佳LI XIA李霞YU MENG于萌YIN HUIDE殷会德GU XIAOZHEN顾晓振MI TIEZHU米铁柱LUAN YIFANG栾一方WANG PING王平,,(EN) Method for breeding waxy rice mutant through site-directed gene knockout(ZH) 通过定点基因敲除选育糯性水稻突变体的方法,,"(EN) The invention discloses a method for breeding a waxy rice mutant through site-directed gene knockout, and belongs to the technical field of crop genetic breeding. According to the method for breeding the waxy rice mutant through site-directed gene knockout, a recombinant vector of the waxy rice based on CRISPR/Cas9 site-directed gene knockout breeding is transformed into rice, positive transformation plants are identified, gene knockout plants are further screened, transgenic ingredients are removed, and the waxy rice mutant is obtained. The method disclosed by the invention is efficient, the improved rice material shows waxy property, and a new planting resource is provided for rice breeding.(ZH) 本发明公开了一种通过定点基因敲除选育糯性水稻突变体的方法，属于作物遗传育种技术领域。本发明通过定点基因敲除选育糯性水稻突变体的方法是将基于CRISPR/Cas9的定点基因敲除选育糯性水稻的重组载体转化到水稻中，鉴定阳性转化植株，进一步筛选基因敲除植株，并剔除转基因成分，即得糯性水稻突变体。本发明的方法高效，经过改良的水稻材料均表现糯性，为水稻育种提供了新的种植资源。",,,山东三邦知识产权代理事务所(普通合伙) 37308,,,,,,,,
