Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Priority Data,Title,Abstract,Related Patent Documents,Grant Number,Grant Date,Agents,Designated States
US335023216,17257595,United States of America,03.07.2019,20210269816,02.09.2021,A1,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 15/8216
					






C12N 15/8261
					








C12N 15/8216
					






C12N 15/8261
					






View less classifications","Guangdong Sanjie Forage Biotechnology Co., Ltd",Haitao ChenWen WangXiongping XieQiang QiuZhanhuan ShangKexian SuHui He,201810724563.3 04.07.2018 CN,(EN) Method of Obtaining Multileaflet Medicago Sativa Materials by Means of MsPALM1 Artificial Site-Directed Mutants,"(EN) 
Disclosed is a method for obtaining multileaflet Medicago sativa materials by means of MsPALM1 artificial site-directed mutants. The method comprises: selecting a target site from an exon region of a compound leaf developmental regulatory gene MsPALM1 of Medicago sativa and constructing a plant CRISPR/Cas9 editing recombinant vector MsCRISPR/Cas9::PALM1 and introducing the vector into Medicago sativa cells and regenerating into plants, cutting and repairing to cause a loss-of-function mutation in the MsPALM1 gene of Medicago sativa cells, and then screening the mutant plants by restriction endonuclease digestion and/or targeted deep sequencing of the target sites of the regenerated plants to obtain lines carrying four MsPALM1 allelic genes with simultaneous loss of function mutation. After phenotypic identification, it was confirmed that the compound leaves of the regenerated plants changed from three leaflets to five leaflets. The method can quickly obtain multileaflet Medicago sativa materials with a short breeding period and stable trait.","CN108949774

WO/2020/007332

AU2019297209

CA3105397

EP3816292

US20210171973",,,,
US326379612,17141308,United States of America,05.01.2021,20210171973,10.06.2021,B2,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 15/8213
					






C12N 15/8262
					








C12N 15/8213
					






C12N 15/8262
					






View less classifications","Guangdong Sanjie Forage Biotechnology Co., Ltd",Haitao ChenWen WangXiongping XieQiang QiuZhanhuan ShangKexian SuHui He,201810724563.3 04.07.2018 CN,(EN) Method of obtaining multileaflet Medicago sativa materials by means of MsPALM1 artificial site-directed mutants,"(EN) 
Disclosed is a method for obtaining multileaflet Medicago sativa materials by means of MsPALM1 artificial site-directed mutants. The method comprises: selecting a target site from an exon region of a compound leaf developmental regulatory gene MsPALM1 of Medicago sativa and constructing a plant CRISPR/Cas9 editing recombinant vector MsCRISPR/Cas9::PALM1 and introducing the vector into Medicago sativa cells and regenerating into plants, cutting and repairing to cause a loss-of-function mutation in the MsPALM1 gene of Medicago sativa cells, and then screening the mutant plants by restriction endonuclease digestion and/or targeted deep sequencing of the target sites of the regenerated plants to obtain lines carrying four MsPALM1 allelic genes with simultaneous loss of function mutation. After phenotypic identification, it was confirmed that the compound leaves of the regenerated plants changed from three leaflets to five leaflets. The method can quickly obtain multileaflet Medicago sativa materials with a short breeding period and stable trait.","CN108949774

WO/2020/007332

AU2019297209

CA3105397

EP3816292

US20210269816",11365423,21.06.2022,"IP Attorneys Group, LLC",
CN316327743,201880090027,China,21.12.2018,112204147,08.01.2021,A,"C12N 15/82
					






C12N 15/63
					






A01H 4/00
					






A01H 1/08
					








C12N 15/82
					






C12N 15/63
					






A01H 4/00
					






A01H 1/08
					






View less classifications","A01H 1/08
					






A01H 4/00
					






C12N 15/63
					






C12N 15/8201
					






C12N 15/8207
					






C12N 15/8213
					






View more classifications
							






A01H 1/08
					






A01H 4/00
					






C12N 15/63
					






C12N 15/8201
					






C12N 15/8207
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/8217
					






C12N 2310/20
					






View less classifications",KWS SAAT SE科沃施种子欧洲股份两合公司,LABS MATHIASM·拉布斯HUMMEL AARONA·赫梅尔MEI YU梅钰,"62/609,508 22.12.2017 US62/758,068 09.11.2018 US",(EN) CPF1 BASED TRANSCRIPTION REGULATION SYSTEMS IN PLANTS(ZH) 基于Cpf1的植物转录调控系统,"(EN) The present invention relates to the targeted regulation of gene expression and more specifically to synthetic transcription factors (STFs) comprising at least one highly target specific engineered recognition domain based on a CRISPR/Cpf1 system and further comprising at least one activation or silencing domain to modulate the expression of a gene of interest, preferably to modulate the transcription of a morphogenic gene of a eukaryote, in particular a plant. Further disclosed are methods using the STFs to enhance transformation frequencies, to optimize successful genome editing approaches,to provide haploid or double haploid organisms, and/or to provide compositions suitable for general transformation, but also for breeding purposes.(ZH) 本发明涉及基因表达的靶向调控，更具体地涉及合成转录因子(STF)，其包含至少一个基于CRISPR/Cpf1系统的高靶向特异性工程化识别结构域，还包含至少一个激活或沉默结构域以调控目的基因的表达，优选地调控真核生物特别是植物的形态发生基因的转录。本发明还公开了使用STF以提高转化频率，优化成功的基因组编辑方法，提供单倍体或双单倍体生物，以及/或者提供适于一般转化但也适于育种目的的组合物的方法。","AU2018390965

CA3086619

WO/2019/122394

EP3728605

BR112020012327

US20210071189",,,永新专利商标代理有限公司 72002永新专利商标代理有限公司 72002,
CA300120963,3086619,Canada,21.12.2018,3086619,27.06.2019,A1,"C12N 15/82
					






A01H 1/08
					






A01H 4/00
					






C12N 15/63
					








C12N 15/82
					






A01H 1/08
					






A01H 4/00
					






C12N 15/63
					






View less classifications","A01H 1/08
					






A01H 4/00
					






C12N 15/63
					






C12N 15/8201
					






C12N 15/8207
					






C12N 15/8213
					






View more classifications
							






A01H 1/08
					






A01H 4/00
					






C12N 15/63
					






C12N 15/8201
					






C12N 15/8207
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/8217
					






C12N 2310/20
					






View less classifications",KWS SAAT SE & CO. KGAA,"LABS, MATHIASHUMMEL, AARONMEI, YU","62/609,508 22.12.2017 US62/758,068 09.11.2018 US",(EN) CPF1 BASED TRANSCRIPTION REGULATION SYSTEMS IN PLANTS(FR) SYSTEMES DE REGULATION DE LA TRANSCRIPTION BASES SUR CPF1 DANS DES PLANTES,"(EN) The present invention relates to the targeted regulation of gene expression and more specifically to synthetic transcription factors (STFs) comprising at least one highly target specific engineered recognition domain based on a CRISPR/Cpf1 system and further comprising at least one activation or silencing domain to modulate the expression of a gene of interest, preferably to modulate the transcription of a morphogenic gene of a eukaryote, in particular a plant. Further disclosed are methods using the STFs to enhance transformation frequencies, to optimize successful genome editing approaches, to provide haploid or double haploid organisms, and/or to provide compositions suitable for general transformation, but also for breeding purposes.(FR) La présente invention concerne la régulation ciblée de l'expression génique et plus spécifiquement des facteurs de transcription synthétiques (STFs) comprenant au moins un domaine de reconnaissance génétiquement modifié cible extrêmement spécifique basé sur un système CRISPR/Cpf1 et comprenant en outre au moins un domaine d'activation ou de silençage pour moduler l'expression d'un gène d'intérêt, de préférence pour moduler la transcription d'un gène morphogénique d'un eucaryote, en particulier d'une plante. L'invention concerne en outre des procédés utilisant les STF pour améliorer des fréquences de transformation, pour optimiser des approches d'édition de génome réussies, pour fournir des organismes haploïdes ou haploïdes doubles, et/ou pour fournir des compositions appropriées à une transformation générale, mais également à des fins de reproduction.","AU2018390965

WO/2019/122394

EP3728605

BR112020012327

CN112204147

US20210071189",,,,
EP309786263,18830278,European Patent Office,21.12.2018,3728605,28.10.2020,A2,"C12N 15/82
					






A01H 1/08
					






A01H 4/00
					






C12N 15/63
					








C12N 15/82
					






A01H 1/08
					






A01H 4/00
					






C12N 15/63
					






View less classifications","A01H 1/08
					






A01H 4/00
					






C12N 15/63
					






C12N 15/8201
					






C12N 15/8207
					






C12N 15/8213
					






View more classifications
							






A01H 1/08
					






A01H 4/00
					






C12N 15/63
					






C12N 15/8201
					






C12N 15/8207
					






C12N 15/8213
					






C12N 15/8216
					






C12N 15/8217
					






C12N 2310/20
					






View less classifications",KWS SAAT SE & CO KGAA,LABS MATHIASHUMMEL AARONMEI YU,201762609508 22.12.2017 US201862758068 09.11.2018 US,(DE) TRANSKRIPTIONSREGULATIONSSYSTEME AUF CPF1-BASIS BEI PFLANZEN(EN) CPF1 BASED TRANSCRIPTION REGULATION SYSTEMS IN PLANTS(FR) SYSTÈMES DE RÉGULATION DE LA TRANSCRIPTION BASÉS SUR CPF1 DANS DES PLANTES,"(EN) The present invention relates to the targeted regulation of gene expression and more specifically to synthetic transcription factors (STFs) comprising at least one highly target specific engineered recognition domain based on a CRISPR/Cpf1 system and further comprising at least one activation or silencing domain to modulate the expression of a gene of interest, preferably to modulate the transcription of a morphogenic gene of a eukaryote, in particular a plant. Further disclosed are methods using the STFs to enhance transformation frequencies, to optimize successful genome editing approaches, to provide haploid or double haploid organisms, and/or to provide compositions suitable for general transformation, but also for breeding purposes.(FR) La présente invention concerne la régulation ciblée de l'expression génique et plus spécifiquement des facteurs de transcription synthétiques (STFs) comprenant au moins un domaine de reconnaissance génétiquement modifié cible extrêmement spécifique basé sur un système CRISPR/Cpf1 et comprenant en outre au moins un domaine d'activation ou de silençage pour moduler l'expression d'un gène d'intérêt, de préférence pour moduler la transcription d'un gène morphogénique d'un eucaryote, en particulier d'une plante. L'invention concerne en outre des procédés utilisant les STF pour améliorer des fréquences de transformation, pour optimiser des approches d'édition de génome réussies, pour fournir des organismes haploïdes ou haploïdes doubles, et/ou pour fournir des compositions appropriées à une transformation générale, mais également à des fins de reproduction.","AU2018390965

CA3086619

WO/2019/122394

BR112020012327

CN112204147

US20210071189",,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all"
CN199377632,201710030839,China,17.01.2017,106834341,13.06.2017,B,"C12N 15/82
					






A01H 5/00
					






A01H 6/20
					








C12N 15/82
					






A01H 5/00
					






A01H 6/20
					






View less classifications","C12N 15/8274
					






C12N 2800/22
					






C12N 2810/10
					








C12N 15/8274
					






C12N 2800/22
					






C12N 2810/10
					






View less classifications",CHINA AGRICULTURAL UNIVERSITY中国农业大学,JIANG LINJIAN姜临建CHEN QIJUN陈其军NI HANWEN倪汉文XU YONG许勇CHEN YIYU陈易雨WANG ZHIPING王志平,2016112550764 30.12.2016 CN,(EN) Gene site-directed mutation vector as well as construction method and application thereof(ZH) 一种基因定点突变载体及其构建方法和应用,"(EN) The invention belongs to the technical field of bioengineering and in particular relates to a gene site-directed mutation vector as well as a construction method and application thereof. The invention provides the gene site-directed mutation vector due to lots of optimizations, cytosine deaminase is guided to be close to cytosine through a CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) system, the cytosine is changed into uracil, then uracil is changed into thymine through self-repair in plant cells, and finally, site-specific mutagenesis from C to T is realized in plants so as to generate resistance to herbicides. In addition, point mutation can be produced in a non-sgRNA targeted area, and novel herbicide-resistant great agronomic traits are brought.(ZH) 本发明属于生物工程技术领域，具体涉及一种基因定点突变载体及其构建方法和应用。本发明通过大量的优化，提供一种基因定点突变载体，通过CRISPR系统将胞嘧啶脱氨酶引导至胞嘧啶附近，将胞嘧啶变成尿嘧啶，随后植物细胞内的自发修复最终将尿嘧啶变成了胸腺嘧啶，最终在植物中实现C到T的定点突变，产生抗除草剂抗性。另外还可在非sgRNA靶点区域产生点突变，带来新的抗除草剂的重大农艺性状。",,106834341,16.06.2020,北京众合诚成知识产权代理有限公司 11246,
CN408077341,202180088340,China,05.11.2021,116745418,12.09.2023,A,"C12N 15/10
					








C12N 15/10
					






View less classifications","C12N 15/111
					






C12N 9/1276
					






C12N 9/22
					






C12N 2310/20
					






C12N 2310/3519
					






C12N 15/102
					






View more classifications
							






C12N 15/111
					






C12N 9/1276
					






C12N 9/22
					






C12N 2310/20
					






C12N 2310/3519
					






C12N 15/102
					






C12N 15/62
					






C12Y 207/07049
					






C07K 2319/80
					






C07K 2319/00
					






C07K 14/4702
					






C12N 15/11
					






C12Q 2521/107
					






C12N 2800/10
					






C12N 2800/80
					






C12N 15/905
					






C12N 15/907
					






C12N 15/66
					






C12N 15/902
					






C12N 15/113
					






View less classifications","CHENGDUI PLANT SERVICE CO., LTD.成对植物服务股份有限公司","KIM YOUHANY·金WATERS, JAMES, M.J·M·瓦特斯HAMMERL ANDREASA·哈默尔LAWIT, SHAI, J.S·J·拉维特SCHWAK DIETERD·施瓦克","63/110,386 06.11.2020 US",(EN) Compositions and methods for RNA-encoded DNA substitution of alleles(ZH) 用于等位基因的RNA编码的DNA替换的组合物和方法,"(EN) The present invention relates to recombinant nucleic acid constructs comprising a CRISPR-Cas effector protein, a reverse transcriptase and an extended guiding nucleic acid, and methods of using the same to modify nucleic acids in plants.(ZH) 本发明涉及包含CRISPR‑Cas效应蛋白、逆转录酶和延伸型指导核酸的重组核酸构建体，以及使用其来在植物中修饰核酸的方法。","WO/2022/098993

AU2021374974

CA3200521

BRUS2021058235

KR1020230106633

EP4240844

JP2023549339

NZ798968

IL302526

MX2023005150

CL2023001284

IN202347036333This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

SG11202302818VThis application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,中国贸促会专利商标事务所有限公司 11038,
US403483441,17934089,United States of America,21.09.2022,20230242926,03.08.2023,A1,"C12N 15/82
					






C12N 15/113
					






A01H 5/04
					






A01H 5/12
					








C12N 15/82
					






C12N 15/113
					






A01H 5/04
					






A01H 5/12
					






View less classifications","A01H 5/04
					






C12N 15/8213
					






A01H 5/12
					






C12N 15/113
					






C12N 15/8201
					






C12N 15/8203
					






View more classifications
							






A01H 5/04
					






C12N 15/8213
					






A01H 5/12
					






C12N 15/113
					






C12N 15/8201
					






C12N 15/8203
					






C12N 15/8205
					






C12N 15/8207
					






C12N 2310/20
					






View less classifications",KWS SAAT SE & Co. KGaA,Hinrich HARLINGSusana MARTIN-ORTIGOSAMarkus NIESSENCorinna STREITNERNadine SCHUMANNErik JONGEDIJK,102015006335.9 19.05.2015 DE102015014252.6 05.11.2015 DE,(EN) METHODS AND HYBRIDS FOR TARGETED NUCLEIC ACID EDITING IN PLANTS USING CRISPR/CAS SYSTEMS,"(EN) 
The present invention relates to methods and hybrids for the targeted modification of a nucleic acid-target region in a plant target structure. The invention specifically relates to methods and hybrids for directly obtaining a plant or plant material which comprises an editing of a nucleic acid introduced in a targeted manner into a meristematic cell. The hybrids can be introduced in a transient and/or stable manner. The invention also relates to novel plant-optimized introduction strategies. The invention further relates to a method for carrying out an in vitro screening assay in order to first check the suitable gRNA candidates in vitro with respect to their efficiency.","EP3095870

AU2016265197

CA2989368

EP3298148

US20180223295

BR112017024754

CN107849581

EA201792542

WO/2016/184955

DK3298148

ES2953919

UAa201712091This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,
EP145109802,13835965,European Patent Office,06.09.2013,2893025,15.07.2015,B1,"C12N 5/10
					








C12N 5/10
					






View less classifications","C07K 14/415
					






C12N 15/8213
					






C12N 15/8241
					








C07K 14/415
					






C12N 15/8213
					






C12N 15/8241
					






View less classifications",DOW AGROSCIENCES LLC,COGAN NOELFORSTER JOHNHAYDEN MATTHEWSAWBRIDGE TIMSPANGENBERG GERMANWEBB STEVEN RGUPTA MANJUAINLEY W MIKEHENRY MATTHEW JMASON JOHNKUMAR SANDEEPNOVAK STEPHEN,201261697882 07.09.2012 US,(DE) MANIPULIERTE TRANSGENE INTEGRATIONSPLATTFORM (ETIP) FÜR GEN-TARGETING UND MERKMALSBÜNDELUNG(EN) ENGINEERED TRANSGENE INTEGRATION PLATFORM (ETIP) FOR GENE TARGETING AND TRAIT STACKING(FR) PLATEFORME D'INTÉGRATION DE TRANSGÈNE GÉNÉTIQUEMENT MODIFIÉ (ETIP) POUR LE CIBLAGE GÉNIQUE ET L'EMPILEMENT DE CARACTÈRES,"(EN) An Engineered Transgene Integration Platform (ETIP) is described that can be inserted randomly or at targeted locations in plant genomes to facilitate rapid selection and detection of a GOI that is perfectly targeted (both the 5' and 3' ends) at the ETIP genomic location. One element in the subject disclosure is the introduction of specific double stranded breaks within the ETIP. In some embodiments, an ETIP is described using zinc finger nuclease binding sites, but may utilize other targeting technologies such as meganucleases, CRISPRs, TALs, or leucine zippers. Also described are compositions of, and methods for producing, transgenic plants wherein the donor or payload DNA expresses one or more products of an exogenous nucleic acid sequence (e.g. protein or RNA) that has been stably-integrated into an ETIP in a plant cell. In embodiments, the ETIP facilitates testing of gene candidates and plant expression vectors from ideation through Development phases.(FR) L'invention concerne une plateforme d'intégration de transgène génétiquement modifié (ETIP) qui peut être insérée aléatoirement ou à des emplacements ciblés dans des génomes de plantes pour faciliter la sélection rapide et la détection rapide d'un GOI qui est parfaitement ciblé (à la fois les extrémités 5' et 3') à l'emplacement génomique de l'ETIP. Un élément de la présente invention est l'introduction de coupures spécifiques double brin à l'intérieur de l'ETIP. Dans certains modes de réalisation, une ETIP est décrite à l'aide de sites de liaison à une nucléase à doigt de zinc mais peut utiliser d'autres technologies de ciblage telles que des méganucléases, CRISPR, TAL, ou des fermetures éclair à leucine. L'invention concerne également des compositions et des procédés de production de plantes transgéniques, l'ADN de donneur ou de charge utile exprimant un ou plusieurs produits d'une séquence d'acide nucléique exogène (par ex une protéine ou un ARN) qui a été intégrée de façon stable à l'intérieur d'une ETIP dans une cellule végétale. Dans des modes de réalisation, l'ETIP facilite le test de candidats de gène et des vecteurs d'expression de plantes à partir de l'idéation à travers des phases de développement.","JP2015531598

US20140090113

WO/2014/039872

RU0002666916

CN107267524

CN104838001

BR112015004848

AU2013312352

RU0002666916

AR092479

KR1020150046345

CA2883792

IL237534

NZ705675

CL2015000565

IN2249/DELNP/2015

UAa201503063This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all"
CA131326335,2883792,Canada,06.09.2013,2883792,13.03.2014,C,"C12N 15/82
					






C12N 15/29
					








C12N 15/82
					






C12N 15/29
					






View less classifications","C07K 14/415
					






C12N 15/8213
					






C12N 15/8241
					








C07K 14/415
					






C12N 15/8213
					






C12N 15/8241
					






View less classifications",DOW AGROSCIENCES LLC,"COGAN, NOELFORSTER, JOHNHAYDEN, MATTHEWSAWBRIDGE, TIMSPANGENBERG, GERMANWEBB, STEVEN R.GUPTA, MANJUAINLEY, W. MIKEHENRY, MATTHEW J.MASON, JOHNKUMAR, SANDEEPNOVAK, STEPHEN","61/697,882 07.09.2012 US",(EN) ENGINEERED TRANSGENE INTEGRATION PLATFORM (ETIP) FOR GENE TARGETING AND TRAIT STACKING(FR) PLATEFORME D'INTEGRATION DE TRANSGENE GENETIQUEMENT MODIFIE (ETIP) POUR LE CIBLAGE GENIQUE ET L'EMPILEMENT DE CARACTERES,"(EN) An Engineered Transgene Integration Platform (ETIP) is described that can be inserted randomly or at targeted locations in plant genomes to facilitate rapid selection and detection of a GOI that is perfectly targeted (both the 5' and 3' ends) at the ETIP genomic location. One element in the subject disclosure is the introduction of specific double stranded breaks within the ETIP. In some embodiments, an ETIP is described using zinc finger nuclease binding sites, but may utilize other targeting technologies such as meganucleases, CRISPRs, TALs, or leucine zippers. Also described are compositions of, and methods for producing, transgenic plants wherein the donor or payload DNA expresses one or more products of an exogenous nucleic acid sequence (e.g. protein or RNA) that has been stably-integrated into an ETIP in a plant cell. In embodiments, the ETIP facilitates testing of gene candidates and plant expression vectors from ideation through Development phases.(FR) L'invention concerne une plateforme d'intégration de transgène génétiquement modifié (ETIP) qui peut être insérée aléatoirement ou à des emplacements ciblés dans des génomes de plantes pour faciliter la sélection rapide et la détection rapide d'un GOI qui est parfaitement ciblé (à la fois les extrémités 5' et 3') à l'emplacement génomique de l'ETIP. Un élément de la présente invention est l'introduction de coupures spécifiques double brin à l'intérieur de l'ETIP. Dans certains modes de réalisation, une ETIP est décrite à l'aide de sites de liaison à une nucléase à doigt de zinc mais peut utiliser d'autres technologies de ciblage telles que des méganucléases, CRISPR, TAL, ou des fermetures éclair à leucine. L'invention concerne également des compositions et des procédés de production de plantes transgéniques, l'ADN de donneur ou de charge utile exprimant un ou plusieurs produits d'une séquence d'acide nucléique exogène (par ex une protéine ou un ARN) qui a été intégrée de façon stable à l'intérieur d'une ETIP dans une cellule végétale. Dans des modes de réalisation, l'ETIP facilite le test de candidats de gène et des vecteurs d'expression de plantes à partir de l'idéation à travers des phases de développement.","EP2893025

JP2015531598

US20140090113

WO/2014/039872

RU0002666916

CN107267524

CN104838001

BR112015004848

AU2013312352

RU0002666916

AR092479

KR1020150046345

IL237534

NZ705675

CL2015000565

IN2249/DELNP/2015

UAa201503063This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,07.12.2021,,
