Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Agents,Title,Designated States,Abstract,Priority Data,Related Patent Documents,,,,,,,,
CN442624700,202410767049,China,14.06.2024,118853602,29.10.2024,A,"C12N 9/00
					






C12N 15/52
					






C12N 15/84
					






C12Q 1/6895
					






A01H 5/00
					






A01H 6/46
					








C12N 9/00
					






C12N 15/52
					






C12N 15/84
					






C12Q 1/6895
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 9/93
					






C12N 15/8205
					






C12N 15/8261
					






C12N 15/8218
					






C12N 15/8271
					






C12Q 1/6895
					






View more classifications
							






C12N 9/93
					






C12N 15/8205
					






C12N 15/8261
					






C12N 15/8218
					






C12N 15/8271
					






C12Q 1/6895
					






C12Y 603/02019
					






C12Q 2600/13
					






C12Q 2600/158
					






Y02A 40/146
					






View less classifications",SICHUAN AGRICULTURAL UNIVERSITY四川农业大学,LIANG YUEYANG梁越洋ZHOU DAN周丹YANG NA杨娜LI PING李平LI SHUANGCHENG李双成KIM KYOUNG HWA金京花ZOU TING邹挺WANG SHIQUAN王世全DENG QIMING邓其明ZHU JUN朱军,北京之于行知识产权代理有限公司 11767,(EN) Rice SDT6 gene as well as encoding protein and application thereof(ZH) 水稻SDT6基因、其编码蛋白及其应用,,"(EN) The invention relates to a rice SDT6 gene as well as an encoding protein and application thereof. The invention provides an SDT6 gene for regulating and controlling a rice plant type. A nucleotide sequence of the SDT6 gene is as shown in SEQ ID NO.2 or SEQ ID NO.3. The invention further provides a preparation method of the SDT6 gene. The amino acid sequence of the protein coded by the SDT6 gene is as shown in SEQ ID NO. 1. A semi-dwarf mutant with increased tillering is screened, a target gene for regulating the phenotype is successfully cloned, after the gene is knocked out in a japonica rice ZH11 material through a CRISPR/Cas9 technology, the rice plant height is obviously reduced, the tillering is obviously increased, the gene function is further verified through gene function complementation verification, and the application of the gene in the field of rice production is promoted. It is preliminarily verified that the gene SDT6 regulates the plant height and tillering of rice, and it is found that the gene SDT6 is related to an auxin regulation mechanism in rice. The application has important significance in breeding rice, indica rice or japonica rice with excellent yield and/or lodging resistance.(ZH) 本发明涉及水稻SDT6基因、其编码蛋白及其应用。本发明提供一种调控水稻株型的SDT6基因，SDT6基因的核苷酸序列如SEQ ID NO.2或SEQ ID NO.3所示。SDT6基因编码的蛋白质的氨基酸序列如SEQ ID NO.1所示。本发明筛选到半矮杆、分蘖增加的突变体并成功克隆调控该表型的目的基因，通过CRISPR/Cas9技术在粳稻ZH11材料中将该基因敲除后，水稻株高明显降低且分蘖显著增加，利用基因功能互补验证进一步证实了该基因功能，初步验证了基因SDT6调控水稻的株高及分蘖，并发现其与水稻体内生长素调节机制相关。本申请在选育具有优良产量和/或抗倒伏性能的水稻、籼或粳稻方面具有重要意义。",2024102144167 26.02.2024 CN,,,,,,,,,
JP443103342,2024143412,Japan,23.08.2024,2024160392,13.11.2024,A,"C12N 15/09
					






A01H 1/00
					






A01H 4/00
					






C12N 15/87
					








C12N 15/09
					






A01H 1/00
					






A01H 4/00
					






C12N 15/87
					






View less classifications","A01H 1/06
					






C12N 15/01
					






C12N 15/87
					






C12N 15/8207
					






C12N 15/8213
					






C12N 9/22
					






View more classifications
							






A01H 1/06
					






C12N 15/01
					






C12N 15/87
					






C12N 15/8207
					






C12N 15/8213
					






C12N 9/22
					






C12N 9/96
					






C12N 15/102
					






C12N 15/113
					






C12N 15/82
					






C12N 2310/20
					






C12N 15/11
					






C12N 15/902
					






C12N 2800/80
					






View less classifications",INSTITUTE OF GENETICS & DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES中国科学院遺▲伝▼与▲発▼育生物学研究所,GAO CAIXIAツァイシア　ガオLIANG ZHENジェン　リアンWANG YANPENGヤンペン　ワンSHAN QIWEIチーウェイ　シャンSONG QIANNAチアンナ　ソン,アインゼル・フェリックス＝ラインハルト森田　拓前川　純一永島　秀郎上島　類神谷　雪恵遠藤　太介,(EN) METHOD OF APPLYING NON-GENETIC SUBSTANCE TO PERFORM SITE-DIRECTED REFORM OF PLANT GENOME(JA) 植物ゲノムの部位特異的改変の実施に非遺伝物質を適用する方法,,"(EN) PROBLEM TO BE SOLVED: To provide a method of applying a non-genetic substance to perform site-directed reform of plant genome.SOLUTION: The method comprises a step of introducing a non-inheritable material into a cell or a tissue or a part of a plant of interest, where the non-inheritable material is a nuclease specific to the target fragment or an mRNA expressing the nuclease, the nuclease is a TALEN nuclease, a Zinc finger nuclease (ZFN), a Clustered regularly interspaced short palindromic repeats (CRISPR) nuclease (CRISPR/Cas9), or any nuclease capable of genome editing. The nuclease cleaves the target fragment and a site-directed modification to the target fragment is achieved through a DNA repairing event in the plant.SELECTED DRAWING: NoneCOPYRIGHT: (C)2024,JPO&INPIT(JA) 【課題】植物ゲノムの部位特異的改変の実施に非遺伝物質を適用する方法を提供する。【解決手段】対象植物の細胞または組織または植物部分に非遺伝物質を導入するステップを含み、その際、前記非遺伝物質は標的部分に特異的なヌクレアーゼであるか、または前記ヌクレアーゼを発現するｍＲＮＡであり、前記ヌクレアーゼは、ＴＡＬＥＮヌクレアーゼ、ジンクフィンガーヌクレアーゼ（ＺＦＮ）、規則的な間隔をもってクラスター化された短鎖反復回文（Ｃｌｕｓｔｅｒｅｄ  ｒｅｇｕｌａｒｌｙ  ｉｎｔｅｒｓｐａｃｅｄ  ｓｈｏｒｔ  ｐａｌｉｎｄｒｏｍｉｃ  ｒｅｐｅａｔｓ、ＣＲＩＳＰＲ／Ｃａｓ９）ヌクレアーゼ、またはゲノム編集を実現しうるあらゆるヌクレアーゼである。前記ヌクレアーゼは前記標的部分を切断する役割を果たし、次いで前記植物のＤＮＡ修復により該標的部分の部位特異的改変が完了される。【選択図】なし",201510114017.4 16.03.2015 CN,"AU2016239037

KR1020170126502

EP3279321

BR112017016431

US20180163232

EA201792036

WO/2016/155482

CN105985943

AR103926

JP2018508221

IN201737029078

CA2979290

JP2023018066",,,,,,,,"A01H 1/00A
                 


A01H 4/00
                 


C12N 15/09,110
                 


C12N 15/87Z
                 




A01H 1/00A
                 


A01H 4/00
                 


C12N 15/09,110
                 


C12N 15/87Z
                 



View less classifications"
AU315236320,2019299296,Australia,03.07.2019,2019299296,09.01.2020,B2,"C12N 15/82
					






A01H 5/00
					






A01H 6/54
					






C12N 9/22
					






C12N 15/70
					








C12N 15/82
					






A01H 5/00
					






A01H 6/54
					






C12N 9/22
					






C12N 15/70
					






View less classifications","C12N 9/22
					






C12N 15/70
					






C12N 15/8213
					






C12N 2310/20
					






C12N 15/743
					






A01H 5/10
					






View more classifications
							






C12N 9/22
					






C12N 15/70
					






C12N 15/8213
					






C12N 2310/20
					






C12N 15/743
					






A01H 5/10
					






C12N 15/8209
					






A01H 6/544
					






C12N 15/11
					






C12N 15/8205
					






C12N 2800/80
					






View less classifications","Guangdong Sanjie Forage Biotechnology Co., Ltd","CHEN, HaitaoHE, HuiQIU, QiangSHANG, ZhanhuanSU, KexianWANG, WenXIE, Xiongping",Davies Collison Cave Pty Ltd,(EN) Method for site-specific mutagenesis of medicago sativa gene by using CRISPR/Cas9 system,,"(EN) A method for site-specific mutagenesis of a medicago sativa gene by using a CRISPR/Cas9 system. The method comprises: first constructing a universal binary expression vector MsCRISPR/Cas9 mediated and transformed by agrobacterium tumefaciens in medicago sativa; then designing a CRISPR/Cas9-based sgRNA sequence for a target gene in the medicago sativa, and connecting a DNA fragment for encoding the sgRNA sequence to MsCRISPR/Cas9 to construct a carrier MsCRISPR/Cas9::target; and then mediating and transforming the medicago sativa by using the agrobacterium tumefaciens, and obtaining, by screening, a mutant transformed plant with the target gene knocked out. According to the method, an MtU6 promoter is used for initiating sgRNA transcription in the medicago sativa.",201810724589.8 04.07.2018 CN,"CN108866093

WO/2020/007331

EP3848464

US20210292777

CA3105396

US20210147844",,,,,,,,
BR368145675,US2020055659,Brazil,15.10.2020,112022007125,05.07.2022,A2,"C12N 9/88
					






C12N 15/62
					






C12N 9/10
					








C12N 9/88
					






C12N 15/62
					






C12N 9/10
					






View less classifications","C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






View more classifications
							






C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






C07K 2319/70
					






C12N 15/113
					






C07K 14/20
					






C12N 9/78
					






C12N 15/1093
					






View less classifications","PAIRWISE PLANTS SERVICES, INC.",JOSEPH MATTHEW WATTSSATHYA SHEELA JALI,"DANNEMANN, SIEMSEN, BIGLER & IPANEMA MOREIRA",(PT) VARIANTES DE NUCLEASES CAS12A E MÉTODOS DE PRODUÇÃO E USO DAS MESMAS,,(PT) VARIANTES DE NUCLEASES CAS12A E MÉTODOS DE PRODUÇÃO E USO DAS MESMAS. A presente invenção refere-se a variantes de nucleases Cas12a que têm especificidade de reconhecimento de motivo adjacente a protoespaçador alterada. A invenção refere-se ainda a métodos de produção de variantes de nuclease CRISPR-CAS e métodos de modificação de ácidos nucleicos usando as variantes.,"62/916,392 17.10.2019 US","US20210115421

JP2022552409

EP4045643

CN114829595

KR1020220097408

CA3157707

SG11202203928S

AU2020366358

WO/2021/076682

IL292117

NZ787124

CL2022000937

MX2022004549

BR112022007125This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240076639

US20240076640

CL2024001733

CL2024001734

CL2024001737",,,,,,,,
CL391570095,2022000937,Chile,13.04.2022,2022000937,20.01.2023,A1,"C12N 9/10
					






C12N 15/62
					






C12N 9/88
					








C12N 9/10
					






C12N 15/62
					






C12N 9/88
					






View less classifications","C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






View more classifications
							






C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






C07K 2319/70
					






C12N 15/113
					






C07K 14/20
					






C12N 9/78
					






C12N 15/1093
					






View less classifications","PAIRWISE PLANTS SERVICES, INC.","WATTS, Joseph MatthewJALI, Sathya Sheela",COVARRUBIAS & CIA,(ES) VARIANTES DE NUCLEASAS CAS12A Y MÉTODOS DE PREPARACIÓN Y USO DE LAS MISMAS,,(ES) La presente invención se refiere a variantes de nucleasas Cas12a que tienen una especificidad de reconocimiento del motivo adyacente al protoespaciador alterada. La invención se refiere además a métodos de preparación de variantes de nucleasas CRISPR–CAS y a métodos de modificación de ácidos nucleicos utilizando las variantes.,62/916392 17.10.2019 US,"US20210115421

JP2022552409

EP4045643

CN114829595

KR1020220097408

BR112022007125

CA3157707

SG11202203928S

AU2020366358

WO/2021/076682

IL292117

NZ787124

MX2022004549

BR112022007125This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240076639

US20240076640

CL2024001733

CL2024001734

CL2024001737",,,,,,,,
CL444818110,2024001737,Chile,11.06.2024,2024001737,15.11.2024,A1,"C12N 9/10
					






C12N 15/62
					








C12N 9/10
					






C12N 15/62
					






View less classifications","C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






View more classifications
							






C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






C07K 2319/70
					






C12N 15/113
					






C07K 14/20
					






C12N 9/78
					






C12N 15/1093
					






View less classifications","PAIRWISE PLANTS SERVICES, INC.",Joseph Matthew WATTSSathya Sheela JALI,Arturo COVARRUBIAS VARGAS,(ES) VARIANTES DE NUCLEASAS CAS12A Y MÉTODOS DE PREPARACIÓN Y USO DE LAS MISMAS,,(ES) La presente invención se refiere a variantes de nucleasas Cas12a que tienen una especificidad de reconocimiento del motivo adyacente al protoespaciador alterada. La invención se refiere además a métodos de preparación de variantes de nucleasas CRISPR-CAS y a métodos de modificación de ácidos nucleicos utilizando las variantes.,"62/916,392 17.10.2019 US","US20210115421

JP2022552409

EP4045643

CN114829595

KR1020220097408

BR112022007125

CA3157707

SG11202203928S

AU2020366358

WO/2021/076682

IL292117

NZ787124

CL2022000937

MX2022004549

BR112022007125This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240076639

US20240076640

CL2024001733

CL2024001734",,,,,,,,
CL444818109,2024001734,Chile,11.06.2024,2024001734,15.11.2024,A1,"C12N 9/10
					






C12N 15/62
					






C12N 9/88
					








C12N 9/10
					






C12N 15/62
					






C12N 9/88
					






View less classifications","C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






View more classifications
							






C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






C07K 2319/70
					






C12N 15/113
					






C07K 14/20
					






C12N 9/78
					






C12N 15/1093
					






View less classifications","PAIRWISE PLANTS SERVICES, INC.",Joseph Matthew WATTSSathya Sheela JALI,Arturo COVARRUBIAS VARGAS,(ES) VARIANTES DE NUCLEASAS CAS12A Y MÉTODOS DE PREPARACIÓN Y USO DE LAS MISMAS,,(ES) La presente invención se refiere a variantes de nucleasas Cas12a que tienen una especificidad de reconocimiento del motivo adyacente al protoespaciador alterada. La invención se refiere además a métodos de preparación de variantes de nucleasas CRISPR-CAS y a métodos de modificación de ácidos nucleicos utilizando las variantes.,"62/916,392 17.10.2019 US","US20210115421

JP2022552409

EP4045643

CN114829595

KR1020220097408

BR112022007125

CA3157707

SG11202203928S

AU2020366358

WO/2021/076682

IL292117

NZ787124

CL2022000937

MX2022004549

BR112022007125This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240076639

US20240076640

CL2024001733

CL2024001737",,,,,,,,
CL444818108,2024001733,Chile,11.06.2024,2024001733,15.11.2024,A1,"C12N 9/10
					






C12N 15/62
					






C12N 9/88
					








C12N 9/10
					






C12N 15/62
					






C12N 9/88
					






View less classifications","C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






View more classifications
							






C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






C07K 2319/70
					






C12N 15/113
					






C07K 14/20
					






C12N 9/78
					






C12N 15/1093
					






View less classifications","PAIRWISE PLANTS SERVICES, INC.",Joseph Matthew WATTSSathya Sheela JALI,Arturo COVARRUBIAS VARGAS,(ES) VARIANTES DE NUCLEASAS CAS12A Y MÉTODOS DE PREPARACIÓN Y USO DE LAS MISMAS,,(ES) La presente invención se refiere a variantes de nucleasas Cas12a que tienen una especificidad de reconocimiento del motivo adyacente al protoespaciador alterada. La invención se refiere además a métodos de preparación de variantes de nucleasas CRISPR-CAS y a métodos de modificación de ácidos nucleicos utilizando las variantes.,"62/916,392 17.10.2019 US","US20210115421

JP2022552409

EP4045643

CN114829595

KR1020220097408

BR112022007125

CA3157707

SG11202203928S

AU2020366358

WO/2021/076682

IL292117

NZ787124

CL2022000937

MX2022004549

BR112022007125This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240076639

US20240076640

CL2024001734

CL2024001737",,,,,,,,
AU357600419,2020366358,Australia,15.10.2020,2020366358,22.04.2021,A1,"C12N 9/88
					






C12N 9/10
					






C12N 15/62
					








C12N 9/88
					






C12N 9/10
					






C12N 15/62
					






View less classifications","C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






View more classifications
							






C12N 9/22
					






C12N 15/102
					






C07K 2319/00
					






C12Y 305/04004
					






C12Y 305/04005
					






C12N 2310/20
					






C07K 2319/70
					






C12N 15/113
					






C07K 14/20
					






C12N 9/78
					






C12N 15/1093
					






View less classifications","Pairwise Plants Services, Inc.","JALI, Sathya SheelaWATTS, Joseph Matthew",RnB IP Pty Ltd,(EN) Variants of Cas12a nucleases and methods of making and use thereof,,(EN) This invention relates to variants of Cas12a nucleases having altered protospacer adjacent motif recognition specificity. The invention further relates to methods of making CRISPR-CAS nuclease variants and methods of modifying nucleic acids using the variants.,"62/916,392 17.10.2019 US","US20210115421

JP2022552409

EP4045643

CN114829595

KR1020220097408

BR112022007125

CA3157707

SG11202203928S

WO/2021/076682

IL292117

NZ787124

CL2022000937

MX2022004549

BR112022007125This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240076639

US20240076640

CL2024001733

CL2024001734

CL2024001737",,,,,,,,
AU202614153,2016228599,Australia,14.03.2016,2016228599,15.09.2016,A1,"C12N 15/82
					






A01H 5/00
					








C12N 15/82
					






A01H 5/00
					






View less classifications","C12N 15/8283
					






C12N 2810/10
					






C12N 9/22
					






C12N 15/102
					






C12N 15/113
					






C12N 2310/20
					






View more classifications
							






C12N 15/8283
					






C12N 2810/10
					






C12N 9/22
					






C12N 15/102
					






C12N 15/113
					






C12N 2310/20
					






C12N 15/82
					






C12N 15/8213
					






View less classifications","Institute of Genetics and Developmental Biology, Chinese Academy of Sciences","Gao, CaixiaJi, XiangZhang, Huawei",Spruson & Ferguson,(EN) Method for increasing ability of plant to resist invading DNA virus,,"(EN) Provided is a method for increasing the ability of a plant to resist a DNA virus, said method comprising the following steps: 1) selecting a sequence from the genome sequence of a DNA virus to be a target sequence, said sequence conforming to a 5'-NX-NGG-3' or 5'-CCN-NX-3' arrangement rule, and synthesising a DNA fragment which is reversely complementary to the target sequence; 2) constructing the DNA fragment into a vector used for expressing the CRISPR/Cas9 nuclease, and obtaining a recombinant vector capable of transcribing a guide RNA and expressing the Cas9 protein; 3) introducing the recombinant vector to a recipient plant. The method of the present invention may be widely applied to double-stranded DNA viruses and single-stranded DNA viruses using double-stranded DNA as an intermediate, wherein the sequences of the DNA viruses are known.",201510107492.9 12.03.2015 CN,"CN105969792

AR103927

CA2979292

KR1020170126495

EP3309255

BR112017016423

US20180195084

EA201791991

JP2018507705

WO/2016/141893

IN201737029075

UAa201709464This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",,,,,,,,
