Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Priority Data,Title,Designated States,Abstract,Agents,Grant Number,Grant Date,Related Patent Documents
CN237084961,201811137314,China,27.09.2018,109266646,25.01.2019,B,"C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/20
					








C12N 15/113
					






C12N 15/82
					






A01H 5/00
					






A01H 6/20
					






View less classifications","C12N 15/113
					






C12N 15/8213
					






C12N 15/8261
					






C07K 14/415
					






C12N 2310/20
					






C12N 2310/10
					








C12N 15/113
					






C12N 15/8213
					






C12N 15/8261
					






C07K 14/415
					






C12N 2310/20
					






C12N 2310/10
					






View less classifications","OIL CROPS RESEARCH INSTITUTE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院油料作物研究所",WANG HANZHONG王汉中HUA WEI华玮ZHENG MING郑明YANG HONGLI杨红丽ZHANG LIANG张亮,,(EN) Method and application of knocking out BnMAX1 gene in Brassica napus by CRISPR-Cas9 system(ZH) 利用CRISPR-Cas9系统敲除甘蓝型油菜BnMAX1基因的方法及应用,,"(EN) The invention discloses a method and application of knocking out a BnMAX1 gene in Brassica napus by a CRISPR-Cas9 system, two sgRNAs of specifically targeting Brassica napus BnMAX1 gene are designed and synthesized into oligo dimer, are connected with Cas9 vector, and introduced into hypocotyl callus of Brassica napus by Agrobacterium tumefaciens-mediated transformation to regerated into shoots. Cas9 nuclease was guided by sgRNA to cleave target sequence. Each sgRNA could pass through CRISPR-Cas9 system mediates the cleavage of BnMAX1 gene in A and C genomes, and achieves the goal of gene knockout. Phenotypic identification showed that homozygous mutant lines increased the number of branches and pods per plant, decreased plant height and increased yield.(ZH) 本发明公开了一种利用CRISPR‑Cas9系统敲除甘蓝型油菜BnMAX1基因的方法及应用，设计了两种特异性靶向甘蓝型油菜BnMAX1基因的sgRNA并制成oligo二聚体，与Cas9载体连接，通过农杆菌介导的遗传转化技术导入到甘蓝型油菜下胚轴愈伤并再生成苗，Cas9核酸酶在sgRNA的引导下，剪切目标序列，每条sgRNA都能通过CRISPR‑cas9系统介导A和C基因组上BnMAX1基因的剪切，达到基因敲除的目的。经过表型鉴定，发现纯合突变株系增加了分枝数、单株角果数，降低植株高度，同时也增加了产量。",武汉宇晨专利事务所 42001武汉宇晨专利事务所 42001,109266646,16.03.2021,"WO/2020/063775

AU2019345788"
US276885084,16468234,United States of America,08.12.2017,20190352652,21.11.2019,A1,"C12N 15/82
					






C12N 9/22
					






C12N 15/11
					








C12N 15/82
					






C12N 9/22
					






C12N 15/11
					






View less classifications","C12N 15/8283
					






C12N 15/8213
					






C12N 9/22
					






C12N 2800/80
					






C12N 15/11
					






C12N 2310/20
					






View more classifications
							






C12N 15/8283
					






C12N 15/8213
					






C12N 9/22
					






C12N 2800/80
					






C12N 15/11
					






C12N 2310/20
					






C12N 15/8218
					






View less classifications","THE BROAD INSTITUTE, INC.MASSACHUSETTS INSTITUTE OF TECHNOLOGYREGENTS OF THE UNIVERSITY OF MINNESOTAPRESIDENT AND FELLOWS OF HARVARD COLLEGE",Omar ABUDAYYEHJoseph John BELANTOJonathan GOOTENBERGColby Garret STARKERDaniel Francis VOYTASFeng ZHANG,,(EN) CRISPR-SYSTEMS FOR MODIFYING A TRAIT OF INTEREST IN A PLANT,,"(EN) 
The present invention generally relates to plants comprising a CRISPR system or parts of a CRISPR system, compositions, containers, polynucleotide, vectors, delivery systems, parts of plants, methods for production, CRISPR systems, and components thereof. Further aspects of the invention include a method for identifying a CRISPR system which is functional in a plant cell and a method for improving a CRISPR system in a plant.",,,,WO/2018/107103
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
CN222375053,201810030082,China,12.01.2018,108165578,15.06.2018,B,"C12N 15/82
					






C12N 9/22
					






A01H 5/00
					






A01H 6/20
					








C12N 15/82
					






C12N 9/22
					






A01H 5/00
					






A01H 6/20
					






View less classifications","C12N 9/22
					






C12N 15/8205
					






C12N 15/8213
					








C12N 9/22
					






C12N 15/8205
					






C12N 15/8213
					






View less classifications",SICHUAN AGRICULTURAL UNIVERSITY四川农业大学,SUN BO孙勃ZHANG FEN张芬ZHENG AIHONG郑爱红TANG HAORU汤浩茹XUE SHENGLING薛生玲JIANG LEIYU江雷雨YUAN QIAO袁巧JIANG MIN江敏CHEN QING陈清ZHANG YONG张勇LUO YA罗娅WANG XIAORONG王小蓉WANG YAN王燕LIU ZEJING刘泽静LI MENGYAO李梦瑶,,(EN) High-efficiency preparation method for simultaneously preparing multiple member mutants of same gene family of cabbage mustard(ZH) 一种同时针对芥蓝同一基因家族多个成员突变体的高效制备方法,,"(EN) The invention provides a high-efficiency preparation method for simultaneously preparing multiple member mutants of the same gene family of cabbage mustard. The preparation method comprises the following steps: according to the whole length of each member of the gene family of the cabbage mustard, analyzing a target site of each member, and screening a common target sequence; constructing a CRISPR/Cas9 expression vector according to the selected target sequence, then transforming into agrobacterium competent state, infecting explants, and then performing tissue culture on the explants to obtain mutant plants. Multiple genes of the same gene family in a cabbage mustard plant are simultaneously knocked out through once transformation, and a large number of mutant materials can be obtained through mutation of different members, so that the mutation efficiency is improved, the workload is saved, the working time is saved, the problems that in past gene family mutation, multiple vectors arerequired to be designed respectively and the vectors are required to be separately transformed so as to obtain different mono-mutant and multi-mutant materials, induction is long in time and high indifficulty and the like are solved, and thus the advantages of simultaneousness and high efficiency of the preparation method are embodied.(ZH) 本发明提供了一种同时针对芥蓝同一基因家族多个成员突变体的高效制备方法，包括以下步骤：根据芥蓝基因家族各成员的CDS全长，分析其各成员的靶位点，筛选共同靶序列；根据选定的靶序列，构建CRISPR/Cas9表达载体，然后转化农杆菌感受态，浸染外植体，再对外植体进行组织培养，获得突变植株。本发明通过一次转化同时敲除芥蓝植物体内同一基因家族的多个基因，可得到大量的不同成员突变的突变体材料，提高了突变的效率，节省了工作量，节约了工作时间，解决了以往基因家族突变为获得不同的单突和多突材料，需分别设计多个载体，各载体需进行单独转化，同时诱导时间长和难度大等问题，进而体现了本发明同时、高效的优势。",成都正华专利代理事务所(普通合伙) 51229,108165578,14.07.2020,
CN279818890,201910803890,China,28.08.2019,110577964,17.12.2019,B,"C12N 15/82
					






C12N 15/29
					






C12N 15/10
					






A01H 5/00
					






A01H 5/08
					






A01H 6/46
					








C12N 15/82
					






C12N 15/29
					






C12N 15/10
					






A01H 5/00
					






A01H 5/08
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/102
					






C12N 15/8218
					






C12N 15/8261
					








C07K 14/415
					






C12N 15/102
					






C12N 15/8218
					






C12N 15/8261
					






View less classifications",SOUTH CHINA AGRICULTURAL UNIVERSITY华南农业大学,WANG HAIYANG王海洋KONG DEXIN孔德鑫WEI HONGBIN魏洪彬WANG BAOBAO王宝宝ZHAO YONGPING赵永平LIU YUTING刘宇婷ZHAO BINBIN赵斌斌LI QUANQUAN李全权XUE WEICONG薛伟聪,,(EN) Application of UB2/UB3 gene in regulation and control of corn multi-spike development(ZH) UB2/UB3基因在调控玉米多果穗发育中的应用,,"(EN) The invention discloses application of a UB2/UB3 gene in regulation and control of corn multi-spike development, and particularly relates to application of UB2 and UB3 gene double mutation in regulation and control of corn multi-spike development. According to the invention, gene editing is carried out on two targets UB2 and UB3 in corn by using a CRISPR/Cas9 transgenic technology, so that the target site of the UB2 gene has deletion of a basic group to cause frameshift mutation and deletion of large fragments of the UB3 gene. Results show that the tassel branch number of UB2 and UB3 double mutant plants is reduced, the increase of the spike number of the UB2 and UB3 double mutants is observed for the first time, new female spikes grow on spike stalks of main spikes, the multi-spike property is shown, auxiliary meristem at the lower part is also derepressed to be developed into female spikes, and phenotypes with increased aerial roots are accompanied; and it shows that after the UB2 gene and the UB3 gene are knocked out, a corn mutant plant can show a multi-spike phenotype. The invention provides a theoretical basis for genetic improvement of the corn multi-spike property has a large application prospect.(ZH) 本发明公开了UB2/UB3基因在调控玉米多果穗发育中的应用，具体为UB2和UB3基因双突变在调控玉米多果穗发育中的应用。本发明利用CRISPR/Cas9转基因技术对玉米中的UB2和UB3这两个靶点进行了基因编辑，使UB2基因的靶位点有碱基的缺失，导致移码突变，而UB3基因则大片段的删除；结果显示，UB2和UB3双突变体植株的雄穗分枝数减少，并首次观察到UB2和UB3双突变体的果穗数增加，主穗的穗柄上长出新的雌穗，表现出多穗性，下部的腋生分生组织也脱抑制发育成雌穗，并且伴有气生根增多的表型；表明敲除UB2和UB3基因后，可使玉米突变体植株表现出多果穗表型，本发明对玉米多穗性的遗传改良提供了理论依据，具有较大的应用前景。",广州粤高专利商标代理有限公司 44102,110577964,31.08.2021,
,,,,,,,,,,,,,,,,,,
CN199377632,201710030839,China,17.01.2017,106834341,13.06.2017,B,"C12N 15/82
					






A01H 5/00
					






A01H 6/20
					








C12N 15/82
					






A01H 5/00
					






A01H 6/20
					






View less classifications","C12N 15/8274
					






C12N 2800/22
					






C12N 2810/10
					








C12N 15/8274
					






C12N 2800/22
					






C12N 2810/10
					






View less classifications",CHINA AGRICULTURAL UNIVERSITY中国农业大学,JIANG LINJIAN姜临建CHEN QIJUN陈其军NI HANWEN倪汉文XU YONG许勇CHEN YIYU陈易雨WANG ZHIPING王志平,2016112550764 30.12.2016 CN,(EN) Gene site-directed mutation vector as well as construction method and application thereof(ZH) 一种基因定点突变载体及其构建方法和应用,,"(EN) The invention belongs to the technical field of bioengineering and in particular relates to a gene site-directed mutation vector as well as a construction method and application thereof. The invention provides the gene site-directed mutation vector due to lots of optimizations, cytosine deaminase is guided to be close to cytosine through a CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) system, the cytosine is changed into uracil, then uracil is changed into thymine through self-repair in plant cells, and finally, site-specific mutagenesis from C to T is realized in plants so as to generate resistance to herbicides. In addition, point mutation can be produced in a non-sgRNA targeted area, and novel herbicide-resistant great agronomic traits are brought.(ZH) 本发明属于生物工程技术领域，具体涉及一种基因定点突变载体及其构建方法和应用。本发明通过大量的优化，提供一种基因定点突变载体，通过CRISPR系统将胞嘧啶脱氨酶引导至胞嘧啶附近，将胞嘧啶变成尿嘧啶，随后植物细胞内的自发修复最终将尿嘧啶变成了胸腺嘧啶，最终在植物中实现C到T的定点突变，产生抗除草剂抗性。另外还可在非sgRNA靶点区域产生点突变，带来新的抗除草剂的重大农艺性状。",北京众合诚成知识产权代理有限公司 11246,106834341,16.06.2020,
CN250406966,201910273522,China,05.04.2019,110079535,02.08.2019,B,"C12N 15/29
					






C12N 15/113
					






C12N 15/82
					






C12N 15/65
					






C07K 14/415
					






A01H 5/00
					






View more classifications
							






C12N 15/29
					






C12N 15/113
					






C12N 15/82
					






C12N 15/65
					






C07K 14/415
					






A01H 5/00
					






A01H 5/10
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/113
					






C12N 15/65
					






C12N 15/8261
					






C12N 15/8213
					






C12N 2310/10
					






View more classifications
							






C07K 14/415
					






C12N 15/113
					






C12N 15/65
					






C12N 15/8261
					






C12N 15/8213
					






C12N 2310/10
					






C12N 2310/20
					






View less classifications","SOUTH CHINA AGRICULTURAL UNIVERSITY华南农业大学BIOTECHNOLOGY RESEARCH INSTITUTE, CAAS中国农业科学院生物技术研究所",WANG HAIYANG王海洋WU GUANGXIA吴广霞XIE YURONG谢钰容ZHAO YONGPING赵永平SHEN RONGXIN沈荣鑫WANG BAOBAO王宝宝ZHENG ZHIGANG郑智刚,,(EN) Corn ZmPIF3s mutant protein and encoding gene and application in breeding thereof(ZH) 玉米ZmPIF3s突变型蛋白、其编码基因及其在育种上的应用,,"(EN) The invention discloses corn ZmPIF3s mutant protein and an encoding gene and application in breeding thereof. According to the corn ZmPIF3s mutant protein, corn ZmPIF3s protein is mutated by means ofgene editing to obtain the ZmPIF3s mutant protein with functions of reducing plant height and shortening mesocotyl length. The invention further provides a building method of a ZmPIF3s gene editing vector. The invention further discloses a breeding method for developing short-mesocotyl short-stalk corn by means of a gene editing technology. By means of the CRISPR/Cas9 gene editing technology, theZmPIF3s gene is edited, and by screening progeny, in a T2 generation, a T-DNA-removed novel material with genetically-stable characters of short mesocotyl and short stalks can be obtained. The mutantprotein and the gene editing technology can be applied for molecular breeding of plants, have the advantages of being fast, precise, efficient and the like, the breeding efficiency can be effectivelyimproved, and a breeding progress can be accelerated.(ZH) 本发明公开了玉米ZmPIF3s突变型蛋白、其编码基因及其在育种上的应用。本发明利用基因编辑对玉米ZmPIF3s蛋白进行突变，获得具有使株高变矮以及中胚轴长度缩短功能的ZmPIF3s突变蛋白。本发明还提供了ZmPIF3s基因编辑载体的构建方法。本发明进一步公开了利用基因编辑技术创制短中胚轴和矮杆玉米的育种方法。本发明利用CRISPR/Cas9基因编辑技术对ZmPIF3s基因进行编辑，通过后代的筛选在T2代就可获得剔除T‑DNA、具有短中胚轴和矮杆特性稳定遗传的新材料。本发明所提供的突变蛋白以及基因编辑技术能够应用于植物的分子育种，具有快速、精准、高效等优点，能有效提高育种效率并加快育种进程。",北京思元知识产权代理事务所(普通合伙) 11598北京思元知识产权代理事务所(普通合伙) 11598,110079535,28.01.2022,
,,,,,,,,,,,,,,,,,,
