Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Agents,Title,Designated States,Abstract,Designated States,Related Patent Documents,Priority Data,Grant Number,Grant Date,,,,
MX441955534,2024010443,Mexico,23.08.2024,2024010443,11.09.2024,A,"A01H 6/46
					








A01H 6/46
					






View less classifications","C12N 15/827
					






C12N 9/22
					






A01G 22/55
					






A01H 6/46
					








C12N 15/827
					






C12N 9/22
					






A01G 22/55
					






A01H 6/46
					






View less classifications","UNIVERSITY OF FLORIDA RESEARCH FOUNDATION, INCORPORATED",Fredy ALTPETERBaskaran KANNAN,,(EN) COMPOSITIONS AND METHODS FOR SUPPRESSION OF FLOWERING IN SUGARCANE AND ENERGYCANE.(ES) COMPOSICIONES Y METODOS PARA SUPRIMIR LA FLORACION EN LA CA?A DE AZUCAR Y EN LA CA?A ENERGETICA.,,"(EN) Described herein are compositions, including RNAi and/or CRISPR constructs, for modifying one or more Flowering Locus T (FT) genes in a plant and methods of using the compositions for producing plants having suppressed or delayed flowering time. In some embodiments, the plant is a Saccharum plant. The approach used herein involves methods for decreasing expression of one or more Flowering Locus T (FT) genes by RNAi inhibition or CRISPR/Cas9 targeted mutagenesis that results in suppressed or delayed flowering in Saccharum plants, such as sugarcane or energycane. Target genes were isolated from the sugarcane and energycane cultivar and a conserved sequence between these cultivars and closely related species was chosen to design intron-hairpin RNA constructs for RNAi suppression or sgRNA expression constructs for targeted mutagenesis. Recombinant DNA vectors were introduced into sugarcane by biolistic gene transfer and transgenic plants were regenerated and selected, vegetatively propagated for replicated field testing. These genetically modified plants produce significantly elevated biomass and recoverable sugar yield under replicated field conditions relative to a similar plant in which the FT4, FT8, and/or FT10 gene have not been disrupted, when grown under the same conditions.(ES) Se describen composiciones, incluidas construcciones de RNAi y/o CRISPR, para modificar uno o más genes Flowering Locus T (FT) en una planta, así como métodos de uso de las composiciones para producir plantas que tienen un tiempo de floración suprimido o retrasado. En algunas modalidades, la planta es una planta Saccharum. El enfoque utilizado en este documento implica el uso de métodos para reducir la expresión de uno o más genes Flowering Locus T (FT) mediante la inhibición del RNAi o mutagénesis dirigida CRISPR/Cas9 que da como resultado la supresión o el retraso de la floración en plantas Saccharum, tales como la caña de azúcar o la caña energética. Los genes objetivo se aislaron de la variedad cultivada de caña de azúcar y caña energética y se eligió una secuencia conservada de entre estas variedades cultivadas y especies estrechamente relacionadas para diseñar construcciones de RNA de intrón-horquilla para la supresión por RNAi, o construcciones de expresión de sgRNA para mutagénesis dirigida. Se introdujeron vectores recombinantes de DNA en la caña de azúcar mediante transferencia génica biolística y se realizó la regeneración y selección de plantas transgénicas, propagadas vegetativamente para pruebas de campo replicadas. Estas plantas genéticamente modificadas producen una biomasa significativamente elevada y un rendimiento de azúcar recuperable en condiciones de campo replicadas en relación con una planta similar en la que el gen FT4, FT8 y/o FT10 no se han alterado cuando se cultivan en las mismas condiciones.",,WO/2023/164553,"63/268,572 25.02.2022 US",,,,,,
CN326499329,202110361987.X,China,02.04.2021,112877341,01.06.2021,B,"C12N 15/29
					






C07K 14/415
					






C12N 15/84
					






C12N 1/21
					






A01H 5/10
					






A01H 6/20
					








C12N 15/29
					






C07K 14/415
					






C12N 15/84
					






C12N 1/21
					






A01H 5/10
					






A01H 6/20
					






View less classifications","C07K 14/415
					






C12N 15/8218
					






C12N 15/8243
					






C12N 15/8205
					








C07K 14/415
					






C12N 15/8218
					






C12N 15/8243
					






C12N 15/8205
					






View less classifications","OIL CROPS RESEARCH INSTITUTE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院油料作物研究所",ZHANG YUANYUAN张园园HE YIZHOU何贻洲LIU SHENGYI刘胜毅LIU YUEYING刘越英HUANG JUNYAN黄军艳CHENG XIAOHUI程晓辉,深圳智趣知识产权代理事务所(普通合伙) 44486,(EN) Brassica napus BnaA09.GTR2 gene related to thioglycoside transport and application thereof(ZH) 硫苷转运相关的甘蓝型油菜BnaA09.GTR2基因及其应用,,"(EN) The invention discloses a brassica napus BnaA09.GTR2 gene related to thioglycoside transport and application thereof. The glucosinolate transport gene BnaA09.GTR2 in allotetraploid brassica napus is edited by using a CRISPR/Cas9 gene editing technology to obtain a homozygous mutant of the BnaA09.GTR2 gene, the total glucosinolate content in mature seeds of the BnaA09.GTR2 gene knockout mutant is significantly reduced, and it is proved that the BnaA09.GTR2 gene plays a role in the process that thioglycoside is transferred from a synthesis site to seeds. The application can be used for improving the glucosinolate character of the rape seeds, a theoretical basis is provided for improvement and development of the glucosinolate character of the brassica napus seeds, and a new way is provided for brassica napus breeding work with improvement of the glucosinolate character as a target.(ZH) 本发明公开了硫苷转运相关的甘蓝型油菜BnaA09.GTR2基因及其应用，利用CRISPR/Cas9基因编辑技术对异源四倍体甘蓝型油菜中硫苷转运基因BnaA09.GTR2进行编辑，获得了BnaA09.GTR2基因的纯合突变体，所述BnaA09.GTR2基因敲除突变体成熟种子中总硫苷含量显著降低，证明BnaA09.GTR2基因在硫苷从合成部位向种子转运的过程中发挥功能。能够用于油菜种子硫苷性状的改良，为甘蓝型油菜种子低硫苷性状的改良开发提供了理论依据，为以低硫苷性状改良为目标的油菜育种工作提供了一种新的途径。",,,,112877341,14.03.2023,,,,
CN371158631,202210687850,China,17.06.2022,114836441,02.08.2022,B,"C12N 15/29
					






C07K 14/415
					






C12Q 1/6895
					






C12N 15/11
					








C12N 15/29
					






C07K 14/415
					






C12Q 1/6895
					






C12N 15/11
					






View less classifications","C07K 14/415
					






C12Q 1/6895
					






C12Q 2600/156
					






C12Q 2600/13
					








C07K 14/415
					






C12Q 1/6895
					






C12Q 2600/156
					






C12Q 2600/13
					






View less classifications",CHINA AGRICULTURAL UNIVERSITY中国农业大学,GU RILIANG顾日良GUO SHASHA郭莎莎AI JUNMIN艾俊民WANG JIANHUA王建华DU XUEMEI杜雪梅LI LI李莉,,(EN) ZmRAP2.7 gene related to storage resistance of corn seeds as well as functional marker and application of ZmRAP2.7 gene(ZH) 玉米种子耐贮性相关的ZmRAP2.7基因及其功能标记与应用,,"(EN) The invention relates to the fields of crop molecular breeding, molecular biology and genetic engineering, in particular to cloning and identification of a ZmRAP2.7 gene related to the storability of corn seeds and application of the ZmRAP2.7 gene to improvement of the storability of the seeds. A whole genome association analysis method is adopted to obtain four SNPs (Single Nucleotide Polymorphisms) obviously associated with the artificial accelerated aging germination rate of the seeds, and the four SNPs fall on the ZmRAP2.7 gene. The storability of an Mu insertion mutant and a CRISPR-Cas9 knockout line of the gene is obviously reduced. Transcriptome analysis finds that abnormities of ABA signal transduction function are caused by gene function deletion; yeast single impurity and gel retardation prove that the protein can be combined to ZCN9 and three ABA signal transduction gene promoters for transcriptional inhibition of gene expression. The four obviously associated SNPs cause the change of the amino acid sequence of the protein, further influence the binding activity with promoters such as ZCN9 and cause the storage resistance difference of different haplotype inbred lines.(ZH) 本发明涉及作物分子育种、分子生物学和基因工程领域，特别涉及了一种玉米种子耐贮性相关的ZmRAP2.7基因克隆鉴定及在提高种子耐贮性中的应用。我们采用全基因组关联分析法，获得与种子人工加速老化发芽率显著关联的4个SNP，落在ZmRAP2.7基因上。该基因的Mu插入突变体和CRISPR‑Cas9敲除系的耐贮性显著下降。转录组分析发现该基因功能缺失导致ABA信号传导功能异常；酵母单杂和凝胶阻滞证实该蛋白能结合到ZCN9和3个ABA信号传导基因启动子上转录抑制基因表达。四个显著关联SNP造成该蛋白氨基酸序列改变，进而影响与ZCN9等启动子的结合活性，导致不同单倍型自交系的耐贮性差异。",,,,114836441,07.05.2024,,,,
CN326512503,202110154125.X,China,04.02.2021,112877275,01.06.2021,B,"C12N 5/071
					






C12N 15/55
					






C12N 15/85
					






C12Q 1/02
					






C12N 7/00
					








C12N 5/071
					






C12N 15/55
					






C12N 15/85
					






C12Q 1/02
					






C12N 7/00
					






View less classifications","C12N 5/0686
					






C12N 15/85
					






C12N 9/80
					






C12Y 305/01098
					






G01N 33/5005
					






C12N 7/00
					






View more classifications
							






C12N 5/0686
					






C12N 15/85
					






C12N 9/80
					






C12Y 305/01098
					






G01N 33/5005
					






C12N 7/00
					






C12N 2310/20
					






C12N 2770/32151
					






Y02A 40/70
					






View less classifications","LANZHOU VETERINARY RESEARCH INSTITUTE, CHINESE ACADEMY OF AGRICULTURE SCIENCES中国农业科学院兰州兽医研究所",SUN YUEFENG孙跃峰GONG QING龚青HOU SHITONG侯石桐YIN XIANGPING殷相平WANG XIANGWEI王相伟MAO RUOQING毛箬青,北京兴智翔达知识产权代理有限公司 11768,(EN) HDAC2 gene knockout BHK-21 cell line as well as construction method and application thereof(ZH) HDAC2基因敲除的BHK-21细胞系及其构建方法和应用,,"(EN) The invention discloses a construction method of an HDAC2 gene knockout BHK-21 cell line. The construction method comprises the following steps: carrying out gene knockout on HDAC2 in a cell line BHK-21 for foot-and-mouth disease vaccine production by utilizing a CRISPR/Cas9 technology; the inventor transfects BHK-21 cells with CRISPR plasmids for knocking out HDAC2, and then separates a plurality of cell clones by using a cloning ring method by combining antibiotic screening with gradient dilution; after genome DNA is extracted, PCR amplification and sequencing are carried out, and cell cloning of which one HDAC2 gene is subjected to homozygous frameshift mutation is successfully recognized; wherein the HDAC2-KO-B3 has the deletion of one basic group at the predetermined cutting position of the Cas9. In the BHK-21 cell line with HDAC2 knockout, the replication rate of foot-and-mouth disease virus is obviously accelerated, the final virus titer is obviously improved, and the cell growth rate is not obviously influenced after HDAC2 knockout, so that the HDAC2 knockout BHK-21 cell line has the prospect of being used for foot-and-mouth disease vaccine production. A foundation is laid for further knocking out HDAC2 from suspension culture type BHK-21 cells and directly applying HDAC2 to production of foot-and-mouth disease vaccines.(ZH) 本发明公开了HDAC2基因敲除的BHK‑21细胞系的构建方法，利用CRISPR/Cas9技术对口蹄疫疫苗生产用细胞系BHK‑21中的HDAC2进行基因敲除；发明人将用于敲除HDAC2的CRISPR质粒转染BHK‑21细胞后，利用抗生素筛选结合梯度稀释，用克隆环法分离到了多个细胞克隆；提取基因组DNA后进行PCR扩增、测序，成功鉴定到了1个HDAC2基因发生纯合移码突变的细胞克隆；其中HDAC2‑KO‑B3在Cas9预定切割位置处有1个碱基的缺失。HDAC2敲除的BHK‑21细胞系中口蹄病毒复制速率明显加快，最终病毒滴度有显著提高，且HDAC2敲除后对细胞生长速率无显著影响，说明其有用于口蹄疫疫苗生产的前景。为进一步在悬浮培养型BHK‑21细胞中敲除HDAC2，直接用于口蹄疫疫苗生产奠定了基础。",,,,112877275,31.03.2023,,,,
CN241609249,201780048145,China,30.05.2017,109642232,16.04.2019,A,"C12N 15/113
					






C12N 15/82
					








C12N 15/113
					






C12N 15/82
					






View less classifications","C12N 15/113
					






C12N 15/8213
					






C12N 2310/20
					








C12N 15/113
					






C12N 15/8213
					






C12N 2310/20
					






View less classifications",KWS SAAT SEKWS种子欧洲股份公司,HUMMEL AARONA·赫梅尔,永新专利商标代理有限公司 72002永新专利商标代理有限公司 72002,(EN) HYBRID NUCLEIC ACID SEQUENCES FOR GENOME ENGINEERING(ZH) 用于基因组改造的杂合核酸序列,,"(EN) The present invention relates to hybrid nucleic acid sequence constructs comprising a CRISPR nucleic acid sequence and a DNA repair template associated with each other in a covalent and/or non-covalent way for CRISPR based genome engineering. Further provided is a molecular complex additionally comprising at least one CRISPR polypeptide. All components within the complex are in physical proximity.In addition, there is provided a plant, plant cell, a plant material, or a derivative, or progeny thereof comprising the hybrid RNA/DNA sequence and/or the molecular complex. Further, there is provided a method for modifying at least one DNA target sequence in a prokaryotic or eukaryotic cell as well as a method for manufacturing a plant or plant cell. Finally, there is provided the use of at least one hybrid RNA/DNA sequence, or use of a molecular complex for gene editing or genome engineering in a prokaryotic or eukaryotic cell or organism.(ZH) 本发明涉及含以共价和/或非共价方式彼此相联的CRISPR核酸序列和DNA修复模板的杂合核酸序列构建体，其用于基于CRISPR的基因组改造。还提供另外含至少一个CRISPR多肽的分子复合物。复合物内的所有组分在物理位置上接近。另外，提供植物、植物细胞、植物材料、或其衍生物或后代，其包括所述杂合RNA/DNA序列和/或分子复合物。此外，提供在原核或真核细胞中修饰至少一个DNA靶序列的方法以及产生植物或植物细胞的方法。最后，提供至少一个杂合DNA/DNA核酸序列或分子复合物在原核或真核细胞或生物体内基因编辑或基因组改造中的应用。",,"AU2017272623

KR1020190012229

EP3464594

US20190161760

BR112018074494

EA201892810

WO/2017/207589

JP2019517261

CA3025828

UAa201812605This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240376486","62/344,109 01.06.2016 US",,,,,,
CA234724450,3025828,Canada,,3025828,07.12.2017,A1,"C12N 15/113
					






C12N 15/82
					








C12N 15/113
					






C12N 15/82
					






View less classifications","C12N 15/113
					






C12N 15/8213
					






C12N 2310/20
					








C12N 15/113
					






C12N 15/8213
					






C12N 2310/20
					






View less classifications",KWS SAAT SE & Co. KGaA,"HUMMEL, AARON",,(EN) HYBRID NUCLEIC ACID SEQUENCES FOR GENOME ENGINEERING(FR) SEQUENCES D'ACIDES NUCLEIQUES HYBRIDES DESTINEES A L'INGENIERIE GENOMIQUE,,"(EN) The present invention relates to hybrid nucleic acid sequence constructs comprising a CRISPR nucleic acid sequence and a DNA repair template associated with each other in a covalent and/or non-covalent way for CRISPR based genome engineering. Further provided is a molecular complex additionally comprising at least one CRISPR polypeptide. All components within the complex are in physical proximity. In addition, there is provided a plant, plant cell, a plant material, or a derivative, or progeny thereof comprising the hybrid RNA/DNA sequence and/or the molecular complex. Further, there is provided a method for modifying at least one DNA target sequence in a prokaryotic or eukaryotic cell as well as a method for manufacturing a plant or plant cell. Finally, there is provided the use of at least one hybrid RNA/DNA sequence, or use of a molecular complex for gene editing or genome engineering in a prokaryotic or eukaryotic cell or organism.(FR) La présente invention concerne des constructions de séquence d'acides nucléiques hybrides comprenant une séquence d'acides nucléiques CRISPR et une matrice de réparation d'ADN associés l'un à l'autre d'une manière covalente et/ou non covalente pour l'ingénierie génomique à base de CRISPR. L'invention concerne en outre un complexe moléculaire comprenant additionnellement au moins un polypeptide CRISPR. Tous les constituants au sein du complexe se trouvent en proximité physique. De plus, l'invention concerne une plante, une cellule végétale, un matériau végétal, ou un dérivé ou descendance de ces derniers comprenant la séquence d'ARN/d'ADN hybride et/ou le complexe moléculaire. L'invention concerne en outre un procédé de modification d'au moins une séquence cible d'ADN dans une cellule procaryote ou eucaryote ainsi qu'un procédé de fabrication d'une plante ou d'une cellule végétale. Enfin, l'invention concerne l'utilisation d'au moins une séquence d'ARN/d'ADN hybride, ou l'utilisation d'un complexe moléculaire d'édition de gène ou d'ingénierie génomique dans une cellule ou un organisme procaryote ou eucaryote.",,"AU2017272623

KR1020190012229

EP3464594

CN109642232

US20190161760

BR112018074494

EA201892810

WO/2017/207589

JP2019517261

UAa201812605This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

US20240376486","62/344,109 01.06.2016 US",,,,,,
EP443662468,24175045,European Patent Office,30.10.2020,4471149,04.12.2024,A3,"C12N 9/22
					






C12N 15/11
					






C12N 15/113
					






C12N 15/55
					






C12N 15/63
					






C12N 15/82
					






View more classifications
							






C12N 9/22
					






C12N 15/11
					






C12N 15/113
					






C12N 15/55
					






C12N 15/63
					






C12N 15/82
					






C12N 15/90
					






View less classifications","C12N 9/22
					






C12Y 305/04002
					






C12N 2310/20
					






C07K 2319/70
					






C07K 2319/85
					






C07K 2319/80
					






View more classifications
							






C12N 9/22
					






C12Y 305/04002
					






C12N 2310/20
					






C07K 2319/70
					






C07K 2319/85
					






C07K 2319/80
					






C07K 2319/40
					






C12N 15/8213
					






C12N 15/102
					






C12N 9/78
					






C12N 15/113
					






View less classifications",PAIRWISE PLANTS SERVICES INC,KIM YONGJOO,,(DE) TYP-V-CRISPR-CAS-BASISEDITOREN UND VERFAHREN ZUR VERWENDUNG DAVON(EN) TYPE V CRISPR-CAS BASE EDITORS AND METHODS OF USE THEREOF(FR) ÉDITEURS DE BASE CRISPR-CAS DE TYPE V ET LEURS PROCÉDÉS D'UTILISATION,,"(EN) This invention relates to Type V CRISPR-Cas effector proteins, deaminases, and fusion and recruiting nucleic acid constructs thereof. The invention further relates methods of targeted nucleic acid modification utilizing the same.","View all
							



AL, AT, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all","CA3158897

WO/2021/087182

US20210130827

AU2020372931

SG11202204012U

KR1020220110739

CN114867852

EP4051788

JP2023501223

NZ787352",20880833 30.10.2020 EP201962927914 30.10.2019 US2020058082 30.10.2020 US,,,,,,
CA276053858,2994883,Canada,,2994883,23.02.2017,A1,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 9/1092
					






C12N 15/8275
					






C12Y 205/01019
					






C12N 15/8213
					






C12N 2310/20
					






C12N 5/14
					






View more classifications
							






C12N 9/1092
					






C12N 15/8275
					






C12Y 205/01019
					






C12N 15/8213
					






C12N 2310/20
					






C12N 5/14
					






C12N 15/66
					






View less classifications","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY, CHINESE ACADEMY OF SCIENCES","GAO, CAIXIALI, JUN",,(EN) METHOD FOR OBTAINING GLYPHOSATE-RESISTANT RICE BY SITE-DIRECTED NUCLEOTIDE SUBSTITUTION(FR) PROCEDE POUR OBTENIR DU RIZ RESISTANT AU GLYPHOSATE PAR SUBSTITUTION DE NUCLEOTIDE DIRIGEE,,"(EN) A method for obtaining glyphosate-resistant rice by a site-directed nucleotide substitution is provided, which comprises the following steps: only substituting threonine (T) at position 8 of the amino acid sequence of a conserved region of endogenous EPSPS protein of a target plant with isoleucine (I), and substituting proline (P) at position 12 with serine (S) to obtain a plant, i.e., a glyphosate-resistant plant. A method capable of generating a site-directed nucleotide substitution and a fragment substitution utilizing a CRISPR-mediated NHEJ pathway to substitute a region between two gRNA sites by designing the two gRNA sites is provided.(FR) L'invention concerne un procédé permettant d'obtenir du riz résistant au glyphosate par substitution de nucléotide dirigée, ledit procédé comprenant les étapes suivantes : substitution, uniquement, de la thréonine (T) en position 8 de la séquence d'acides aminés d'une région conservée de la protéine EPSPS endogène d'une plante cible par l'isoleucine (I); et substitution de la proline (P) en position 12 par la sérine (S). On obtient ainsi une plante, à savoir une plante résistante au glyphosate. L'invention concerne également un procédé apte à effectuer une substitution de nucléotide dirigée et une substitution de fragment par une voie NHEJ à médiation par CRISPR afin de remplacer une région entre deux sites d'ARN guide, en concevant les deux sites d'ARN guide.",,"CN106467909

AU2016309392

KR1020180031765

EP3334832

BR112018002026

EA201890492

US20190062779

JP2018527920

KR1020200078685

WO/2017/028768

AR105713

UAa201802118This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",201510500930.8 14.08.2015 CN,,,,,,
EP221778046,16836632,European Patent Office,15.08.2016,3334832,20.06.2018,A4,"C12N 15/82
					






A01H 5/00
					






C12N 5/10
					






C12N 9/10
					






C12N 15/54
					






C12N 15/90
					








C12N 15/82
					






A01H 5/00
					






C12N 5/10
					






C12N 9/10
					






C12N 15/54
					






C12N 15/90
					






View less classifications","C12N 9/1092
					






C12N 15/8275
					






C12Y 205/01019
					






C12N 15/8213
					






C12N 2310/20
					






C12N 5/14
					






View more classifications
							






C12N 9/1092
					






C12N 15/8275
					






C12Y 205/01019
					






C12N 15/8213
					






C12N 2310/20
					






C12N 5/14
					






C12N 15/66
					






View less classifications",INST GENETICS & DEVELOPMENTAL BIOLOGY CAS,GAO CAIXIALI JUN,,(DE) VERFAHREN ZUR HERSTELLUNG VON GLYPHOSATRESISTENTEM REIS DURCH ZIELGERICHTETE NUKLEOTIDSUBSTITUTION(EN) METHOD FOR OBTAINING GLYPHOSATE-RESISTANT RICE BY SITE-DIRECTED NUCLEOTIDE SUBSTITUTION(FR) PROCÉDÉ POUR OBTENIR DU RIZ RÉSISTANT AU GLYPHOSATE PAR SUBSTITUTION DE NUCLÉOTIDE DIRIGÉE,,"(EN) A method for obtaining glyphosate-resistant rice by a site-directed nucleotide substitution is provided, which comprises the following steps: only substituting threonine (T) at position 8 of the amino acid sequence of a conserved region of endogenous EPSPS protein of a target plant with isoleucine (I), and substituting proline (P) at position 12 with serine (S) to obtain a plant， i.e., a glyphosate-resistant plant. A method capable of generating a site-directed nucleotide substitution and a fragment substitution utilizing a CRISPR-mediated NHEJ pathway to substitute a region between two gRNA sites by designing the two gRNA sites is provided.(FR) L'invention concerne un procédé permettant d'obtenir du riz résistant au glyphosate par substitution de nucléotide dirigée, ledit procédé comprenant les étapes suivantes : substitution, uniquement, de la thréonine (T) en position 8 de la séquence d'acides aminés d'une région conservée de la protéine EPSPS endogène d'une plante cible par l'isoleucine (I); et substitution de la proline (P) en position 12 par la sérine (S). On obtient ainsi une plante, à savoir une plante résistante au glyphosate. L'invention concerne également un procédé apte à effectuer une substitution de nucléotide dirigée et une substitution de fragment par une voie NHEJ à médiation par CRISPR afin de remplacer une région entre deux sites d'ARN guide, en concevant les deux sites d'ARN guide.","View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all","CN106467909

AU2016309392

KR1020180031765

BR112018002026

EA201890492

US20190062779

JP2018527920

KR1020200078685

WO/2017/028768

AR105713

CA2994883

UAa201802118This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",201510500930 14.08.2015 CN,,,,,,
CN310797673,201880085616.X,China,21.11.2018,111836894,27.10.2020,B,"C12N 15/79
					






C12N 15/10
					






C12N 15/113
					






C12N 9/22
					






C12N 15/90
					








C12N 15/79
					






C12N 15/10
					






C12N 15/113
					






C12N 9/22
					






C12N 15/90
					






View less classifications","C12N 9/22
					






C12N 15/79
					






C12N 15/90
					






C12N 15/111
					






C12N 2310/20
					






C12N 2310/3519
					






View more classifications
							






C12N 9/22
					






C12N 15/79
					






C12N 15/90
					






C12N 15/111
					






C12N 2310/20
					






C12N 2310/3519
					






C12N 2320/52
					






C12N 2320/53
					






C12N 15/102
					






C12N 15/113
					






C12N 15/907
					






C12N 2310/10
					






C12N 15/8201
					






C12N 15/8509
					






C12N 9/96
					






View less classifications",KOREA RESEARCH INSTITUTE OF BIOSCIENCE & BIOTECHNOLOGY基恩科雷有限责任公司,KIM YONG SAM金龙三KO JEONG HEON高正宪LEE JEONG MI李姃美MOON SU BIN文秀彬,北京集佳知识产权代理有限公司 11227北京集佳知识产权代理有限公司 11227,(EN) Genome editing composition using CRISPR/CPF1 SYSTEM AND USE THEREOF(ZH) 用于使用CRISPR/Cpf1系统进行基因组编辑的组合物及其用途,,"(EN) The present invention relates to a genome editing composition using a CRISPR/Cpf1 system and a use thereof and, more particularly, to a genome editing composition comprising: a CRISPR RNA (crRNA) including a guide sequence capable of hybridizing with a target nucleotide sequence, and a uridine repeat sequence connected to the 3'-terminus of the guide sequence, or a DNA coding therefor; and a Cpf1protein or a DNA coding therefor, a genome editing method using the same, a method for construction of a transgenic entity, and a transgenic entity. Utilizing the CRIPSPR/Cpf1 system, the present invention can increase an indel efficiency and decrease off-target activity in genome editing and thus can easily construct a transformed cell or transgenic animal or plant having a desired gene insertedthereinto (knock-in) or deleted therefrom (knock-out).(ZH) 本发明涉及使用CRISPR/Cpf1系统的基因组编辑组合物及其用途，并且更具体地，涉及基因组编辑组合物，其包含：包含能够与靶核苷酸序列杂交的指导序列和连接至所述指导序列的3’末端的尿苷重复序列的CRISPR RNA(crRNA)或其编码DNA；以及Cpf1蛋白或其编码DNA，使用所述组合物的基因组编辑方法、转基因实体的构建方法以及转基因实体。使用CRIPSPR/Cpf1系统，本发明可以在基因组编辑中提高插失效率并降低脱靶活性，并且因此可以容易地构建具有插入其中(敲入)或从其中缺失(敲除)的期望基因的转化细胞或者转基因动物或植物。",,,10-2017-0155927 21.11.2017 KR,111836894,10.11.2023,,,,
