Application Id,Application Number,Publication Number,Publication Date,IPC,CPC,Applicants,Inventors,Priority Data,Address Picture,Title,Abstract,Related Patent Documents,Office,Application Date,Publication Kind,Agents,Grant Number,Grant Date
CA248190514,3047829,3047829,28.06.2018,"C12N 15/82
					






A01H 5/00
					








C12N 15/82
					






A01H 5/00
					






View less classifications","C12N 15/8213
					






C12N 15/8283
					






C12N 2310/20
					








C12N 15/8213
					






C12N 15/8283
					






C12N 2310/20
					






View less classifications",KWS SAAT SE,"HUMMEL, AARONBARTLEM, DEREK GRAHAM","62/436,792 20.12.2016 US",,"(EN) CONFERRING RESISTANCE TO GEMINIVIRUSES IN PLANTS IN ALTERNATIVE MANNER TO GENE DRIVE, USING CRISPR/CAS SYSTEMS(FR) MOYENS PERMETTANT DE CONFERER UNE RESISTANCE A DES GEMINIVIRUS DANS DES PLANTES DE MANIERE ALTERNATIVE A UNE MANOEUVRE GENIQUE, A L'AIDE DE SYSTEMES CRISPR/CAS","(EN) Materials and methods for conferring geminivirus resistance to plants or plant cells, and particularly to materials and methods for using CRISPR/Cas or CRISPR/Cpf1 systems to confer resistance to geminiviruses. Materials and methods are described to insert sequence at a double stranded break in a geminivirus genome.(FR) L'invention concerne des matériels et des procédés permettant de conférer une résistance aux geminivirus à des plantes, et notamment des matériels et des procédés pour utiliser des systèmes CRISPR/Cas ou CRISPR/Cpf1 en vue de conférer une résistance aux geminivirus à des plantes. Des matériels et des procédés sont décrits pour insérer une séquence au niveau d'une cassure double brin dans un génome de géminivirus.","CN110325644

US20190352653

BR112019012839

WO/2018/115202",Canada,20.12.2017,A1,,,
CN406155588,202180079491,116615535,18.08.2023,"C12N 9/22
					








C12N 9/22
					






View less classifications","C12N 9/22
					






C12N 15/8243
					






C12N 9/0071
					






C12N 9/0055
					






C12Y 114/18
					






C12N 15/113
					






View more classifications
							






C12N 9/22
					






C12N 15/8243
					






C12N 9/0071
					






C12N 9/0055
					






C12Y 114/18
					






C12N 15/113
					






C12N 15/8242
					






A01H 1/06
					






A01H 4/001
					






C12N 2310/20
					






View less classifications",TOOLGEN INCORPORATED株式会社图尔金,KWON SOON-IL权纯一HAN ZHIXUE韩智学LEE YE-RIM李叡琳KIM BA-RIM金芭琳,1020200160474 25.11.2020 KR,,(EN) Preparation method for inhibiting potato plants by browning of CRISPR/Cas9 system(ZH) 利用CRISPR/Cas9系统的褐变抑制马铃薯植株的制备方法,"(EN) The present invention relates to a method for preparing a browning-inhibited potato plant using a CRISPR/Cas9 system, and more particularly, to a method for preparing a genome-edited potato plant in which browning is inhibited by transduction to a potato protoplast, the method comprising a ribonuclein (RNP) complex comprising a unidirectional guide RNA (sgRNA) that targets a potato polyphenol oxidase 2 (StPPO2) gene of a potato source, and to a method for preparing a genome-edited potato plant in which browning is inhibited, and more particularly, to a method for preparing a genome-edited potato plant in which browning is inhibited by transduction to a potato protoplast. According to the method, no foreign gene is inserted, and only small variation which cannot be distinguished from natural variation exists, so that the method can be different from transgenic organism (GMO) crops which need to consume huge cost and time to evaluate safety and whether the crops have environmental hazard, and is expected to save cost and time.(ZH) 本发明涉及利用CRISPR/Cas9系统的褐变抑制马铃薯植株的制备方法，更具体地，涉及通过将包含靶向马铃薯来源的马铃薯多酚氧化酶2(Solanum tuberosum Polyphenol Oxidases 2，StPPO2)基因的单向导RNA(sgRNA)的核糖核蛋白(ribonucleoprotein，RNP)复合物转导至马铃薯原生质体来制备褐变得到抑制的基因组编辑马铃薯植株的方法。由于本发明的方法没有外来基因的插入，只有与自然变异无法区分的微小变异，因此可与需要消耗巨大的成本及时间来评估安全性及是否具有环境危害性的转基因生物(Genetically Modified Organism，GMO)作物不同，其有望节省成本及时间。","KR102272557

WO/2022/114692

BRKR2021017138

EP4253541

AR124149

BR112023008309This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.",China,22.11.2021,A,北京路浩知识产权代理有限公司 11002北京路浩知识产权代理有限公司 11002,,
EP424808530,22796734,4330403,06.03.2024,"C12N 15/82
					






C12N 15/11
					






C12N 15/113
					








C12N 15/82
					






C12N 15/11
					






C12N 15/113
					






View less classifications","C12N 15/8213
					






C12N 15/8216
					








C12N 15/8213
					






C12N 15/8216
					






View less classifications",MONSANTO TECHNOLOGY LLC,DAVIS IAN WMARENGO MATTHEW SNAGY ERVIN D,202163182288 30.04.2021 US202163295061 30.12.2021 US,,(DE) PFLANZENREGULIERUNGSELEMENTE UND VERWENDUNGEN DAVON(EN) PLANT REGULATORY ELEMENTS AND USES THEREOF(FR) ÉLÉMENTS RÉGULATEURS DE PLANTE ET LEURS UTILISATIONS,(EN) The invention provides novel synthetic small nuclear RNA (snRNA) promoters which are useful for CRISPR-mediated targeted gene modifications in plants. The invention also provides methods and compositions for use for the snRNA promoters driving expression of guide RNAs and non-coding RNAs for development of plants and plant cells comprising modified genomes.(FR) L'invention concerne de nouveaux promoteurs synthétiques de petit ARN nucléaire (ARNsn) qui sont utiles pour des modifications génétiques ciblées à médiation par CRISPR dans des plantes. L'invention concerne également des procédés et des compositions destinés à être utilisés pour les promoteurs d'ARNsn entraînant l'expression d'ARN guides et d'ARN non codants pour le développement de plantes et de cellules végétales comprenant des génomes modifiés.,"WO/2022/232407

AU2022264019

CA3217328

BR112023020555

CN117242181

JP2024515777

NZ804298",European Patent Office,28.04.2022,A4,,,
CA412653842,3217328,3217328,03.11.2022,"C12N 15/82
					






C12N 15/113
					






C12N 15/11
					








C12N 15/82
					






C12N 15/113
					






C12N 15/11
					






View less classifications","C12N 15/8213
					






C12N 15/8216
					








C12N 15/8213
					






C12N 15/8216
					






View less classifications",MONSANTO TECHNOLOGY LLC,"DAVIS, IAN W.MARENGO, MATTHEW S.NAGY, ERVIN D.","63/182,288 30.04.2021 US63/295,061 30.12.2021 US",,(EN) PLANT REGULATORY ELEMENTS AND USES THEREOF(FR) ELEMENTS REGULATEURS DE PLANTE ET LEURS UTILISATIONS,(EN) The invention provides novel synthetic small nuclear RNA (snRNA) promoters which are useful for CRISPR-mediated targeted gene modifications in plants. The invention also provides methods and compositions for use for the snRNA promoters driving expression of guide RNAs and non-coding RNAs for development of plants and plant cells comprising modified genomes.(FR) L'invention concerne de nouveaux promoteurs synthétiques de petit ARN nucléaire (ARNsn) qui sont utiles pour des modifications génétiques ciblées à médiation par CRISPR dans des plantes. L'invention concerne également des procédés et des compositions destinés à être utilisés pour les promoteurs d'ARNsn entraînant l'expression d'ARN guides et d'ARN non codants pour le développement de plantes et de cellules végétales comprenant des génomes modifiés.,"WO/2022/232407

AU2022264019

BR112023020555

CN117242181

EP4330403

JP2024515777

NZ804298",Canada,28.04.2022,A1,,,
CN418368970,202280031323.X,117242181,15.12.2023,"C12N 15/82
					








C12N 15/82
					






View less classifications",,MONSANTO TECHNOLOGY LLC孟山都技术公司,DAVIS IAN WI·W·戴维斯MARENGO MICHAEL SM·S·马伦戈NAGY ERVIN DE·D·纳吉,"63/182,288 30.04.2021 US63/295,061 30.12.2021 US",,(EN) Plant regulatory elements and uses thereof(ZH) 植物调控元件及其用途,(EN) The invention provides a novel synthetic small nuclear RNA (snRNA) promoter which can be used for CRISPR (Clustered Regularly Interspaced Short Palindromic Repeats) mediated targeted gene modification in plants. The invention also provides methods and compositions for driving snRNA promoters for expression of guide RNA and non-coding RNA for the development of plants and plant cells comprising modified genomes.(ZH) 本发明提供了新型合成小核RNA(snRNA)启动子，其可用于植物中CRISPR介导的靶向基因修饰。本发明还提供了用于驱动指导RNA和非编码RNA的表达的snRNA启动子的方法和组合物，用于植物和包含修饰基因组的植物细胞的发育。,"WO/2022/232407

AU2022264019

CA3217328

BR112023020555

EP4330403

JP2024515777

NZ804298",China,28.04.2022,A,北京市金杜律师事务所 11256北京市金杜律师事务所 11256,,
US276885085,16471465,20190352653,21.11.2019,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 2310/20
					






C12N 15/8213
					






C12N 15/8283
					








C12N 2310/20
					






C12N 15/8213
					






C12N 15/8283
					






View less classifications",KWS SAAT SE,Aaron HummelDerek Graham Bartlem,,,"(EN) CONFERRING RESISTANCE TO GEMINIVIRUSES IN PLANTS IN ALTERNATIVE MANNER TO GENE DRIVE, USING CRISPR/CAS SYSTEMS","(EN) 
Materials and methods for conferring geminivirus resistance to plants or plant cells, and particularly to materials and methods for using CRISPR/Cas or CRISPR/Cpf1 systems to confer resistance to geminiviruses. Materials and methods are described to insert sequence at a double stranded break in a geminivirus genome.","CA3047829

CN110325644

BR112019012839

WO/2018/115202",United States of America,20.12.2017,A1,,,
US314530943,16634220,20210010014,14.01.2021,"C12N 15/82
					








C12N 15/82
					






View less classifications","C12N 2310/14
					






C12N 15/8242
					






C12N 15/8213
					






C12N 15/8218
					








C12N 2310/14
					






C12N 15/8242
					






C12N 15/8213
					






C12N 15/8218
					






View less classifications",INGATEYGEN LLC,Hortense DodoKoffi N'da Konan,,,(EN) PEANUT WITH REDUCED ALLERGEN LEVELS,"(EN) 
Genetic constructs are provided to reduce or eliminate the allergenicity of peanuts. The constructs function by generating interfering RNA and/or by directing deletion using the CRISPR/Cas9 system. The constructs may be used in the production of genetically modified plants, plant parts and cells with reduced allergenicity.",WO/2019/027871,United States of America,30.07.2018,A1,,,
CN403547327,202310602777,116463348,21.07.2023,"C12N 15/113
					






C12N 9/22
					






C12N 15/84
					






C12Q 1/6895
					






C12N 15/55
					






C12N 15/11
					






View more classifications
							






C12N 15/113
					






C12N 9/22
					






C12N 15/84
					






C12Q 1/6895
					






C12N 15/55
					






C12N 15/11
					






C12N 15/29
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/113
					






C12N 9/22
					






C07K 14/415
					






C12N 15/8216
					






C12Q 1/6895
					






C12Q 2600/156
					






View more classifications
							






C12N 15/113
					






C12N 9/22
					






C07K 14/415
					






C12N 15/8216
					






C12Q 1/6895
					






C12Q 2600/156
					






C12N 2310/20
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",LIU CHANGLIN刘昌林XIE CHUANXIAO谢传晓YAN YUANYUAN闫元元ZHU JINJIE朱金洁QI XIANTAO祁显涛,,,(EN) Sg RNA for editing corn ZmCENH3 gene by using CRISPR/Cas9 system and application of sg RNA(ZH) 利用CRISPR/Cas9系统编辑玉米ZmCENH3基因的sg RNA及其应用,"(EN) The invention discloses sgRNA for editing a corn ZmCENH3 gene by utilizing a CRISPR/Cas9 system and application of the sgRNA. The sgRNA of the corn ZmCENH3 gene is designed, and the nucleotide sequence of the sgRNA is shown as SEQ ID NO.1-SEQ ID NO.2; the method comprises the following steps of: respectively connecting a DNA (Deoxyribonucleic Acid) fragment for coding the sgRNA sequence and Cas9 coding protein into a basic vector, transforming the constructed vector into agrobacterium to obtain recombinant agrobacterium, mediating and infecting corn by the recombinant agrobacterium to obtain positive plants, respectively screening the positive plants containing gene fragments of Cas9 and sgRNA, and hybridizing the positive plants to obtain the Cas9 and sgRNA hybrid gene. And carrying out PCR amplification sequencing on the filial generation, analyzing the mutation type of the corn plant, and screening to obtain a mutant plant of the corn ZmCENH3 gene.(ZH) 本发明公开了利用CRISPR/Cas9系统编辑玉米ZmCENH3基因的sgRNA及其应用，本发明设计了玉米ZmCENH3基因的sgRNA，其核苷酸序列如SEQ ID NO.1～SEQ ID NO.2所示；并通过将含有编码所述sgRNA序列的DNA片段和Cas9编码蛋白分别连接到基础载体中，将构建好的载体转化至农杆菌中获得重组农杆菌，并以重组农杆菌介导侵染玉米，获得阳性植株，分别筛选含Cas9和sgRNA的基因片段的阳性植株，并将两者进行杂交，对其杂交后代进行PCR扩增测序，分析玉米植株突变类型，同时筛选得到玉米ZmCENH3基因的突变体植株。",,China,26.05.2023,B,北京慕达星云知识产权代理事务所(特殊普通合伙) 11465,116463348,14.05.2024
CN371017838,202210741231,114805522,29.07.2022,"C07K 14/415
					






C12N 15/29
					






C12N 15/84
					






A01H 5/10
					






A01H 6/46
					








C07K 14/415
					






C12N 15/29
					






C12N 15/84
					






A01H 5/10
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/8273
					






C12N 15/8271
					






C12N 15/8205
					






Y02A 40/146
					








C07K 14/415
					






C12N 15/8273
					






C12N 15/8271
					






C12N 15/8205
					






Y02A 40/146
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",FU BINYING傅彬英DU FENGPING杜丰平WANG WENSHENG王文生ZHAO XIUQIN赵秀琴WANG JUAN汪娟LI YINGBO李英博ZHANG YUE张岳,,,(EN) Application of rice OsbHLH38 protein and coding gene thereof in improving abiotic stress resistance of plants(ZH) 水稻OsbHLH38蛋白及其编码基因在提高植物抗非生物胁迫中的用途,"(EN) The invention discloses a rice OsbHLH38 protein and application of a coding gene of the rice OsbHLH38 protein to improvement of abiotic stress resistance of plants. According to the invention, overexpression and CRISPR (clustered regularly interspaced short palindromic repeats) knockout technologies are respectively adopted to carry out overexpression or knockout mutation on the rice OsbHLH38 gene in rice, and according to phenotypic changes of transgenic rice plants, it is found that overexpression of the OsbHLH38 gene in rice can significantly improve the ability of rice to resist salt stress; therefore, the invention provides the application of the rice OsbHLH38 protein and the coding gene thereof in improving the abiotic stress resistance of the plant, and the application comprises the following steps: overexpressing the rice OsbHLH38 gene in the plant to obtain a transgenic plant, and the abiotic stress resistance of the obtained transgenic plant is obviously enhanced. The method has application prospects in the aspects of improving and enhancing rice stress resistance, accelerating the stress-resistant molecular breeding process and the like.(ZH) 本发明公开了水稻OsbHLH38蛋白及其编码基因在提高植物抗非生物胁迫中的用途。本发明分别采用超表达和CRISPR敲除技术将水稻OsbHLH38基因在水稻中进行超表达或进行敲除突变，根据转基因水稻植株的表型变化发现，在水稻中超表达OsbHLH38基因能够显著改善水稻抵御盐胁迫的能力；因此，本发明提供了水稻OsbHLH38蛋白及其编码基因能够在提高植物对于非生物胁迫抗性中的应用，包括：将水稻OsbHLH38基因在植物中进行过表达得到转基因植物，所得到的转基因植物对于非生物胁迫的抗性明显增强。本发明在改良、增强水稻抗逆性以及加速抗逆分子育种进程等方面具有应用前景。",,China,28.06.2022,B,北京思元知识产权代理事务所(普通合伙) 11598北京思元知识产权代理事务所(普通合伙) 11598,114805522,20.09.2022
CN436525250,202410278043.X,118389544,26.07.2024,"C12N 15/53
					






C12N 9/04
					






C12N 15/82
					






A01H 6/46
					






A01H 5/00
					








C12N 15/53
					






C12N 9/04
					






C12N 15/82
					






A01H 6/46
					






A01H 5/00
					






View less classifications","C12N 9/0006
					






C12N 15/8282
					






C12N 15/8218
					






C12N 15/8205
					






C12Y 101/01195
					








C12N 9/0006
					






C12N 15/8282
					






C12N 15/8218
					






C12N 15/8205
					






C12Y 101/01195
					






View less classifications",FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY福建农林大学,CHEN XIAOMIN陈小敏FAN JIAXIN樊嘉鑫HUANG LINWAN黄琳婉ZHANG JUN张君TANG WEI汤蔚WANG ZONGHUA王宗华,,,(EN) Rice gene OsCAD8B and application thereof(ZH) 一种水稻基因OsCAD8B及其应用,"(EN) The invention discloses a rice gene OsCAD8B, the nucleotide sequence of the rice gene OsCAD8B is as shown in SEQ ID NO.1, and the amino acid sequence of a protein coded by the rice gene OsCAD8B is as shown in SEQ ID NO.2. On the basis of an open reading frame and the amino acid sequence of the rice gene OsCAD8B, a rice gene editing carrier OsCAD8B-pYLCRISPR/Cas9Pubi-H is constructed by utilizing a CRISPR/Cas9 gene editing technology, and the rice gene is transformed into pYLCRISPR/Cas9Pubi-H by an agrobacterium-mediated transformation method. An OsCAD8B-pYLCRISPR/Cas9Pubi-H gene editing carrier is introduced into a rice callus tissue, and a corresponding transgenic line is obtained. The application has the advantages that crop genetic improvement is carried out through OSCAD8B gene editing, and the rice blast resistance is remarkably improved; the wild type and the OscAD8B-ko rice plants are further subjected to a magnaporthe oryzae inoculation experiment, and the result shows that the resistance of the rice plants to the magnaporthe oryzae is improved by knocking out the OscAD8B, the rice form is not influenced, and the influence on the thousand seed weight of the seeds is small.(ZH) 本发明公开了一种水稻基因OsCAD8B，其核苷酸序列如SEQ ID NO.1所示，其编码的蛋白的氨基酸序列如SEQ ID NO.2所示，以水稻基因OsCAD8B开放阅读框和氨基酸序列为基础，利用CRISPR/Cas9基因编辑技术，构建水稻基因编辑载体OsCAD8B‑pYLCRISPR/Cas9Pubi‑H，通过农杆菌介导的转化方法，将OsCAD8B‑pYLCRISPR/Cas9Pubi‑H基因编辑载体导入水稻愈伤组织中，获得相对应的转基因株系。本发明的优点：通过OsCAD8B基因编辑进行作物遗传改良，显著提高了抗稻瘟的能力；进一步对野生型和Oscad8B‑ko水稻植株进行稻瘟病菌接种实验，结果显示敲除OsCAD8B提高了水稻植株对稻瘟病菌的抗性，且不影响水稻形态，对种子的千粒重影响较小。",,China,12.03.2024,A,福州市鼓楼区年盛知识产权代理事务所(普通合伙) 35254,,
