Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,Applicants,Inventors,Priority Data,Publication Language,Title,Designated States,Abstract,Related Patent Documents,Grant Number,Grant Date,CPC,Agents,,,,
IN318014159,202017049501,India,12.11.2020,202017049501,12.02.2021,A,"C12N
					






C07K
					






A01H
					








C12N
					






C07K
					






A01H
					






View less classifications","PIONEER HI-BRED INTERNATIONAL, INC.","ABBITT, Shane E. FRANK, Mary J. LAWIT, Shai MELO, Rosana RUPE, Mary A. SHEN, Bo WU, Jingrui",62/659579 18.04.2018 US62/741529 04.10.2018 US62/814373 06.03.2019 US,,(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS,,"(EN) Genome edited plants, plant cells, seeds and plant parts of maize are provided where expression levels and/or activities of MADS-box transcription factors are modulated to improve one or more agronomic characteristics such as grain yield. Also provided are compositions comprising polynucleotides encoding polypeptides and guide RNAs targeted to endogenous maize MADS-box proteins including for example, targeted site-directed mutagenesis using CRISPR-associated nucleases. Additionally, various methods of employing the polynucleotides and genetic modifications in plants, such as methods for modulating expression level in a maize plant and methods for increasing yield of a maize plant are also provided herein.","WO/2019/204256

CN111988989

BR112020021364

EP3780946

US20210155949

CA3095045",,,,,,,,
US325111240,17047946,United States of America,16.04.2019,20210155949,27.05.2021,A1,"C12N 15/82
					








C12N 15/82
					






View less classifications","PIONEER HI-BRED INTERNATIONAL, INC.",SHANE E ABBITTMARY J FRANKSHAI LAWITROSANA MELOMARY A RUPEBO SHENJINGRUI WU,,,(EN) IMPROVING AGRONOMIC CHARACTERISTICS IN MAIZE BY MODIFICATION OF ENDOGENOUS MADS BOX TRANSCRIPTION FACTORS,,"(EN) 
Genome edited plants, plant cells, seeds and plant parts of maize are provided where expression levels and/or activities of MADS-box transcription factors are modulated to improve one or more agronomic characteristics such as grain yield. Also provided are compositions comprising polynucleotides encoding polypeptides and guide RNAs targeted to endogenous maize MADS-box proteins including for example, targeted site-directed mutagenesis using CRISPR-associated nucleases. Additionally, various methods of employing the polynucleotides and genetic modifications in plants, such as methods for modulating expression level in a maize plant and methods for increasing yield of a maize plant are also provided herein.","WO/2019/204256

CN111988989

BR112020021364

EP3780946

CA3095045

IN202017049501",,,"C12N 15/8241
					








C12N 15/8241
					






View less classifications",,,,,
CN203439502,102017000098892,China,23.02.2017,107043779,15.08.2017,B,"C12N 15/82
					






A01H 5/00
					






A01H 6/46
					








C12N 15/82
					






A01H 5/00
					






A01H 6/46
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所",XIA LANQIN夏兰琴SUN YONGWEI孙永伟ZHAO YUNDE赵云德LI JINGYING李晶莹DU JINLU杜晋鲁,2016110911077 01.12.2016 CN,,(EN) Application of CRISPR/nCas9 mediated site-directed base substitution in plant(ZH) 一种CRISPR/nCas9介导的定点碱基替换在植物中的应用,,"(EN) The invention discloses application of CRISPR/nCas9 mediated site-directed base substitution in a plant. The invention provides a plant genome site-directed edition system. The system comprises a BE3 plant expression carrier (expressing a fusion protein composed of nCas9(D10A), deaminase and a uracil DNA glycosylase inhibitory protein), and rice OsPDS and OsSBEIIb are taken as target genes for verifying the system. Results show that an expected site-directed mutant plant is respectively obtained in the three selected target spots, accurate site mutation of a base is realized in rice, and the highest efficiency reaches about 20%, so that a feasible and effective base substitution method is provided for crop breeding, the method has strong application potential in the aspect of agricultural breeding, and a foundation is provided for rapidly improving important agronomic traits of crops.(ZH) 本发明公开了一种CRISPR/nCas9介导的定点碱基替换在植物中的应用。本发明提供了一种定点编辑植物基因组的系统，该系统包括BE3植物表达载体(表达由nCas9(D10A)、脱氨酶和尿嘧啶DNA糖基化酶抑制蛋白组成的融合蛋白)，并以水稻OsPDS和OsSBEIIb为靶基因对该系统进行验证。结果表明，在所选的3个靶点中，均获得预期定点突变植株，在水稻中实现了碱基的精确的点突变，且效率最高达到20％左右，为农作物育种提供了一种可行的有效的碱基替换方法，在农业育种方面具有强大的应用潜力，为快速改良农作物重要农艺性状提供了基础。",,,107043779,"C12N 15/8201
					






C12N 15/8222
					






C12N 2810/10
					








C12N 15/8201
					






C12N 15/8222
					






C12N 2810/10
					






View less classifications",北京纪凯知识产权代理有限公司 11245北京纪凯知识产权代理有限公司 11245,,,,
US444652451,18739142,United States of America,10.06.2024,20240423155,26.12.2024,A1,"A01H 6/82
					






A01H 5/06
					








A01H 6/82
					






A01H 5/06
					






View less classifications","Board of Regents of the Nevada System of Higher Education, on Behalf of the University of Nevada",Vijaya Kumar Reddy VulavalaDylan K. KosmaPatricia Santos,,,(EN) POTATO VARIETY NAMED 'UNR-01',,"(EN) 
Herein provided is a new potato variety designated ‘UNR-01’ as well as the tubers, seeds, plants, plant parts, and derivatives of the new potato variety ‘UNR-01’. This transgenic variety was generated using CRISPR-Cas9 and deleting a portion of the StMYB93 (PGSC0003DMG400006408) gene. This transgenic variety has a sprout suppressed phenotype that results in a longer storage life in cold storage conditions without the application of sprout-inhibiting chemicals. These potatoes were not impacted in reduced sugar levels, wound healing capacities, and native periderm suberin content. Also provided are tissue cultures of the new potato variety ‘UNR-01’ and the plants regenerated therefrom. Methods for producing potato plants by crossing the new potato variety ‘UNR-01’ with itself or another potato variety and plants produced by such methods are also provided. ‘UNR-01’ potatoes exhibit suppressed sprouting and longer storage life in cold storage conditions without the application of sprout-inhibiting chemicals.",,,,"A01H 5/06
					






A01H 6/827
					








A01H 5/06
					






A01H 6/827
					






View less classifications",,,,,
US325709511,16961303,United States of America,11.01.2019,20210163968,03.06.2021,B2,"C12N 15/82
					






C12N 9/22
					








C12N 15/82
					






C12N 9/22
					






View less classifications",KWS SAAT SE & CO. KGaA,Aaron HummelZarir Vaghchhipawala,,,(EN) Optimized plant CRISPR/CPF1 systems,,"(EN) 
The present invention relates to optimized systems for the genome editing of eukaryotic cells, preferably plant cells. Also provided is a plant delivery system comprising at least one Cpf1 enzyme, or a plant optimized construct encoding the same, to be synergistically combined with a Cpf1 guide RNA system. Further provided is a Cpf1 guide RNA system being flanked by a Hammerhead ribozyme sequence at the 5′ end and by a plant-derived Hepatitis Delta Vims (HDV)-like ribozyme sequence at the 3′ end, or being embedded within a coding or non-coding region, of a sequence encoding a frame sequence. Novel plant-derived HDV-like ribozyme sequences are also provided. Further provided are methods for improved genome editing, and the use of the various systems provided herein to obtain transformed plants, plant cells, tissues, organs, or a progeny thereof, or a plant material, modified in a targeted way even at difficult to access target sites.","AR113728

WO/2019/138052

CN111836825

EP3737691

BR112020014017

CA3088052

US20240409949",,12098374,"C12N 9/22
					






C12N 15/82
					






C12N 2310/20
					








C12N 9/22
					






C12N 15/82
					






C12N 2310/20
					






View less classifications",Troutman Pepper Hamilton Sanders LLP,,,,
US444088085,18813194,United States of America,23.08.2024,20240409949,12.12.2024,A1,"C12N 15/82
					






C12N 9/22
					








C12N 15/82
					






C12N 9/22
					






View less classifications",KWS SAAT SE & Co. KGaA,Aaron HUMMELZarir VAGHCHHIPAWALA,,,(EN) OPTIMIZED PLANT CRISPR/CPF1 SYSTEMS,,"(EN) 
The present invention relates to optimized systems for the genome editing of eukaryotic cells, preferably plant cells. Also provided is a plant delivery system comprising at least one Cpf1 enzyme, or a plant optimized construct encoding the same, to be synergistically combined with a Cpf1 guide RNA system. Further provided is a Cpf1 guide RNA system being flanked by a Hammerhead ribozyme sequence at the 5′ end and by a plant-derived Hepatitis Delta Virus (HDV)-like ribozyme sequence at the 3′ end, or being embedded within a coding or non-coding region, of a sequence encoding a frame sequence. Novel plant-derived HDV-like ribozyme sequences are also provided. Further provided are methods for improved genome editing, and the use of the various systems provided herein to obtain transformed plants, plant cells, tissues, organs, or a progeny thereof, or a plant material, modified in a targeted way even at difficult to access target sites.","AR113728

WO/2019/138052

CN111836825

EP3737691

BR112020014017

US20210163968

CA3088052",,,"C12N 9/22
					






C12N 15/82
					






C12N 2310/20
					








C12N 9/22
					






C12N 15/82
					






C12N 2310/20
					






View less classifications",,,,,
CN220636315,102017000396445,China,31.05.2017,107164402,15.09.2017,B,"C12N 15/82
					






C12N 9/22
					






C12N 15/113
					








C12N 15/82
					






C12N 9/22
					






C12N 15/113
					






View less classifications","WEIMING XINGWANG SYSTEM CROP DESIGN FRONTIER LABORATORY (BEIJING) CO., LTD.未名兴旺系统作物设计前沿实验室（北京）有限公司",LI JIAN李健WANG ZHENG王峥MA LIGENG马力耕DENG XINGWANG邓兴旺,,,(EN) CRISPR-Cas9 system-based gene editing vector and application thereof(ZH) 一种基于CRISPR-Cas9系统的基因编辑载体及其应用,,"(EN) The invention provides a CRISPR-Cas9 system-based genome editing vector and an application thereof, belongs to the field of plant genetic engineering and particularly relates to a CRISPR-Cas9 system-based wheat genome editing vector and an application thereof. A CRISPR-Cas9 transformation vector with higher editing efficiency in wheat is obtained through comparing the gene editing efficiency of the transformation vector of a CRISPR-Cas9 system when adopting different Cas9 promoters, different sgRNA promoters and different sgRNA sequence structures. Through the optimized vector, the gene editing efficiency of the wheat crop by using CRISPR-Cas9 is improved; the problems of low mutation rate of the CRISPR-Cas9 vector in the crops, such as the wheat after transformation and difficulty in obtaining of the CRISPR-Cas9 transgenic mutant strain are solved; the transformation time is shortened; the transformation cost is reduced; a better foundation is laid for popularization and application of a CRISPR-Cas9 gene editing system in the crop.(ZH) 本发明提供了一种基于CRISPR‑Cas9系统的基因组编辑载体及其应用，属于植物基因工程领域，具体涉及一种基于CRISPR‑Cas9系统的小麦基因组编辑载体及其应用。本发明通过比较CRISPR‑Cas9系统的转化载体，采用不同Cas9启动子、不同sgRNA启动子和不同sgRNA序列结构时的基因编辑效率，获得了在小麦中编辑效率更高的CRISPR‑Cas9转化载体。此优化载体显著提高了小麦作物利用CRISPR‑Cas9进行基因编辑的效率，克服了小麦等作物中CRISPR‑Cas9载体转化后突变率低、获得CRISPR‑Cas9转基因突变株系难的问题，节约了转化时间，减少了转化成本，对CRISPR‑Cas9基因编辑系统在作物中的推广应用奠定了更好的基础。",,,107164402,"C12N 9/22
					






C12N 15/113
					






C12N 15/8213
					






C12N 2310/12
					








C12N 9/22
					






C12N 15/113
					






C12N 15/8213
					






C12N 2310/12
					






View less classifications",,,,,
CN350472567,202111283434,China,01.11.2021,113999863,01.02.2022,B,"C12N 15/54
					






C12N 15/84
					






A01H 5/00
					






A01H 6/82
					








C12N 15/54
					






C12N 15/84
					






A01H 5/00
					






A01H 6/82
					






View less classifications",ZHEJIANG UNIVERSITY浙江大学,SHI KAI师恺WANG PING王萍DING SHUTING丁淑婷WANG JIAO王娇YU JINGQUAN喻景权,,,(EN) Method for improving water utilization efficiency of tomato crops(ZH) 一种提高番茄作物水分利用效率的方法,,"(EN) The invention discloses a method for improving the water utilization efficiency of tomato crops, and belongs to the technical field of biology. The method specifically comprises the step of knocking out or silencing an SlALD1 gene in a tomato crop. The tomato Sald1 gene mutant is obtained by utilizing a CRISPR/Cas9 gene editing technology, and the mutant is found to be capable of remarkably improving the water utilization efficiency of plants and enhancing the drought resistance, and can be used for tomato germplasm breeding with high water utilization efficiency.(ZH) 本发明公开了一种提高番茄作物水分利用效率的方法，属于生物技术领域。所述方法具体为将番茄作物中的SlALD1基因敲除或沉默。本发明利用CRISPR/Cas9基因编辑技术获得番茄Slald1基因突变体，发现该突变体能够显著提高植株的水分利用效率，增强对干旱的抗性，可用于高水分利用效率的番茄种质选育。",,,113999863,"C12N 9/1096
					






C12Y 206/01
					






C12N 15/8205
					






C12N 15/8273
					








C12N 9/1096
					






C12Y 206/01
					






C12N 15/8205
					






C12N 15/8273
					






View less classifications",杭州天勤知识产权代理有限公司 33224杭州天勤知识产权代理有限公司 33224,,,,
CN274818238,201780086843,China,20.12.2017,110325644,11.10.2019,A,"C12N 15/82
					






A01H 5/00
					






C12N 5/10
					






A01H 6/82
					








C12N 15/82
					






A01H 5/00
					






C12N 5/10
					






A01H 6/82
					






View less classifications",KWS SAAT SEKWS种子欧洲股份公司,HUMMEL AARONA·赫梅尔BARTLEM DEREK GRAHAMD·G·巴特勒姆,"62/436,792 20.12.2016 US",,"(EN) CONFERRING RESISTANCE TO GEMINIVIRUSES IN PLANTS IN ALTERNATIVE MANNER TO GENE DRIVE, USING CRISPR/CAS SYSTEMS(ZH) 使用CRISPR/CAS系统以可选方式进行基因驱动在植物中赋予对双生病毒的抗性",,"(EN) The present invention provides materials and methods for conferring geminivirus resistance to plants or plant cells, and particularly to materials and methods for using CRISPR/Cas or CRISPR/Cpf1 systems to confer resistance to geminiviruses. Materials and methods are described to insert sequence at a double stranded break in a geminivirus genome.(ZH) 赋予植物或植物细胞双生病毒抗性的材料和方法，特别是使用CRISPR/Cas或CRISPR/Cpf1系统赋予对双生病毒抗性的材料和方法。描述了材料和方法以在双生病毒基因组中的双链断裂处插入序列。","CA3047829

US20190352653

BR112019012839

WO/2018/115202",,,"C12N 15/8213
					






C12N 15/8283
					






C12N 2310/20
					








C12N 15/8213
					






C12N 15/8283
					






C12N 2310/20
					






View less classifications",永新专利商标代理有限公司 72002永新专利商标代理有限公司 72002,,,,
CA248190514,3047829,Canada,20.12.2017,3047829,28.06.2018,A1,"C12N 15/82
					






A01H 5/00
					








C12N 15/82
					






A01H 5/00
					






View less classifications",KWS SAAT SE,"HUMMEL, AARONBARTLEM, DEREK GRAHAM","62/436,792 20.12.2016 US",,"(EN) CONFERRING RESISTANCE TO GEMINIVIRUSES IN PLANTS IN ALTERNATIVE MANNER TO GENE DRIVE, USING CRISPR/CAS SYSTEMS(FR) MOYENS PERMETTANT DE CONFERER UNE RESISTANCE A DES GEMINIVIRUS DANS DES PLANTES DE MANIERE ALTERNATIVE A UNE MANOEUVRE GENIQUE, A L'AIDE DE SYSTEMES CRISPR/CAS",,"(EN) Materials and methods for conferring geminivirus resistance to plants or plant cells, and particularly to materials and methods for using CRISPR/Cas or CRISPR/Cpf1 systems to confer resistance to geminiviruses. Materials and methods are described to insert sequence at a double stranded break in a geminivirus genome.(FR) L'invention concerne des matériels et des procédés permettant de conférer une résistance aux geminivirus à des plantes, et notamment des matériels et des procédés pour utiliser des systèmes CRISPR/Cas ou CRISPR/Cpf1 en vue de conférer une résistance aux geminivirus à des plantes. Des matériels et des procédés sont décrits pour insérer une séquence au niveau d'une cassure double brin dans un génome de géminivirus.","CN110325644

US20190352653

BR112019012839

WO/2018/115202",,,"C12N 15/8213
					






C12N 15/8283
					






C12N 2310/20
					








C12N 15/8213
					






C12N 15/8283
					






C12N 2310/20
					






View less classifications",,,,,
