Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Agents,Title,Abstract,Priority Data,Related Patent Documents,Grant Number,Grant Date,FI,F-term,Designated States
CN305439310,202010513322,China,08.06.2020,111575298,25.08.2020,A,"C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






A01H 5/12
					






A01H 6/46
					








C12N 15/29
					






C07K 14/415
					






C12N 15/82
					






A01H 5/12
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 15/8218
					








C07K 14/415
					






C12N 15/8218
					






View less classifications",HUAIYIN NORMAL UNIVERSITY淮阴师范学院,LIU XI刘喜YI XIN裔新YANG YANRONG杨颜榕HUANG XIANXIAN黄纤纤ZHAO YANAN赵亚男TANG JIAYU汤佳玉,北京汇捷知识产权代理事务所(普通合伙) 11531,"(EN) Rice leaf albino-gene OsHMBPP, protein and application(ZH) 一种水稻叶片白化基因OsHMBPP、蛋白质及应用","(EN) The invention discloses a rice leaf albino-gene OsHMBPP, a protein and application. The nucleotide sequence of the rice leaf albino-gene OsHMBPP is as shown by SEQ ID No:1. The amino acid sequence ofa protein coded by the gene is as shown by SEQ ID No:2. The gene OsHMBPP is directionally expressed in plants so as to control application to leaf chloroplast development. More specifically, the riceleaf albino-gene OsHMBPP is knocked out on the basis of a CRISPR/Cas9 technology, so as to create an albino mutant in the plants. In a crossbreeding process, the rice leaf albino-gene OsHMBPP is introduced into crossing parents to be used as a morphological marker, and the hybrid seed purity can be maintained; a transgenic plant can be obtained by knocking out the albino-gene; and the transgenic plant can be used as a plant ornamental resource to be used for sightseeing agriculture.(ZH) 本发明公开了一种水稻叶片白化基因OsHMBPP、蛋白质及应用。该水稻叶片白化基因OsHMBPP的核苷酸序列如如SEQ ID No：1所示，该基因编码的蛋白质的氨基酸序列如SEQ ID No：2所示。该基因OsHMBPP在植株定向表达以控制叶片叶绿体发育中的应用，更具体的，通过基于CRISPR/Cas9技术敲除该水稻叶片白化基因OsHMBPP以在植株中创制白化突变体。在杂交育种过程种，通过将上述水稻叶片白化基因OsHMBPP导入杂交亲本中作为一种形态学标记，可以保持杂交种的纯度，敲除该白化基因即可获得转基因植株，该转基因植株可以作为植物观赏性资源，用于观光农业。",,,,,,,
CN243491176,201780046647,China,18.10.2017,109819659,28.05.2019,A,"C12N 15/55
					






C12N 15/53
					






C12N 15/29
					






C12N 15/63
					






C12Q 1/6895
					






A01H 5/00
					






View more classifications
							






C12N 15/55
					






C12N 15/53
					






C12N 15/29
					






C12N 15/63
					






C12Q 1/6895
					






A01H 5/00
					






A01H 6/46
					






A01H 6/54
					






A01H 6/14
					






A01H 6/20
					






A01H 6/60
					






View less classifications","C07K 14/415
					






C12N 9/0063
					






C12N 9/16
					






C12N 15/63
					






C12N 15/8261
					






C12N 15/8273
					






View more classifications
							






C07K 14/415
					






C12N 9/0063
					






C12N 9/16
					






C12N 15/63
					






C12N 15/8261
					






C12N 15/8273
					






C12Q 1/6895
					






C12Y 110/03003
					






C12N 2800/80
					






C12Q 2600/13
					






C12Q 2600/156
					






C12N 15/8213
					






C12N 15/8218
					






C12N 15/8271
					






Y02A 40/146
					






C12N 2310/20
					






C12N 9/22
					






C12N 15/11
					






C12Q 1/68
					






View less classifications","SINOBIOWAY BIO AGRICULTURE GROUP CO., LTD.未名生物农业集团有限公司PIONEER OVERSEAS CORP.先锋海外公司",CHEN GUANGWU陈光武DU CHENGFENG杜成凤GAO YANG高阳LI ZANTANG李赞堂LU GUIHUA吕贵华MAO GUANFAN毛冠凡WANG CHANGGUI王昌贵WANG GUOKUI王国奎,永新专利商标代理有限公司 72002永新专利商标代理有限公司 72002,(EN) CONSTRUCTS AND METHODS TO IMPROVE ABIOTIC STRESS TOLERANT IN PLANTS(ZH) 提高植物非生物胁迫耐性的构建体和方法,"(EN) Isolated polynucleotides and polypeptides, and recombinant DNA constructs, suppression DNA constructs and CRISPR/Cas9 DNA constructs are provided. Compositions (such as plants or seeds) with modifiedexpression or activity of the isolated polypeptides are obtained by transforming the regenerable plant cell with a suppression DNA construct or CRISPR/Cas construct. The plants with improving droughttolerance are obtained by decreasing the expression or activity of the isolated polynucleotide.(ZH) 本发明公开了分离的多核苷酸和多肽，重组DNA构建体、抑制DNA构建体和CRISPR/Cas9构建体，和使用抑制DNA构建体或CRISPR/Cas9构建体转化可再生植物细胞获得的组合物如植物或种子，所述植物或者种子中分离的多核苷酸的表达或活性发生变化。通过减少分离的多核苷酸的表达或活性获得耐旱性增加的植物。",201610909055.3 19.10.2016 CN,"CN107974459

US20190292557

WO/2018/072706",,,,,
CN429525058,202410110575,China,26.01.2024,118028361,14.05.2024,B,"C12N 15/84
					






C12N 15/113
					






C12Q 1/6895
					






C12Q 1/6858
					






C12N 15/11
					






A01H 5/00
					






View more classifications
							






C12N 15/84
					






C12N 15/113
					






C12Q 1/6895
					






C12Q 1/6858
					






C12N 15/11
					






A01H 5/00
					






A01H 6/54
					






View less classifications","C12N 15/8273
					






C12N 15/8261
					






C12N 15/113
					






C12Q 1/6895
					






C12Q 1/6858
					






C12Q 2600/178
					






View more classifications
							






C12N 15/8273
					






C12N 15/8261
					






C12N 15/113
					






C12Q 1/6895
					






C12Q 1/6858
					






C12Q 2600/178
					






C12Q 2600/158
					






C12Q 2600/166
					






C12Q 2600/156
					






C12N 2310/20
					






View less classifications","INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院作物科学研究所ORDOS AGRICULTURE AND ANIMAL HUSBANDRY ECOLOGICAL AND RESOURCE PROTECTION CENTER (ORDOS CITY CULTIVATED MONITORING AND PROTECTION CENTER)鄂尔多斯市农牧业生态与资源保护中心（鄂尔多斯市耕地质量监测保护中心）",JIANG QIYAN姜奇彦JIANG XUEMIN姜雪敏HU ZHENG胡正SUN XIANJUN孙现军ZHANG HUI张辉WANG SHIJIA王世佳WANG WEINI王伟妮ZHANG HAOQIANG张豪强MI XINYUAN糜欣苑,北京和信华成知识产权代理事务所(普通合伙) 11390,(EN) Application of Gma-miR396c gene editing in improvement of soybean salt tolerance and yield(ZH) Gma-miR396c基因编辑提高大豆耐盐能力及产量中的应用,"(EN) The invention discloses an application of a Gma-MIR396c gene in improvement of soybean salt tolerance/yield, a gma-MIR396c edited (MIR396c-GE) transgenic soybean is created through gene editing, through miR396c precursor overexpression (pre-miR396c-OE) and gma-MIR396c edited (MIR396c-GE) based on a CRISPR-Cas9 technology, the influence on growth and development and salt stress response of the transgenic soybean is analyzed, and the application of the Gma-MIR396c gene in improvement of soybean salt tolerance/yield is realized. The plant height, the stem diameter, the dry weight of the overground part, the pod number, the grain number, the single-row yield and the hundred-grain weight of the MIR396c-GE are obviously increased, and the salt tolerance is improved; however, compared with pre-miR396c-OE, the pre-miR396c-OE has the advantages that the plant height, the stem diameter, the dry weight of the overground part, the pod number and the grain number are reduced, the single-row yield and the hundred-grain weight are reduced, and the salt tolerance is reduced.(ZH) 本发明公开了Gma‑MIR396c基因在提高大豆耐盐能力及产量中的应用，通过基因编辑，创制了gma‑MIR396c编辑(MIR396c‑GE)转基因大豆，本发明通过miR396c前体过表达(pre‑miR396c‑OE)和基于CRISPR‑Cas9技术的gma‑MIR396c编辑(MIR396c‑GE)，分析对转基因大豆生长发育及盐胁迫响应的影响，发现MIR396c‑GE的株高、茎粗、地上部干重、荚数、粒数、单行产量、百粒重显著增加，耐盐能力提高；而pre‑miR396c‑OE与之相反，其株高、茎粗、地上部干重、荚数、粒数减少，单行产量、百粒重降低，耐盐能力降低。",,,118028361,28.01.2025,,,
CN217693414,201610909055,China,19.10.2016,107974459,01.05.2018,B,"C12N 15/55
					






C12N 15/53
					






C12N 15/29
					






C12N 15/82
					






C12Q 1/6895
					






A01H 5/10
					






View more classifications
							






C12N 15/55
					






C12N 15/53
					






C12N 15/29
					






C12N 15/82
					






C12Q 1/6895
					






A01H 5/10
					






A01H 6/46
					






View less classifications","C07K 14/415
					






C12N 9/0063
					






C12N 9/16
					






C12N 15/63
					






C12N 15/8261
					






C12N 15/8273
					






View more classifications
							






C07K 14/415
					






C12N 9/0063
					






C12N 9/16
					






C12N 15/63
					






C12N 15/8261
					






C12N 15/8273
					






C12Q 1/6895
					






C12Y 110/03003
					






C12N 2800/80
					






C12Q 2600/13
					






C12Q 2600/156
					






C12N 15/8213
					






C12N 15/8218
					






C12N 15/8271
					






Y02A 40/146
					






C12N 2310/20
					






C12N 9/22
					






C12N 15/11
					






C12Q 1/68
					






View less classifications",SINOBIOWAY BIO-AGRICULTURE GROUP CO. LTD.未名生物农业集团有限公司PIONEER OVERSEAS CORPORATION先锋海外公司,CHANGGUI WANG陈光武GUANFAN MAO杜成凤GUANGWU CHEN高阳ZANTANG LI李赞堂GUIHUA LU吕贵华GUOKUI WANG毛冠凡YANG GAO王昌贵CHENGFENG DU王国奎,永新专利商标代理有限公司 72002永新专利商标代理有限公司 72002,(EN) Construction body and method for improving abiotic stress tolerance of plants(ZH) 提高植物非生物胁迫耐性的构建体和方法,"(EN) The present invention discloses an isolated polynucleotide, a polypeptide, a recombinant DNA construction body, a DNA inhibition construction body, a CRISPR/Cas9 construction body, and a composition such as a plant or seed, wherein the composition is obtained by transforming the DNA inhibition construction body or the CRISPR/Cas9 construction body into a regenerable plant cell, and the expressionor the activity of the isolated polynucleotide in the plant or the seed is changed. According to the present invention, the plant with the improved drought tolerance is obtained by reducing the expression or the activity of the isolated polynucleotide.(ZH) 本发明公开了分离的多核苷酸和多肽，重组DNA构建体、抑制DNA构建体和CRISPR/Cas9构建体，和使用抑制DNA构建体或CRISPR/Cas9构建体转化可再生植物细胞获得的组合物如植物或种子，所述植物或者种子中分离的多核苷酸的表达或活性发生变化。通过减少分离的多核苷酸的表达或活性获得耐旱性增加的植物。",,"CN109819659

US20190292557

WO/2018/072706",107974459,07.03.2023,,,
,,,,,,,,,,,,,,,,,,,,
CA240385129,3037560,Canada,10.10.2017,3037560,19.04.2018,A1,"A01H 1/04
					






C12N 15/82
					






C12Q 1/68
					








A01H 1/04
					






C12N 15/82
					






C12Q 1/68
					






View less classifications","C12N 15/8279
					






C12N 15/82
					






C12N 15/8213
					






C12N 15/8282
					








C12N 15/8279
					






C12N 15/82
					






C12N 15/8213
					






C12N 15/8282
					






View less classifications","PIONEER HI-BRED INTERNATIONAL, INC.","GAO, HUIRONGLI, BAILINMEELEY, ROBERT B.PERUGINI, LEANDRO DANIELTABOR, GIRMA M.",,(EN) GENERATING NORTHERN LEAF BLIGHT RESISTANT MAIZE(FR) GENERATION DE MAIS RESISTANT A L'HELMINTHOSPORIOSE DU NORD,"(EN) Compositions and methods for obtaining plant cells with modified Ht1 nucleotide sequences, modified NLB18 sequences, or both, are provided herein. The methods involve introducing double-strand breaks into the maize genome in an endogenous Ht1 encoding sequence, an endogenous NLB18 encoding sequence, or both, to modify the genomic sequence in order to enhance northern leaf blight resistance of a plant produced from the plant cell. Further provided are methods that introduce resistant alleles of Ht1 and/or NLB18 into specific sites in the genome. Plants produced by the plant cells, and seeds produced from the plants are also included. Guide polynucleotides are also provided for the use of the CRISPR-Cas system in inducing double strand breaks.(FR) L'invention concerne des compositions et des procédés permettant d'obtenir des cellules végétales à séquences nucléotidiques Ht1 modifiées et/ou à séquences NLB18 modifiées. Les procédés consistent à introduire des cassures double brin dans le génome du maïs dans une séquence de codage Ht1 endogène et/ou dans une séquence de codage NLB18 endogène, en vue de modifier la séquence génomique de sorte à améliorer la résistance à l'helminthosporiose du Nord d'une plante produite à partir de la cellule végétale. L'invention concerne en outre des procédés qui introduisent des allèles résistants de Ht1 et/ou de NLB18 dans des sites spécifiques dans le génome. L'invention concerne également des plantes produites à l'aide des cellules végétales et des graines produites à partir des plantes. L'invention concerne aussi des polynucléotides de guidage destinés à l'utilisation du système CRISPR-Cas dans l'induction de cassures double brin.","62/407,867 13.10.2016 US","US3416802

CN109844121

BR112019007327

EP3525578

EA201990924

WO/2018/071362

US20220275392

EA202292659

EP4242330

AR109941

UAa201904883This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN201917018418",,,,,
CN243759717,201780063266,China,10.10.2017,109844121,04.06.2019,A,"C12N 15/82
					






C12N 15/113
					






A01H 5/00
					






A01H 6/46
					








C12N 15/82
					






C12N 15/113
					






A01H 5/00
					






A01H 6/46
					






View less classifications","C12N 15/8279
					






C12N 15/82
					






C12N 15/8213
					






C12N 15/8282
					








C12N 15/8279
					






C12N 15/82
					






C12N 15/8213
					






C12N 15/8282
					






View less classifications","PIONEER HI-BRED INTERNATIONAL, INC.先锋国际良种公司",GAO HUIRONG郜会荣LI BAILIN李柏林MEELEY ROBERT BR.B.米利PERUGINI LEANDRO DANIELL.D.佩鲁吉尼TABOR GIRMA MG.M.塔波尔,中国专利代理(香港)有限公司 72001中国专利代理(香港)有限公司 72001,(EN) GENERATING NORTHERN LEAF BLIGHT RESISTANT MAIZE(ZH) 产生北方叶枯病抗性玉蜀黍,"(EN) Compositions and methods for obtaining plant cells with modified Ht1 nucleotide sequences, modified NLB18 sequences, or both, are provided herein. The methods involve introducing double-strand breaksinto the maize genome in an endogenous Ht1 encoding sequence, an endogenous NLB18 encoding sequence, or both, to modify the genomic sequence in order to enhance northern leaf blight resistance of a plant produced from the plant cell. Further provided are methods that introduce resistant alleles of Ht1 and/or NLB18 into specific sites in the genome. Plants produced by the plant cells, and seeds produced from the plants are also included. Guide polynucleotides are also provided for the use of the CRISPR-Cas system in inducing double strand breaks.(ZH) 本文提供了用于获得具有经修饰的Ht1核苷酸序列、经修饰的NLB18序列或两者的植物细胞的组合物和方法。所述方法涉及在内源Ht1编码序列、内源NLB18编码序列或两者中将双链断裂引玉蜀黍基因组中，以修饰基因组序列，从而增强从植物细胞产生的植物的北方叶枯病抗性。进一步提供了将Ht1和/或NLB18的抗性等位基因引入基因组中的特定位点的方法。还包括由植物细胞产生的植物和由植物产生的种子。为了在双链断裂诱导中使用CRISPR‑Cas系统，还提供了指导多核苷酸。",62/407867 13.10.2016 US,"US3416802

CA3037560

BR112019007327

EP3525578

EA201990924

WO/2018/071362

US20220275392

EA202292659

EP4242330

AR109941

UAa201904883This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN201917018418",,,,,
EP250873369,17787833,European Patent Office,10.10.2017,3525578,21.08.2019,A1,"A01H 1/04
					






C12N 15/82
					






C12Q 1/68
					








A01H 1/04
					






C12N 15/82
					






C12Q 1/68
					






View less classifications","C12N 15/8279
					






C12N 15/82
					






C12N 15/8213
					






C12N 15/8282
					








C12N 15/8279
					






C12N 15/82
					






C12N 15/8213
					






C12N 15/8282
					






View less classifications",PIONEER HI BRED INT,GAO HUIRONGLI BAILINMEELEY ROBERT BPERUGINI LEANDRO DANIELTABOR GIRMA M,,(DE) ERZEUGUNG VON GEGEN NÖRDLICHER BLATTFLECKENKRANKHEIT RESISTENTEM MAIS(EN) GENERATING NORTHERN LEAF BLIGHT RESISTANT MAIZE(FR) GÉNÉRATION DE MAÏS RÉSISTANT À L'HELMINTHOSPORIOSE DU NORD,"(EN) Compositions and methods for obtaining plant cells with modified Ht1 nucleotide sequences, modified NLB18 sequences, or both, are provided herein. The methods involve introducing double-strand breaks into the maize genome in an endogenous Ht1 encoding sequence, an endogenous NLB18 encoding sequence, or both, to modify the genomic sequence in order to enhance northern leaf blight resistance of a plant produced from the plant cell. Further provided are methods that introduce resistant alleles of Ht1 and/or NLB18 into specific sites in the genome. Plants produced by the plant cells, and seeds produced from the plants are also included. Guide polynucleotides are also provided for the use of the CRISPR-Cas system in inducing double strand breaks.(FR) L'invention concerne des compositions et des procédés permettant d'obtenir des cellules végétales à séquences nucléotidiques Ht1 modifiées et/ou à séquences NLB18 modifiées. Les procédés consistent à introduire des cassures double brin dans le génome du maïs dans une séquence de codage Ht1 endogène et/ou dans une séquence de codage NLB18 endogène, en vue de modifier la séquence génomique de sorte à améliorer la résistance à l'helminthosporiose du Nord d'une plante produite à partir de la cellule végétale. L'invention concerne en outre des procédés qui introduisent des allèles résistants de Ht1 et/ou de NLB18 dans des sites spécifiques dans le génome. L'invention concerne également des plantes produites à l'aide des cellules végétales et des graines produites à partir des plantes. L'invention concerne aussi des polynucléotides de guidage destinés à l'utilisation du système CRISPR-Cas dans l'induction de cassures double brin.",201662407867 13.10.2016 US,"US3416802

CA3037560

CN109844121

BR112019007327

EA201990924

WO/2018/071362

US20220275392

EA202292659

EP4242330

AR109941

UAa201904883This application is not viewable in PATENTSCOPE because the national phase entry has not been published yet or the national entry is issued from a country that does not share data with WIPO or there is a formatting issue or an unavailability of the application.

IN201917018418",,,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all"
EP309786257,18891268,European Patent Office,21.12.2018,3728600,28.10.2020,A4,"C12N 15/63
					






C12N 15/82
					








C12N 15/63
					






C12N 15/82
					






View less classifications","C12N 15/902
					






C12N 15/8216
					






C12N 9/22
					






C12N 15/8213
					






C07K 2319/09
					






C12N 2310/20
					






View more classifications
							






C12N 15/902
					






C12N 15/8216
					






C12N 9/22
					






C12N 15/8213
					






C07K 2319/09
					






C12N 2310/20
					






C12N 9/78
					






C12N 15/11
					






C12N 2800/80
					






C12Y 305/04002
					






View less classifications",INST GENETICS & DEVELOPMENTAL BIOLOGY CAS,GAO CAIXIALI CHAOZONG YUANWANG YANPENG,,(DE) VERFAHREN ZUR BASENEDITIERUNG BEI PFLANZEN(EN) METHOD FOR BASE EDITING IN PLANTS(FR) PROCÉDÉ D'ÉDITION DE BASES CHEZ LES PLANTES,"(EN) Provided relates to the field of genetic engineering. In particular, a method for base editing in plant is provided. More specifically, a highly efficient A to G base editing method for a target sequence in a genome of a plant (e.g., a crop plant) by a guide RNA-directed CRISPR-adenine deaminase fusion protein and the plant and their progeny produced by the method are provided.(FR) L'invention concerne le domaine du génie génétique. En particulier, l'invention concerne un procédé d'édition de bases chez la plante. Plus particulièrement, l'invention concerne un procédé hautement efficace d'édition de bases A à G pour une séquence cible dans un génome d'une plante (par exemple, une plante cultivée) par l'intermédiaire d'une protéine de fusion CRISPR-adénine désaminase dirigée par l'ARN guide et la plante ainsi que sa descendance produite au moyen du procédé.",201711393160 21.12.2017 CN201810402244 28.04.2018 CN,"CN110157727

WO/2019/120283

US20200340002

BR112020010594

CA3091157",,,,,"View all
							



AL, AT, BA, BE, BG, CH, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IS, IT, LI, LT, LU, LV, MC, ME, MK, MT, NL, NO, PL, PT, RO, RS, SE, SI, SK, SM, TR
				

Hide all"
CA305248936,3091157,Canada,,3091157,27.06.2019,A1,"C12N 15/63
					






C12N 15/82
					








C12N 15/63
					






C12N 15/82
					






View less classifications","C12N 15/902
					






C12N 15/8216
					






C12N 9/22
					






C12N 15/8213
					






C07K 2319/09
					






C12N 2310/20
					






View more classifications
							






C12N 15/902
					






C12N 15/8216
					






C12N 9/22
					






C12N 15/8213
					






C07K 2319/09
					






C12N 2310/20
					






C12N 9/78
					






C12N 15/11
					






C12N 2800/80
					






C12Y 305/04002
					






View less classifications","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY, CHINESE ACADEMY OF SCIENCES","GAO, CAIXIALI, CHAOZONG, YUANWANG, YANPENG",,(EN) METHOD FOR BASE EDITING IN PLANTS(FR) PROCEDE D'EDITION DE BASES CHEZ LES PLANTES,"(EN) Provided relates to the field of genetic engineering. In particular, a method for base editing in plant is provided. More specifically, a highly efficient A to G base editing method for a target sequence in a genome of a plant (e.g., a crop plant) by a guide RNA-directed CRISPR-adenine deaminase fusion protein and the plant and their progeny produced by the method are provided.(FR) L'invention concerne le domaine du génie génétique. En particulier, l'invention concerne un procédé d'édition de bases chez la plante. Plus particulièrement, l'invention concerne un procédé hautement efficace d'édition de bases A à G pour une séquence cible dans un génome d'une plante (par exemple, une plante cultivée) par l'intermédiaire d'une protéine de fusion CRISPR-adénine désaminase dirigée par l'ARN guide et la plante ainsi que sa descendance produite au moyen du procédé.",201711393160.7 21.12.2017 CN201810402244.0 28.04.2018 CN,"CN110157727

WO/2019/120283

US20200340002

EP3728600

BR112020010594",,,,,
