Application Id,Application Number,Office,Application Date,Publication Number,Publication Date,Publication Kind,IPC,CPC,Applicants,Inventors,Agents,Title,Abstract,Priority Data,Related Patent Documents,Grant Number,Grant Date,,,,,,
CN394136642,202211028651,China,25.08.2022,115772529,10.03.2023,A,"C12N 15/57
					






C12N 15/82
					






A01H 5/00
					






A01H 6/20
					








C12N 15/57
					






C12N 15/82
					






A01H 5/00
					






A01H 6/20
					






View less classifications",,HENAN AGRICULTURAL UNIVERSITY河南农业大学,CUI XIAONA崔晓娜ZHANG HAIRONG张海荣CAO YUANYUAN曹园园ZHOU SHUHAO周舒浩LI ZIWEN李子文,郑州盈派知识产权代理事务所(普通合伙) 41196郑州盈派知识产权代理事务所(普通合伙) 41196,(EN) Application of ESD4 gene in plant salt stress resistance regulation and control(ZH) ESD4基因在植物盐胁迫抗性调控中的应用,"(EN) The invention discloses an application of an ESD4 gene in plant salt stress resistance regulation and control, and aims to solve the technical problem that the current plant salt tolerance improvement and salt-tolerant plant variety breeding are lack of effective technical means. Researches find that the tolerance of plants to salt stress can be increased by function deficiency or low expression of ESD4; and by identifying the arabidopsis thaliana ESD4 function deletion point mutant, the salt stress resistance of the mutant is obviously improved compared with that of a wild type. The ESD4 gene is knocked out or the expression of the ESD4 gene is reduced through the CRISPR-Cas9 technology, a non-transgenic editing mutant without insertion of an exogenous transformation vector can be obtained, and popularization and application in crops are facilitated.(ZH) 本申请公开了一种ESD4基因在植物盐胁迫抗性调控中的应用，旨在解决当前植物耐盐性提高及耐盐植物品种选育缺乏有效技术手段的技术问题。本申请研究发现ESD4的功能缺失或低表达能够增加植物对盐胁迫的耐受；并通过鉴定拟南芥ESD4功能缺失点突变体，发现突变体与野生型相比对盐胁迫的抗性明显提高。通过CRISPR‑Cas9技术对ESD4基因进行敲除或降低其表达的编辑，能获得没有外源转化载体插入的非转基因编辑突变体，更利于在作物中推广应用。",,,,,,,,,,
NZ316825294,751586,New Zealand,14.03.2014,751586,29.03.2019,A,"A01H 1/06
					






C12N 5/00
					






C12N 15/00
					






C12N 15/82
					








A01H 1/06
					






C12N 5/00
					






C12N 15/00
					






C12N 15/82
					






View less classifications",,CIBUS US LLCCIBUS EUROPE B.V.,"SCHOPKE, ChristianSAUER, Noel, JoyPEARCE, JamesSEGAMI, Rosa, E.MOZORUK, JerryGOCAL, Gregory, F.w.BEETHAM, Peter, R.",Wrays Pty Ltd,(EN) Methods and Compositions for Increasing Efficiency of Increased Efficiency of Targeted Gene Modification Using Oligonucleotide-Mediated Gene Repair,"(EN) The invention provides to improved methods for the modification of genes in plant cells, and plants and seeds derived therefrom. More specifically, the invention relates to the increased efficiency of targeted gene mutation by combining gene repair oligonucleotides with approaches that enhance the availability of components of the target cell gene repair mechanisms. These approaches include combination with site-specific endonucleases including TALENs, ZFNs, CRISPR which induce single or double strand breaks in the vicinity of the target DNA sequence.","61/801,320 15.03.2013 US","JP2016516408

BRUS2014029621

RS63188

PL2966984

PT2966984

LT2966984

ES2912400

DK2966984

NZ751592

WO/2014/144987

CA2905135

BR112015022848

VN47385

MYPI 2015703120

AU2014233465

US20160304892

EA201591447

CN105338805

EP2966984

KR1020150132202

NZ711146

IL241145

CL2015002650

IN2855/MUMNP/2015

AU2020220059

US20230141977",,,,,,,,
NZ316825299,751592,New Zealand,14.03.2014,751592,29.03.2019,A,"A01H 1/06
					






C12N 5/00
					






C12N 15/00
					






C12N 15/82
					








A01H 1/06
					






C12N 5/00
					






C12N 15/00
					






C12N 15/82
					






View less classifications",,CIBUS US LLCCIBUS EUROPE B.V.,"SCHOPKE, ChristianSAUER, Noel, JoyPEARCE, JamesSEGAMI, Rosa, E.MOZORUK, JerryGOCAL, Gregory, F.w.BEETHAM, Peter, R.",Wrays Pty Ltd,(EN) Methods and Compositions for Increasing Efficiency of Increased Efficiency of Targeted Gene Modification using Oligonucleotide-Mediated Gene Repair,"(EN) The invention provides to improved methods for the modification of genes in plant cells, and plants and seeds derived therefrom. More specifically, the invention relates to the increased efficiency of targeted gene mutation by combining gene repair oligonucleotides with approaches that enhance the availability of components of the target cell gene repair mechanisms. These approaches include combination with site-specific endonucleases including TALENs, ZFNs, CRISPR which induce single or double strand breaks in the vicinity of the target DNA sequence.","61/801,320 15.03.2013 US","JP2016516408

BRUS2014029621

RS63188

PL2966984

PT2966984

LT2966984

ES2912400

DK2966984

NZ751586

WO/2014/144987

CA2905135

BR112015022848

VN47385

MYPI 2015703120

AU2014233465

US20160304892

EA201591447

CN105338805

EP2966984

KR1020150132202

NZ711146

IL241145

CL2015002650

IN2855/MUMNP/2015

AU2020220059

US20230141977",,,,,,,,
RU425456481,2022123793,Russian Federation,07.09.2022,2824558,07.03.2024,C2,"C12N 15/82
					






C12N 15/05
					






C12N 9/22
					






A01H 6/82
					






C12N 15/11
					






C12N 15/90
					








C12N 15/82
					






C12N 15/05
					






C12N 9/22
					






A01H 6/82
					






C12N 15/11
					






C12N 15/90
					






View less classifications",,"Федеральное государственное бюджетное научное учреждение ""Всероссийский научно-исследовательский институт сельскохозяйственной биотехнологии"" (ФГБНУ ВНИИСБ) (RU)",Дивашук Михаил Георгиевич (RU)Злобин Николай Евгеньевич (RU)Иванова Любовь Александровна (RU)Карлов Геннадий Ильич (RU)Комахин Роман Александрович (RU)Коновалова Людмила Николаевна (RU)Лебедева Марина Валерьевна (RU)Самарина Мария Алексеевна (RU)Таранов Василий Васильевич (RU)Divashuk Mikhail Georgievich (RU)Zlobin Nikolaj Evgenevich (RU)Ivanova Lyubov Aleksandrovna (RU)Karlov Gennadij Ilich (RU)Komakhin Roman Aleksandrovich (RU)Konovalova Lyudmila Nikolaevna (RU)Lebedeva Marina Valerevna (RU)Samarina Mariya Alekseevna (RU)Taranov Vasilij Vasilevich (RU),,(EN) METHOD OF OBTAINING POTATO PLANT WITH BIALLELIC MUTATIONS IN EDR1 GENE ENCODING REGION USING CRISPR/Cas9 PLANT GENOME EDITING METHOD(RU) СПОСОБ ПОЛУЧЕНИЯ РАСТЕНИЯ КАРТОФЕЛЯ С БИАЛЛЕЛЬНЫМИ МУТАЦИЯМИ В КОДИРУЮЩЕЙ ОБЛАСТИ ГЕНА EDR1 ПРИ ПОМОЩИ ТЕХНОЛОГИИ РЕДАКТИРОВАНИЯ ГЕНОМА РАСТЕНИЙ CRISPR/CAS9,"(EN) FIELD: biotechnology.
SUBSTANCE: invention relates to a method of obtaining a potato plant with biallelic mutations in the coding region of EDR1 gene using CRISPR/Cas9 plant genome editing technology. The method involves obtaining a construct pKSE401-EDR1-1-2-1 containing the nucleotide sequence of an RNA conductor, transferring this construct into potato cells using Agrobacterium tumefaciens to introduce mutations in the coding region of the EDR1 gene, and selecting regenerative plants with biallelic mutations in the coding region of EDR1 gene.
EFFECT: invention is effective for producing potato plants using the above method.
2 cl, 3 dwg, 1 ex(RU) Изобретение относится к области биотехнологии, а именно к способу получения растения картофеля с биаллельными мутациями в кодирующей области гена EDR1 при помощи технологии редактирования генома растений CRISPR/Cas9. Способ предусматривает получение конструкции pKSE401-sgRNA 1-2-1, содержащей нуклеотидную последовательность РНК-проводника, перенесение этой конструкции в клетки картофеля с помощью бактерии Agrobacterium tumefaciens для внесения мутаций в кодирующую область гена EDR1 и отбор растений-регенерантов с биаллельными мутациями в кодирующей области гена EDR1. Изобретение эффективно для получения растения картофеля при помощи вышеуказанного способа. 2 н.п. ф-лы, 3 ил., 1 пр.",,12.08.2024,,,,,,,,
CN426585142,202311744435,China,18.12.2023,117721142,19.03.2024,A,"C12N 15/82
					






C12N 15/54
					






A01H 5/00
					






A01H 5/10
					






A01H 6/46
					








C12N 15/82
					






C12N 15/54
					






A01H 5/00
					






A01H 5/10
					






A01H 6/46
					






View less classifications",,YUXI NORMAL UNIVERSITY玉溪师范学院,LOU DENGJI娄灯吉YANG XIAOYAN杨晓艳CHEN ZHEN陈祯LIN YI林怡DENG YUQI邓宇琦LIN RONGBIN林榕彬,昆明明润知识产权代理事务所(普通合伙) 53215,(EN) Application of rice protein kinase OsSAPK5 in improving salt resistance of rice(ZH) 水稻蛋白激酶OsSAPK5在提高水稻抗盐能力中的应用,"(EN) The invention discloses application of a rice protein kinase gene OsSAPK5 in improvement of salt resistance of rice, the OsSAPK5 gene is cloned from rice leaves, a subcellular localization expression vector is constructed for gene subcellular localization, sapk5 mutants S5-1 and S5-2 are constructed by using a CRISPR/Cas9 technology, the function of the OsSAPK5 gene is further researched, and the application of the OsSAPK5 gene in improvement of salt resistance of rice is further researched. The seed germination tolerance of the sapk5 mutant plant under salt stress is obviously lower than that of a control plant, and the salt stress tolerance of a seedling is obviously lower than that of the control plant; further research finds that the OsSAPK5 can improve the salt stress resistance of the rice by increasing accumulation of osmotic regulation substances such as proline and soluble sugar and improving the activity or content of antioxidant enzyme under salt stress of the rice; the invention provides a potential candidate gene for research on cultivation of salt-tolerant crops.(ZH) 本发明公开了水稻蛋白激酶基因OsSAPK5在提高水稻抗盐能力中的应用，通过从水稻叶片中克隆到OsSAPK5基因，构建亚细胞定位表达载体进行基因亚细胞定位，利用CRISPR/Cas9技术构建了sapk5突变体S5‑1和S5‑2，进一步探究了OsSAPK5基因的功能，发现盐胁迫下sapk5突变体植株种子萌发的耐性明显低于对照植株，幼苗的盐胁迫耐受性明显低于对照植株；进一步研究发现，OsSAPK5可以通过增加渗透调节物质如脯氨酸和可溶性糖等的积累，并提高水稻盐胁迫下的抗氧化酶的活性或者含量，提高水稻抗盐胁迫能力；本发明为培育耐盐性作物研究提供了潜在候选基因。",,,,,,,,,,
RU425456485,2022123799,Russian Federation,07.09.2022,2817374,07.03.2024,C2,"C12N 15/82
					






C12N 15/90
					






C12N 15/11
					






C12N 15/05
					






C12N 9/22
					






A01H 6/82
					








C12N 15/82
					






C12N 15/90
					






C12N 15/11
					






C12N 15/05
					






C12N 9/22
					






A01H 6/82
					






View less classifications",,"Федеральное государственное бюджетное научное учреждение ""Всероссийский научно-исследовательский институт сельскохозяйственной биотехнологии"" (ФГБНУ ВНИИСБ) (RU)",Дивашук Михаил Георгиевич (RU)Злобин Николай Евгеньевич (RU)Иванова Любовь Александровна (RU)Комахин Роман Александрович (RU)Коновалова Людмила Николаевна (RU)Крупина Александра Юрьевна (RU)Лебедева Марина Валерьевна (RU)Самарина Мария Алексеевна (RU)Таранов Василий Васильевич (RU)Divashuk Mikhail Georgievich (RU)Zlobin Nikolaj Evgenevich (RU)Ivanova Lyubov Aleksandrovna (RU)Komakhin Roman Aleksandrovich (RU)Konovalova Lyudmila Nikolaevna (RU)Krupina Aleksandra Yurevna (RU)Lebedeva Marina Valerevna (RU)Samarina Mariya Alekseevna (RU)Taranov Vasilij Vasilevich (RU),,(EN) METHOD OF OBTAINING POTATO PLANT WITH BIALLELIC MUTATIONS IN EDR1 GENE ENCODING REGION USING CRISPR/CAS9 PLANT GENOME EDITING METHOD(RU) СПОСОБ ПОЛУЧЕНИЯ РАСТЕНИЯ КАРТОФЕЛЯ С ТРИАЛЛЕЛЬНЫМИ МУТАЦИЯМИ В КОДИРУЮЩЕЙ ОБЛАСТИ ГЕНА EDR1 ПРИ ПОМОЩИ ТЕХНОЛОГИИ РЕДАКТИРОВАНИЯ ГЕНОМА РАСТЕНИЙ CRISPR/CAS9,"(EN) FIELD: biotechnology.
SUBSTANCE: invention relates to a method of obtaining a potato plant with tetraallelic mutations in the coding region of EDR1 gene using CRISPR/Cas9 plant genome editing technology. The method involves obtaining a construct pKSE401-EDR1-1-2-1 containing the nucleotide sequence of an RNA conductor, transferring this construct into potato cells using Agrobacterium tumefaciens to introduce mutations in the coding region of the EDR1 gene, and selecting regenerative plants with tetraallelic mutations in the coding region of EDR1 gene.
EFFECT: invention is effective for producing potato plants using the above method.
2 cl, 4 dwg, 1 ex(RU) Изобретение относится к области биотехнологии, а именно к способу получения растения картофеля с триаллельными мутациями в кодирующей области гена EDR1 при помощи технологии редактирования генома растений CRISPR/Cas9. Способ предусматривает получение конструкции pKSE401-sgRNA 1-2-1, содержащей нуклеотидную последовательность РНК-проводника, перенесение этой конструкции в клетки картофеля с помощью бактерии Agrobacterium tumefaciens для внесения мутаций в кодирующую область гена EDR1 и отбор растений-регенерантов с триаллельными мутациями в кодирующей области гена EDRI. Изобретение эффективно для получения растения картофеля при помощи вышеуказанного способа. 2 н.п. ф-лы, 4 ил., 1 пр.",,15.04.2024,,,,,,,,
CN242182136,201811443997,China,29.11.2018,109706149,03.05.2019,B,"C12N 15/113
					






C12Q 1/6806
					








C12N 15/113
					






C12Q 1/6806
					






View less classifications",,HUAZHONG AGRICULTURAL UNIVERSITY华中农业大学,XIE KABIN谢卡斌SONG LUYANG宋露洋,北京高沃律师事务所 11569,(EN) Improved 16S-seq method and application thereof(ZH) 一种改进的16S-seq方法及其应用,"(EN) The invention relates to methods for performing specific shearing on plant rRNA sequences by using clustered regularly interspaced short palindromic repeats/Cas9 (CRISPR/Cas9) systems, and belongs tothe technical field of analysis of microbial components affiliated to plants. The invention especially provides a gRNA spacer sequence used for performing specific shearing on rice rRNA sequence by utilizing a CRISPR/Cas9 system, wherein the nucleotide sequence of th gRNA spacer is as shown in any one of SEQ ID NO. 1-16. gRNA sequence formed by the specific gRNA spacer sequence provided by the invention can guide Cas9 to achieve specific cutting on rice rRNA sequences in a 16S-seq sequencing library, thereby realizing enrichment of microbial rRNA sequences in the 16S-seq sequencing library. Thus, a foundation for studying plant affiliated microbiomes by carrying out analysis by utilizing the improved 16S-seq technology is laid by the invention.(ZH) 本发明涉及利用CRISPR/Cas9系统特异性剪切植物rRNA序列的方法，属于植物附属微生物组分析技术领域。本发明提供了利用CRISPR/Cas9系统特异性剪切水稻rRNA序列的gRNA spacer序列，所述gRNA spacer的核苷酸序列如SEQ ID NO.1～16任意一条序列所示。本发明提供的特异性gRNA spacer序列形成的gRNA序列能够引导Cas9实现16S‑seq测序文库中水稻rRNA序列的特异性切割，实现16S‑seq测序文库中微生物rRNA序列的富集。本发明为利用这种改进的16S‑seq技术分析植物附属微生物组的研究奠定了基础。",,,109706149,18.12.2020,,,,,,
IN349444033,202041031656,India,24.07.2020,202041031656,28.01.2022,A,"C12N
					






A61K
					






C07K
					








C12N
					






A61K
					






C07K
					






View less classifications",,Avesthagen Limited,Dr. Villoo Morawala Patell,,"(EN) TITLE OF INVENTION""CRISPR/CAS GENOME EDITING OF GLUTAMATE DECARBOXYLASE TO IMPROVE ENVIRONMENTAL STRESS TOLERANCE IN THE FIELD CONDITIONS""","(EN) ABSTRACTThe present invention relates to the isolation of plant nucleic acids and DNA encoding Glutamate decarboxylase, which, emerge in the plants subjected to environmental stress thereby conferring valuable pharma and agro properties, and provides valuable insights for employing CRISPR/Cas genome editing tools.",,,,,,,,,,
CN441333994,202410940329.X,China,15.07.2024,118745429,08.10.2024,A,"C12N 15/12
					






C07K 14/705
					






C12N 15/89
					






C12N 15/113
					






C12N 9/22
					






A01K 67/033
					






View more classifications
							






C12N 15/12
					






C07K 14/705
					






C12N 15/89
					






C12N 15/113
					






C12N 9/22
					






A01K 67/033
					






C12Q 1/6888
					






C12N 15/11
					






View less classifications",,"AGRICULTURAL GENOMICS INSTITUTE AT SHENZHEN, CHINESE ACADEMY OF AGRICULTURAL SCIENCES中国农业科学院农业基因组研究所",XIAO YUTAO萧玉涛JIN MINGHUI靳明辉SHAN YINXUE单银雪,北京超凡宏宇知识产权代理有限公司 11463,(EN) Application of SRB gene in regulation and control of resistance of spodoptera frugiperda to Vip3Aa protein(ZH) SRB基因在调控草地贪夜蛾对Vip3Aa蛋白抗性中的应用,"(EN) The invention provides application of an SRB gene in regulating and controlling resistance of spodoptera frugiperda to Vip3Aa protein, and relates to the technical field of biology. The research of the inventor finds that the SRB gene is related to the resistance of the spodoptera frugiperda to the Vip3Aa protein, and when the SRB gene is expressed, the spodoptera frugiperda is sensitive to the Vip3Aa protein; the SRB strain is knocked out through gene editing CRISPR/Cas9, and a biological assay result shows that compared with wild type spodoptera frugiperda, the knockout SRB strain generates 315 times of resistance to Vip3Aa protein. Therefore, as a functional receptor of the Vip3Aa protein, the scavenger receptor protein SRB can be used as a resistance monitoring target to monitor the resistance level of field grassland spodoptera frugiperda to the Vip3Aa protein. The research result can also be used for research and development of novel Bt crops and comprehensive treatment of resistance of pests to Bt crops/Bt preparations.(ZH) 本发明提供了一种SRB基因在调控草地贪夜蛾对Vip3Aa蛋白抗性中的应用，涉及生物技术领域。经发明人研究发现，SRB基因与草地贪夜蛾对Vip3Aa蛋白的抗性有关，表达SRB基因，草地贪夜蛾对Vip3Aa蛋白敏感；通过基因编辑CRISPR/Cas9对其进行敲除，生物测定结果显示，较野生型草地贪夜蛾，敲除SRB品系对Vip3Aa蛋白产生了315倍的抗性。因此，清道夫受体蛋白SRB，作为Vip3Aa蛋白的功能受体，可以作为抗性监测靶标来监测田间草地贪夜蛾对Vip3Aa蛋白的抗性水平。该研究结果还可用于新型Bt作物的研发、害虫对Bt作物/Bt制剂抗性的综合治理。",,,,,,,,,,
CN132765247,201410730236,China,04.12.2014,104450774,25.03.2015,A,"C12N 15/82
					






C12N 15/66
					






A01H 5/00
					








C12N 15/82
					






C12N 15/66
					






A01H 5/00
					






View less classifications",,"INSTITUTE OF CROP SCIENCE, CHINESE ACADEMY OF AGRICULTURAL SCIENCES",HU ZHENGSUN XIANJUNSONG GUOHUAJIANG QIYANZHANG HUI,sun wei,(EN) Construction of soybean CRISPR/Cas9 system and application of soybean CRISPR/Cas9 system in soybean gene modification(ZH) 一种大豆CRISPR/Cas9体系的构建及其在大豆基因修饰中的应用,"(EN) The invention relates to construction of a soybean CRISPR/Cas9 system. The construction disclosed by the invention is mainly characterized in that a core sequence is designed according to a target gene, and the core sequence is constructed into an expression carrier with cas9. The soybean CRISPR/Cas9 system utilizes the core sequence to identify the target gene, the cas9 shears the target gene, and various mutations can be generated in the process of repairing a broken chain by an organism. The invention also provides application of the soybean CRISPR/Cas9 system in soybean gene modification. With the adoption of the construction and the application provided by the invention, the constructed soybean CRISPR/Cas9 system is simple, the soybean gene can be rapidly and efficiently modified, and the problems of the traditional ZFNs system is too complex, wastes time and is low in efficiency are overcome.(ZH) 
本发明涉及一种大豆CRISPR/Cas9体系的构建，主要是根据目的基因设计核心序列，将核心序列构建入带有cas9的表达载体中，该体系利用核心序列对目的基因进行识别，cas9对目的基因进行剪切，生物体对断链进行修复的过程中会产生各种突变。本发明还提供了上述大豆CRISPR/Cas9体系在大豆基因修饰中的应用。本发明所构建的大豆CRISPR/Cas9体系简单，对大豆基因修饰能够快速、高效的完成，克服了现有的ZFNs体系过于复杂，费时且效率低的问题。",,,,,,,,,,
